Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Annotation	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
1	Spectrogram 1	2	204.003327817	204.788435701	6578.680	11667.262	5088.582	0.7851	8625.000	204.5813	SeaPro_20220913_094731_2CH192K16.wav	6750.000;6750.000;6750.000;6750.000;6937.500;6937.500;6937.500;6750.000;6750.000;6750.000;6750.000;6750.000;6937.500;6750.000;6750.000;6750.000;6750.000;6750.000;6750.000;6937.500;6937.500;6750.000;6937.500;6750.000;6937.500;6937.500;6937.500;6937.500;6937.500;6937.500;6937.500;7125.000;7125.000;6937.500;7125.000;7125.000;7125.000;7125.000;7125.000;7125.000;7125.000;7125.000;7125.000;7125.000;7125.000;7312.500;7312.500;7125.000;7312.500;7312.500;7125.000;7312.500;7312.500;7312.500;7125.000;7125.000;7312.500;7312.500;7125.000;7125.000;7125.000;7125.000;7312.500;7312.500;7125.000;7312.500;7312.500;7312.500;7125.000;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;6937.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7500.000;7312.500;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7687.500;7500.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7875.000;7687.500;7875.000;7687.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8812.500;8812.500;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9375.000;9375.000;9375.000;9375.000;9375.000;9375.000;9375.000;9562.500;9562.500;9750.000;9937.500;9750.000;9937.500;9937.500;9937.500;9937.500;9937.500;10125.000;10125.000;10125.000;10312.500;10312.500;10312.500;10687.500;11062.500;11062.500;11062.500;11062.500;11062.500;11250.000	0.000;0.000;0.000;70.312;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;70.312;0.000;-70.312;70.312;0.000;0.000;-70.312;0.000;70.312;0.000;-70.312;0.000;0.000;0.000;70.312;0.000;-70.312;70.312;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;140.625;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;70.312;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;140.625;140.625;0.000;0.000;0.000;0.000;70.312	204.0033		6857	11143			SE	OW	1	2		0	0	1	1	0	2	F	CT
2	Spectrogram 1	2	205.115409080	205.643042858	5847.716	10076.272	4228.556	0.5276	8437.500	205.5520	SeaPro_20220913_094731_2CH192K16.wav	6000.000;6375.000;6375.000;6375.000;6375.000;6375.000;6375.000;6375.000;6562.500;6562.500;6562.500;7687.500;6750.000;8062.500;6000.000;6937.500;7500.000;6937.500;6000.000;6187.500;7125.000;7125.000;7500.000;6375.000;6000.000;7312.500;7125.000;7312.500;6000.000;6000.000;7125.000;7687.500;7125.000;7125.000;7125.000;7312.500;7312.500;7125.000;7125.000;6937.500;8062.500;7125.000;7125.000;7125.000;7312.500;7125.000;7125.000;7500.000;7125.000;7125.000;7125.000;7312.500;7125.000;7312.500;7125.000;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7500.000;7312.500;7312.500;7500.000;7500.000;7500.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7875.000;7875.000;7687.500;7687.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;8437.500;8625.000;8625.000;8625.000;8625.000;8625.000;8812.500;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9187.500;9187.500;9187.500;9187.500;9375.000;9375.000;9562.500;9375.000;9375.000;9562.500	140.625;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;421.875;-351.562;492.188;-773.438;351.562;210.938;-210.938;-351.562;70.312;351.562;0.000;140.625;-421.875;-140.625;492.188;-70.312;70.312;-492.188;0.000;421.875;210.938;-210.938;0.000;0.000;70.312;0.000;-70.312;0.000;-70.312;421.875;-351.562;0.000;0.000;70.312;-70.312;0.000;140.625;-140.625;0.000;0.000;70.312;-70.312;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;70.312;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;-70.312;0.000;70.312	205.1154		5571	9429			SE	OW	1	1.5		0	0	1	1	0	2	F	CT
3	Spectrogram 1	1	207.514059466	207.954840656	7822.369	11329.949	3507.580	0.4408	8437.500	207.7013	SeaPro_20220913_094731_2CH192K16.wav	10125.000;8437.500;7875.000;7875.000;8250.000;10312.500;10312.500;8062.500;8250.000;7875.000;10500.000;8062.500;7875.000;7875.000;7875.000;8437.500;8062.500;8062.500;10312.500;10125.000;10125.000;10125.000;10125.000;9937.500;7875.000;10125.000;9937.500;9937.500;9937.500;9375.000;9750.000;9750.000;9562.500;9750.000;9750.000;9562.500;9375.000;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9375.000;9187.500;9187.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;8625.000;8625.000;8437.500;9000.000;8625.000;8625.000;8625.000;8625.000;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;9000.000;8812.500;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;8812.500;9000.000;8812.500;8812.500;8812.500;8812.500;9562.500;10125.000;9000.000;9000.000;9000.000;9000.000;9375.000;9375.000;9375.000;9375.000;9375.000;9375.000;9375.000;9562.500;9562.500;9562.500;9562.500;9562.500;9750.000;9750.000;9750.000;9750.000;7875.000;7875.000;9937.500;9937.500;7875.000;10125.000;10125.000;10125.000;10312.500;10312.500;10312.500;10312.500;10312.500;10312.500;10312.500;10312.500;10312.500;10312.500;10500.000;10500.000;10500.000;10500.000;10500.000;10687.500;10687.500;10687.500;10875.000;11062.500;11250.000;11062.500;11250.000	-632.812;-210.938;0.000;140.625;773.438;0.000;-843.750;70.312;-140.625;984.375;-914.062;-70.312;0.000;0.000;210.938;-140.625;0.000;843.750;-70.312;0.000;0.000;0.000;-70.312;-773.438;843.750;-70.312;0.000;0.000;-210.938;140.625;0.000;-70.312;70.312;0.000;-70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;-70.312;0.000;-351.562;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;-70.312;210.938;-140.625;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;70.312;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;0.000;0.000;0.000;281.250;210.938;-421.875;0.000;0.000;0.000;140.625;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;-703.125;0.000;773.438;0.000;-773.438;843.750;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;70.312;70.312;-70.312;70.312	207.5141		9643	10714			SE	OW	1	2		1	1	2	1	0	2	F	CT
4	Spectrogram 1	2	397.162375104	399.052037685	6562.500	15750.000	9187.500	1.8897	13875.000	398.1333	SeaPro_20220913_094731_2CH192K16.wav	6562.500;7125.000;6562.500;7125.000;7125.000;7312.500;7125.000;7312.500;7125.000;7125.000;7312.500;6937.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7125.000;7312.500;7312.500;7312.500;7312.500;7500.000;7312.500;7500.000;7500.000;7312.500;7500.000;7500.000;7500.000;6750.000;7687.500;7687.500;7687.500;7500.000;7687.500;7875.000;7687.500;7500.000;6937.500;6750.000;6562.500;8062.500;8062.500;8250.000;8250.000;8250.000;10875.000;11625.000;8625.000;8625.000;9000.000;9000.000;6750.000;9375.000;9375.000;9562.500;9937.500;6750.000;6562.500;6750.000;8062.500;7500.000;6562.500;7687.500;7875.000;6562.500;6750.000;7687.500;7687.500;7312.500;15562.500;6937.500;6562.500;7125.000;7125.000;6562.500;8250.000;7125.000;6937.500;14812.500;7875.000;6750.000;6562.500;6937.500;8437.500;6562.500;6937.500;14812.500;7312.500;8062.500;7875.000;7312.500;6750.000;6562.500;6750.000;6562.500;6562.500;6562.500;8062.500;8812.500;6562.500;6750.000;6750.000;6562.500;6750.000;15000.000;6562.500;6750.000;6937.500;6937.500;6750.000;6562.500;8062.500;7875.000;7875.000;7500.000;7687.500;6750.000;8250.000;8062.500;8625.000;6562.500;6562.500;15750.000;13875.000;6562.500;8062.500;8250.000;7500.000;7500.000;9375.000;8250.000;7500.000;8812.500;7312.500;7125.000;6562.500;7125.000;6937.500;7687.500;6750.000;10125.000;14812.500;13500.000;6562.500;11437.500;11437.500;6937.500;7500.000;7312.500;6937.500;6562.500;7875.000;6562.500;7125.000;7875.000;8062.500;6937.500;7125.000;8250.000;6562.500;15375.000;14812.500;7687.500;6750.000;7687.500;6750.000;6562.500;6562.500;6937.500;6750.000;6562.500;7500.000;8062.500;6562.500;8812.500;6750.000;6937.500;6562.500;15375.000;13312.500;8250.000;7125.000;7125.000;8062.500;8437.500;7500.000;6562.500;7312.500;6750.000;6937.500;7500.000;8250.000;7312.500;6937.500;8250.000;8250.000;6937.500;6937.500;15375.000;15562.500;6562.500;6562.500;8250.000;8062.500;6937.500;8250.000;8250.000;8250.000;8250.000;8250.000;9000.000;8250.000;6937.500;6562.500;6750.000;6562.500;6562.500;6750.000;15750.000;15750.000;6562.500;7125.000;6750.000;6562.500;6562.500;6562.500;6750.000;6750.000;6937.500;8625.000;6937.500;6937.500;8250.000;6937.500;9375.000;7312.500;6562.500;6562.500;15375.000;15750.000;15000.000;6750.000;6562.500;8062.500;8250.000;7500.000;6562.500;6562.500;6562.500;8250.000;8250.000;8250.000;7875.000;6937.500;8250.000;6750.000;7312.500;8250.000;7687.500;15562.500;12187.500;7500.000;15562.500;8250.000;8250.000;6562.500;8812.500;8250.000;7312.500;8437.500;6562.500;6562.500;6562.500;6562.500;8250.000;7687.500;6750.000;7687.500;6937.500;6562.500;8250.000;15375.000;9937.500;6562.500;6750.000;7875.000;6562.500;7500.000;7312.500;6750.000;7500.000;6937.500;6750.000;6562.500;6937.500;7687.500;6937.500;6562.500;6562.500;7125.000;6937.500;8250.000;6562.500;15562.500;7125.000;8250.000;8250.000;6750.000;6562.500;6562.500;8062.500;6562.500;9562.500;6750.000;7312.500;6750.000;7687.500;8250.000;7687.500;8250.000;9937.500;6937.500;6750.000;7687.500;7875.000;15562.500;13125.000;6937.500;6750.000;7312.500;8062.500;7125.000;7312.500;6750.000;8062.500;8250.000;6562.500;6562.500;8250.000;7125.000;8062.500;8437.500;8062.500;8062.500;8437.500;7500.000;7125.000;15750.000;12000.000;8062.500;7875.000;8250.000;6937.500;13687.500;13875.000;7500.000;6937.500;12187.500;13687.500;6750.000;7125.000;13875.000;6937.500;7312.500;13687.500;14437.500;8250.000;14250.000;13875.000;13500.000;13687.500;13875.000;7687.500;14250.000;13875.000;7125.000;14062.500;13687.500;8062.500;13500.000;13687.500;8625.000;7875.000;13687.500;13875.000;6562.500;8250.000;13875.000;15375.000;15562.500;13687.500;13875.000;6562.500;6562.500;6562.500;12187.500;12187.500;7312.500;6562.500;7500.000;6562.500;6750.000;6937.500;6562.500;6562.500;6562.500;9937.500;7500.000;15750.000;15000.000;8625.000;6937.500;6937.500;7312.500;8250.000;6750.000;12375.000;7125.000;7312.500;6562.500;6562.500;8625.000;6562.500;7500.000;8625.000;7312.500;6750.000;15375.000;15562.500;6562.500;6750.000;6562.500;6562.500;7125.000;9187.500;7687.500;7312.500;8062.500;8062.500;8062.500;7312.500;6562.500;6562.500;6562.500;6937.500;7687.500;7687.500;15750.000;7125.000;7125.000;6937.500;8062.500;6562.500;7312.500;6562.500;7875.000;7500.000;6937.500;9187.500;6562.500;6750.000;6562.500;6562.500;6562.500;6937.500;6562.500;15750.000;6562.500;7500.000;7875.000;7500.000;7875.000;6750.000;6562.500;6937.500;9375.000;7125.000;6937.500;8062.500;6750.000;7312.500;6750.000;7687.500;6562.500;14437.500;7312.500;7500.000;6750.000;6562.500;6562.500;6562.500;6562.500;6562.500;6562.500;6562.500;6750.000;6750.000;6562.500;6750.000;6562.500;6937.500;6750.000;6937.500;6750.000;6562.500;6750.000;7500.000;6750.000;6750.000;6750.000;6750.000;6937.500;6562.500;6562.500;6750.000;6562.500;6562.500;6937.500;6937.500;7875.000;6937.500;14062.500;6562.500;6750.000;6750.000;6937.500;6562.500;6937.500;6937.500;6937.500;6562.500;6562.500;7125.000;7125.000;7500.000;7125.000;7125.000;7125.000;7312.500;14437.500;7312.500;6562.500;9187.500;7312.500;7312.500;6937.500;7500.000;7312.500;7500.000;6562.500;7500.000;7500.000;7500.000;7500.000;7687.500;6562.500;7687.500;13500.000;6562.500;9187.500;6562.500;8062.500;8250.000;7312.500;7312.500;6750.000;8812.500;9000.000;9000.000;6562.500;9562.500;9750.000;6750.000;6562.500;10312.500;15375.000;15750.000;10875.000;7500.000;6750.000;6750.000;6562.500;6750.000;6562.500;6750.000;6562.500;6750.000;8062.500;6562.500;6562.500;6750.000;6562.500;8062.500;14250.000;8437.500;6562.500;6562.500;6562.500;7125.000;6562.500;7687.500;7125.000;8437.500;6562.500;6937.500;6562.500;6937.500;6937.500;6937.500;6750.000;6937.500;15750.000;8437.500;6562.500;6562.500;6562.500;8437.500;6562.500;9750.000;6937.500;6562.500;7875.000;8062.500;7125.000;6562.500;7312.500;6750.000;6750.000;6750.000;15750.000;7500.000;6562.500;7500.000;7875.000;6750.000;6562.500;7125.000;8437.500;6562.500;6562.500;6562.500;7312.500;6562.500;6562.500;6750.000;6562.500;15000.000;11250.000;6562.500;8437.500;7500.000;8250.000;7312.500;6750.000;6750.000;7312.500;6937.500;7875.000;8250.000;6562.500;6750.000;14062.500;7312.500;15375.000;7125.000;6562.500;6562.500;7687.500;7500.000;8250.000;15562.500;9750.000;6562.500;6562.500;7500.000;7125.000;6562.500;7875.000;7312.500;9562.500;7875.000;6937.500;9187.500;6937.500;7125.000;8250.000;7500.000;6750.000;6562.500;7125.000;7125.000;6937.500;6750.000;8250.000;8437.500;6750.000;7125.000;15375.000;7125.000;7500.000;8062.500;8062.500;7500.000;6750.000;6562.500;6937.500	210.938;-210.938;210.938;0.000;70.312;-70.312;70.312;-70.312;0.000;70.312;-140.625;140.625;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;-70.312;70.312;0.000;0.000;-281.250;351.562;0.000;0.000;-70.312;70.312;70.312;-70.312;-70.312;-210.938;-70.312;-70.312;562.500;0.000;70.312;0.000;0.000;984.375;281.250;-1125.000;0.000;140.625;0.000;-843.750;984.375;0.000;70.312;140.625;-1195.312;-70.312;70.312;492.188;-210.938;-351.562;421.875;70.312;-492.188;70.312;351.562;0.000;-140.625;3093.750;-3234.375;-140.625;210.938;0.000;-210.938;632.812;-421.875;-70.312;2953.125;-2601.562;-421.875;-70.312;140.625;562.500;-703.125;140.625;2953.125;-2812.500;281.250;-70.312;-210.938;-210.938;-70.312;70.312;-70.312;0.000;0.000;562.500;281.250;-843.750;70.312;0.000;-70.312;70.312;3093.750;-3164.062;70.312;70.312;0.000;-70.312;-70.312;562.500;-70.312;0.000;-140.625;70.312;-351.562;562.500;-70.312;210.938;-773.438;0.000;3445.312;-703.125;-2742.188;562.500;70.312;-281.250;0.000;703.125;-421.875;-281.250;492.188;-562.500;-70.312;-210.938;210.938;-70.312;281.250;-351.562;1265.625;1757.812;-492.188;-2601.562;1828.125;0.000;-1687.500;210.938;-70.312;-140.625;-140.625;492.188;-492.188;210.938;281.250;70.312;-421.875;70.312;421.875;-632.812;3304.688;-210.938;-2671.875;-351.562;351.562;-351.562;-70.312;0.000;140.625;-70.312;-70.312;351.562;210.938;-562.500;843.750;-773.438;70.312;-140.625;3304.688;-773.438;-1898.438;-421.875;0.000;351.562;140.625;-351.562;-351.562;281.250;-210.938;70.312;210.938;281.250;-351.562;-140.625;492.188;0.000;-492.188;0.000;3164.062;70.312;-3375.000;0.000;632.812;-70.312;-421.875;492.188;0.000;0.000;0.000;0.000;281.250;-281.250;-492.188;-140.625;70.312;-70.312;0.000;70.312;3375.000;0.000;-3445.312;210.938;-140.625;-70.312;0.000;0.000;70.312;0.000;70.312;632.812;-632.812;0.000;492.188;-492.188;914.062;-773.438;-281.250;0.000;3304.688;140.625;-281.250;-3093.750;-70.312;562.500;70.312;-281.250;-351.562;0.000;0.000;632.812;0.000;0.000;-140.625;-351.562;492.188;-562.500;210.938;351.562;-210.938;2953.125;-1265.625;-1757.812;3023.438;-2742.188;0.000;-632.812;843.750;-210.938;-351.562;421.875;-703.125;0.000;0.000;0.000;632.812;-210.938;-351.562;351.562;-281.250;-140.625;632.812;2671.875;-2039.062;-1265.625;70.312;421.875;-492.188;351.562;-70.312;-210.938;281.250;-210.938;-70.312;-70.312;140.625;281.250;-281.250;-140.625;0.000;210.938;-70.312;492.188;-632.812;3375.000;-3164.062;421.875;0.000;-562.500;-70.312;0.000;562.500;-562.500;1125.000;-1054.688;210.938;-210.938;351.562;210.938;-210.938;210.938;632.812;-1125.000;-70.312;351.562;70.312;2882.812;-914.062;-2320.312;-70.312;210.938;281.250;-351.562;70.312;-210.938;492.188;70.312;-632.812;0.000;632.812;-421.875;351.562;140.625;-140.625;0.000;140.625;-351.562;-140.625;3234.375;-1406.250;-1476.562;-70.312;140.625;-492.188;2531.250;70.312;-2390.625;-210.938;1968.750;562.500;-2601.562;140.625;2531.250;-2601.562;140.625;2390.625;281.250;-2320.312;2250.000;-140.625;-140.625;70.312;70.312;-2320.312;2460.938;-140.625;-2531.250;2601.562;-140.625;-2109.375;2039.062;70.312;-1898.438;-281.250;2179.688;70.312;-2742.188;632.812;2109.375;562.500;70.312;-703.125;70.312;-2742.188;0.000;0.000;2109.375;0.000;-1828.125;-281.250;351.562;-351.562;70.312;70.312;-140.625;0.000;0.000;1265.625;-914.062;3093.750;-281.250;-2390.625;-632.812;0.000;140.625;351.562;-562.500;2109.375;-1968.750;70.312;-281.250;0.000;773.438;-773.438;351.562;421.875;-492.188;-210.938;3234.375;70.312;-3375.000;70.312;-70.312;0.000;210.938;773.438;-562.500;-140.625;281.250;0.000;0.000;-281.250;-281.250;0.000;0.000;140.625;281.250;0.000;3023.438;-3234.375;0.000;-70.312;421.875;-562.500;281.250;-281.250;492.188;-140.625;-210.938;843.750;-984.375;70.312;-70.312;0.000;0.000;140.625;-140.625;3445.312;-3445.312;351.562;140.625;-140.625;140.625;-421.875;-70.312;140.625;914.062;-843.750;-70.312;421.875;-492.188;210.938;-210.938;351.562;-421.875;2953.125;-2671.875;70.312;-281.250;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;70.312;-70.312;140.625;-70.312;70.312;-70.312;-70.312;70.312;281.250;-281.250;0.000;0.000;0.000;70.312;-140.625;0.000;70.312;-70.312;0.000;140.625;0.000;351.562;-351.562;2671.875;-2812.500;70.312;0.000;70.312;-140.625;140.625;0.000;0.000;-140.625;0.000;210.938;0.000;140.625;-140.625;0.000;0.000;70.312;2671.875;-2671.875;-281.250;984.375;-703.125;0.000;-140.625;210.938;-70.312;70.312;-351.562;351.562;0.000;0.000;0.000;70.312;-421.875;421.875;2179.688;-2601.562;984.375;-984.375;562.500;70.312;-351.562;0.000;-210.938;773.438;70.312;0.000;-914.062;1125.000;70.312;-1125.000;-70.312;1406.250;1898.438;140.625;-1828.125;-1265.625;-281.250;0.000;-70.312;70.312;-70.312;70.312;-70.312;70.312;492.188;-562.500;0.000;70.312;-70.312;562.500;2320.312;-2179.688;-703.125;0.000;0.000;210.938;-210.938;421.875;-210.938;492.188;-703.125;140.625;-140.625;140.625;0.000;0.000;-70.312;70.312;3304.688;-2742.188;-703.125;0.000;0.000;703.125;-703.125;1195.312;-1054.688;-140.625;492.188;70.312;-351.562;-210.938;281.250;-210.938;0.000;0.000;3375.000;-3093.750;-351.562;351.562;140.625;-421.875;-70.312;210.938;492.188;-703.125;0.000;0.000;281.250;-281.250;0.000;70.312;-70.312;3164.062;-1406.250;-1757.812;703.125;-351.562;281.250;-351.562;-210.938;0.000;210.938;-140.625;351.562;140.625;-632.812;70.312;2742.188;-2531.250;3023.438;-3093.750;-210.938;0.000;421.875;-70.312;281.250;2742.188;-2179.688;-1195.312;0.000;351.562;-140.625;-210.938;492.188;-210.938;843.750;-632.812;-351.562;843.750;-843.750;70.312;421.875;-281.250;-281.250;-70.312;210.938;0.000;-70.312;-70.312;562.500;70.312;-632.812;140.625;3093.750;-3093.750;140.625;210.938;0.000;-210.938;-281.250;-70.312;140.625	397.1624									1									
