Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
1	Spectrogram 1	2	194.014161409	194.393224112	8545.455	14545.455	6000.000	0.3791	12562.500	194.1520	SeaPro_20220716_140453_2CH192K16.wav	9937.500;9937.500;9937.500;9750.000;10500.000;8812.500;9562.500;9562.500;9375.000;11062.500;9375.000;9375.000;9187.500;9187.500;8625.000;9187.500;8812.500;9000.000;9187.500;8625.000;10500.000;9000.000;11250.000;9000.000;11062.500;9000.000;9375.000;10125.000;8625.000;12562.500;14250.000;8812.500;8812.500;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9187.500;9000.000;13500.000;9000.000;9187.500;9187.500;9187.500;10125.000;12562.500;12000.000;10125.000;9375.000;9187.500;12750.000;9375.000;9375.000;9375.000;8625.000;9187.500;9562.500;9562.500;9562.500;8625.000;9750.000;9750.000;9750.000;9937.500;9937.500;9937.500;13500.000;10125.000;10125.000;10125.000;10312.500;10312.500;10312.500;10312.500;10312.500;10500.000;10312.500;10500.000;10500.000;10500.000;10687.500;9937.500;10687.500;10687.500;10500.000;10875.000;10687.500;10875.000;11062.500;11062.500;11062.500;11062.500;11062.500;10312.500;10125.000;11437.500;11437.500;11250.000;11437.500;13125.000;11625.000;11812.500;8625.000;11812.500;8625.000;9562.500;11812.500;8625.000;12187.500;11437.500;12187.500;12375.000;12375.000;12562.500;12562.500;12562.500;9562.500;12750.000;12750.000;12937.500;12937.500;12937.500;13125.000;13125.000;13312.500;13500.000;13687.500;13687.500;13875.000;13875.000;14062.500;14250.000;14250.000;14437.500;8812.500;9187.500	0.000;0.000;-70.312;281.250;-632.812;281.250;0.000;-70.312;632.812;-632.812;0.000;-70.312;0.000;-210.938;210.938;-140.625;70.312;70.312;-210.938;703.125;-562.500;843.750;-843.750;773.438;-773.438;140.625;281.250;-562.500;1476.562;632.812;-2039.062;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;1687.500;-1687.500;70.312;0.000;0.000;351.562;914.062;-210.938;-703.125;-281.250;-70.312;1335.938;-1265.625;0.000;0.000;-281.250;210.938;140.625;0.000;0.000;-351.562;421.875;0.000;0.000;70.312;0.000;0.000;1335.938;-1265.625;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;70.312;-281.250;281.250;0.000;-70.312;140.625;-70.312;70.312;70.312;0.000;0.000;0.000;0.000;-281.250;-70.312;492.188;0.000;-70.312;70.312;632.812;-562.500;70.312;-1195.312;1195.312;-1195.312;351.562;843.750;-1195.312;1335.938;-281.250;281.250;70.312;0.000;70.312;0.000;0.000;-1125.000;1195.312;0.000;70.312;0.000;0.000;70.312;0.000;70.312;70.312;70.312;0.000;70.312;0.000;70.312;70.312;0.000;70.312;-2109.375;140.625	194.0142			W_083					1									
3	Spectrogram 1	2	352.216208182	352.401871547	8228.152	14656.395	6428.243	0.1857	9375.000	352.2773	SeaPro_20220716_140453_2CH192K16.wav	10875.000;10875.000;9750.000;8250.000;8812.500;9000.000;9000.000;13312.500;13125.000;8437.500;8625.000;12937.500;13312.500;9562.500;13125.000;12937.500;12562.500;12187.500;11812.500;11625.000;11812.500;11437.500;9375.000;11250.000;11250.000;11062.500;10875.000;10875.000;10875.000;10687.500;9750.000;10687.500;10500.000;10500.000;10500.000;12187.500;10312.500;10125.000;10125.000;10125.000;10500.000;10125.000;10125.000;10125.000;8437.500;9750.000;9750.000;11062.500;9562.500;8250.000;9562.500;8250.000;9375.000;9375.000;9375.000;9375.000;9187.500;9187.500;9187.500;9187.500;9375.000;9187.500;9000.000;12750.000;8437.500;9000.000;9000.000;9187.500;8625.000	0.000;-421.875;-562.500;210.938;70.312;0.000;1617.188;-70.312;-1757.812;70.312;1617.188;140.625;-1406.250;1335.938;-70.312;-140.625;-140.625;-140.625;-70.312;70.312;-140.625;-773.438;703.125;0.000;-70.312;-70.312;0.000;0.000;-70.312;-351.562;351.562;-70.312;0.000;0.000;632.812;-703.125;-70.312;0.000;0.000;140.625;-140.625;0.000;0.000;-632.812;492.188;0.000;492.188;-562.500;-492.188;492.188;-492.188;421.875;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;70.312;-70.312;-70.312;1406.250;-1617.188;210.938;0.000;70.312;-210.938	352.2162			W_084					1									
2	Spectrogram 1	2	357.623104539	358.784191625	8485.281	16892.357	8407.076	1.1611	9562.500	357.9467	SeaPro_20220716_140453_2CH192K16.wav	12187.500;12000.000;12000.000;11625.000;11437.500;11437.500;11250.000;11437.500;10875.000;12937.500;10875.000;10687.500;10500.000;10500.000;10500.000;12375.000;13500.000;10125.000;10125.000;8812.500;9937.500;9937.500;9750.000;9937.500;9750.000;9562.500;9562.500;9562.500;9375.000;9375.000;9375.000;9562.500;9187.500;9187.500;9187.500;9187.500;9187.500;8812.500;9187.500;9187.500;9000.000;9187.500;9000.000;10125.000;9000.000;9750.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;11812.500;9000.000;9187.500;14062.500;9562.500;9187.500;9187.500;9187.500;9000.000;9187.500;9187.500;9375.000;9000.000;9187.500;9187.500;8812.500;10312.500;9375.000;9000.000;9375.000;9375.000;11250.000;9562.500;9562.500;9000.000;9750.000;16687.500;9750.000;9750.000;15000.000;15000.000;9000.000;14812.500;9937.500;9937.500;10125.000;9750.000;10125.000;10312.500;10312.500;9375.000;10312.500;10500.000;10312.500;10500.000;10687.500;10687.500;10687.500;10875.000;10875.000;10875.000;10875.000;10875.000;11062.500;11062.500;11062.500;11062.500;11250.000;11250.000;11437.500;11437.500;11437.500;11437.500;11625.000;12187.500;11625.000;11812.500;11812.500;9562.500;9187.500;12000.000;12562.500;8625.000;12187.500;12000.000;12187.500;9937.500;8625.000;8625.000;12187.500;12375.000;12187.500;12375.000;12562.500;8812.500;12750.000;11812.500;12937.500;12937.500;9750.000;12937.500;9187.500;10875.000;13312.500;13500.000;13500.000;10125.000;8625.000;9937.500;13875.000;9375.000;9000.000;8812.500;14250.000;8812.500;14437.500;14437.500;8625.000;14625.000;9375.000;9750.000;8625.000;9187.500;15000.000;9937.500;13312.500;9000.000;15187.500;10125.000;15187.500;8625.000;12562.500;9187.500;9937.500;15562.500;10312.500;9937.500;9937.500;9000.000;10125.000;15937.500;12187.500;12000.000;8625.000;14812.500;9375.000;11062.500;13875.000;10125.000;11062.500;14625.000;12562.500;16500.000;12187.500;8625.000;12750.000;11437.500;11812.500;8812.500;9000.000;11625.000;9000.000;9562.500;8625.000;9750.000;9750.000;9562.500;8625.000;8625.000;8625.000;9000.000;8625.000;12375.000;11250.000;14062.500;9187.500;9187.500;11812.500;12000.000;12750.000;12937.500;9375.000;8812.500;9000.000;10312.500;9187.500;16687.500;16125.000;10125.000;9937.500;9937.500;9000.000;12937.500;9000.000;15375.000;15937.500;11250.000;9562.500;11625.000;9937.500;15750.000;9375.000;13875.000;8625.000;8812.500;8625.000;8812.500;9000.000;9937.500;10875.000;9937.500;11250.000;10687.500;12375.000;10500.000;8812.500;9000.000;9750.000;9187.500;11625.000;9375.000;9937.500;10125.000;8625.000;15000.000;14250.000;8625.000;12937.500;12562.500;12562.500;11812.500;11625.000;11250.000;11062.500;10875.000;14062.500;10500.000;10312.500;10125.000;9937.500;9750.000;9562.500;9562.500;9375.000;9375.000;9187.500;9187.500;9187.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;8812.500;9000.000;9000.000;9000.000;9000.000;8812.500;9000.000;8812.500;9000.000;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9562.500;9187.500;9000.000;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;9375.000;9375.000;9375.000;9375.000;9375.000;9375.000;9562.500;9562.500;9562.500;9562.500;9750.000;9750.000;9562.500;9750.000;9750.000;9750.000;9750.000;9937.500;9937.500;9937.500;9937.500;10125.000;10125.000;10125.000;10125.000;10125.000;10125.000;10312.500;10312.500;10312.500;10312.500;10500.000;10500.000;10500.000;10500.000;10687.500;10687.500;10687.500;10687.500;10687.500;10875.000;10875.000;10875.000;10875.000;11062.500;11062.500;11062.500;11062.500;11062.500;11250.000;11250.000;11250.000;11437.500;11250.000;11437.500;11437.500;9750.000;11437.500;11437.500;11625.000;11625.000;11812.500;11812.500;11812.500;12000.000;12000.000;11812.500;12000.000;11812.500;12000.000;9750.000;12187.500;12187.500;12375.000;12375.000;12562.500;12562.500;12750.000;12562.500;12750.000;12937.500;12937.500;13125.000;13125.000;13312.500;13312.500;13312.500;8625.000;13500.000;9562.500;13687.500;12562.500;9375.000;9000.000;14062.500;8812.500;14250.000;14250.000;10125.000;14437.500;14625.000;14625.000;9375.000;8625.000;9937.500;9000.000	-70.312;0.000;-140.625;-70.312;0.000;-70.312;70.312;-210.938;773.438;-773.438;-70.312;-70.312;0.000;0.000;703.125;421.875;-1265.625;0.000;-492.188;421.875;0.000;-70.312;70.312;-70.312;-70.312;0.000;0.000;-70.312;0.000;0.000;70.312;-140.625;0.000;0.000;0.000;0.000;-140.625;140.625;0.000;-70.312;70.312;-70.312;421.875;-421.875;281.250;-281.250;0.000;0.000;0.000;0.000;0.000;0.000;1054.688;-1054.688;70.312;1828.125;-1687.500;-140.625;0.000;0.000;-70.312;70.312;0.000;70.312;-140.625;70.312;0.000;-140.625;562.500;-351.562;-140.625;140.625;0.000;703.125;-632.812;0.000;-210.938;281.250;2601.562;-2601.562;0.000;1968.750;0.000;-2250.000;2179.688;-1828.125;0.000;70.312;-140.625;140.625;70.312;0.000;-351.562;351.562;70.312;-70.312;70.312;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;210.938;-210.938;70.312;0.000;-843.750;-140.625;1054.688;210.938;-1476.562;1335.938;-70.312;70.312;-843.750;-492.188;0.000;1335.938;70.312;-70.312;70.312;70.312;-1406.250;1476.562;-351.562;421.875;0.000;-1195.312;1195.312;-1406.250;632.812;914.062;70.312;0.000;-1265.625;-562.500;492.188;1476.562;-1687.500;-140.625;-70.312;2039.062;-2039.062;2109.375;0.000;-2179.688;2250.000;-1968.750;140.625;-421.875;210.938;2179.688;-1898.438;1265.625;-1617.188;2320.312;-1898.438;1898.438;-2460.938;1476.562;-1265.625;281.250;2109.375;-1968.750;-140.625;0.000;-351.562;421.875;2179.688;-1406.250;-70.312;-1265.625;2320.312;-2039.062;632.812;1054.688;-1406.250;351.562;1335.938;-773.438;1476.562;-1617.188;-1335.938;1546.875;-492.188;140.625;-1125.000;70.312;984.375;-984.375;210.938;-351.562;421.875;0.000;-70.312;-351.562;0.000;0.000;140.625;-140.625;1406.250;-421.875;1054.688;-1828.125;0.000;984.375;70.312;281.250;70.312;-1335.938;-210.938;70.312;492.188;-421.875;2812.500;-210.938;-2250.000;-70.312;0.000;-351.562;1476.562;-1476.562;2390.625;210.938;-1757.812;-632.812;773.438;-632.812;2179.688;-2390.625;1687.500;-1968.750;70.312;-70.312;70.312;70.312;351.562;351.562;-351.562;492.188;-210.938;632.812;-703.125;-632.812;70.312;281.250;-210.938;914.062;-843.750;210.938;70.312;-562.500;2390.625;-281.250;-2109.375;1617.188;-140.625;0.000;-281.250;-70.312;-140.625;-70.312;-70.312;1195.312;-1335.938;-70.312;-70.312;-70.312;-70.312;-70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;-70.312;70.312;-70.312;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;210.938;-140.625;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;-70.312;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;-70.312;70.312;0.000;-632.812;632.812;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;-70.312;70.312;-70.312;70.312;-843.750;914.062;0.000;70.312;0.000;70.312;0.000;70.312;-70.312;70.312;70.312;0.000;70.312;0.000;70.312;0.000;0.000;-1757.812;1828.125;-1476.562;1546.875;-421.875;-1195.312;-140.625;1898.438;-1968.750;2039.062;0.000;-1546.875;1617.188;70.312;0.000;-1968.750;-281.250;492.188;-351.562	357.6231			W_085					1									
5	Spectrogram 1	2	361.669018744	362.109969235	8545.455	16181.818	7636.363	0.4410	9375.000	361.8187	SeaPro_20220716_140453_2CH192K16.wav	14625.000;12375.000;10500.000;10500.000;9937.500;9937.500;9562.500;9750.000;9750.000;9000.000;9562.500;9562.500;9375.000;9375.000;12187.500;9375.000;9187.500;9187.500;9187.500;10125.000;9187.500;9000.000;9000.000;9000.000;9000.000;9000.000;13312.500;8812.500;10125.000;9375.000;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;9937.500;10875.000;9000.000;9000.000;9000.000;8625.000;9187.500;9000.000;9187.500;9187.500;9187.500;9187.500;9187.500;12937.500;9375.000;9375.000;11812.500;11812.500;9562.500;9562.500;11437.500;8625.000;8625.000;9750.000;15187.500;9750.000;11625.000;8625.000;10312.500;9937.500;10125.000;8812.500;14625.000;12187.500;11062.500;13125.000;10312.500;10312.500;12750.000;16125.000;9937.500;10500.000;9375.000;10500.000;10687.500;14062.500;10687.500;12000.000;12000.000;9562.500;8625.000;8625.000;8812.500;8625.000;9750.000;11062.500;14625.000;11250.000;11062.500;11250.000;11250.000;13500.000;11437.500;11625.000;13125.000;11062.500;11625.000;11625.000;11437.500;11812.500;8625.000;9750.000;9937.500;11812.500;10500.000;12187.500;12187.500;12187.500;12375.000;15000.000;12375.000;12375.000;12562.500;12562.500;12562.500;12562.500;12750.000;12750.000;12937.500;12937.500;12937.500;13312.500;13125.000;13312.500;13500.000;13500.000;13687.500;13687.500;8812.500;9937.500;10312.500;14062.500;14250.000;14250.000;9000.000;14250.000;14437.500;14625.000;14812.500;14812.500;15000.000;15000.000;14812.500;15187.500;15375.000;15375.000;9562.500;9000.000;9187.500;9187.500;9562.500;8625.000;8812.500;15937.500	-843.750;-703.125;0.000;-210.938;0.000;-140.625;70.312;0.000;-281.250;210.938;0.000;-70.312;0.000;1054.688;-1054.688;-70.312;0.000;0.000;351.562;-351.562;-70.312;0.000;0.000;0.000;0.000;1617.188;-1687.500;492.188;-281.250;-210.938;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;421.875;351.562;-703.125;0.000;0.000;-140.625;210.938;-70.312;70.312;0.000;0.000;0.000;0.000;1406.250;-1335.938;0.000;914.062;0.000;-843.750;0.000;703.125;-1054.688;0.000;421.875;2039.062;-2039.062;703.125;-1125.000;632.812;-140.625;70.312;-492.188;2179.688;-914.062;-421.875;773.438;-1054.688;0.000;914.062;1265.625;-2320.312;210.938;-421.875;421.875;70.312;1265.625;-1265.625;492.188;0.000;-914.062;-351.562;0.000;70.312;-70.312;421.875;492.188;1335.938;-1265.625;-70.312;70.312;0.000;843.750;-773.438;70.312;562.500;-773.438;210.938;0.000;-70.312;140.625;-1195.312;421.875;70.312;703.125;-492.188;632.812;0.000;0.000;70.312;984.375;-984.375;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;0.000;0.000;140.625;-70.312;70.312;70.312;0.000;70.312;0.000;-1828.125;421.875;140.625;1406.250;70.312;0.000;-1968.750;1968.750;70.312;70.312;70.312;0.000;70.312;0.000;-70.312;140.625;70.312;0.000;-2179.688;-210.938;70.312;0.000;140.625;-351.562;70.312;2671.875	361.6690			W_086					1									
6	Spectrogram 1	2	425.262160759	425.432352176	8181.818	11636.364	3454.546	0.1702	10125.000	425.3680	SeaPro_20220716_140453_2CH192K16.wav	8812.500;8625.000;8625.000;8812.500;8812.500;8812.500;8812.500;9000.000;8812.500;11250.000;11062.500;8437.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;9000.000;8812.500;8812.500;11625.000;9000.000;9187.500;9187.500;10312.500;9000.000;9562.500;9562.500;9375.000;9750.000;9750.000;9750.000;10125.000;10125.000;10312.500;10125.000;10125.000;10312.500;10312.500;10312.500;10312.500;10500.000;10500.000;10687.500;10875.000;10687.500;10687.500;10687.500;10875.000;10875.000;11250.000;11062.500;10687.500;10875.000;11062.500;11062.500;11625.000;11062.500;11437.500;11437.500	-70.312;0.000;70.312;0.000;0.000;0.000;70.312;-70.312;914.062;-70.312;-984.375;140.625;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;1054.688;-984.375;70.312;0.000;421.875;-492.188;210.938;0.000;-70.312;140.625;0.000;0.000;140.625;0.000;70.312;-70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;70.312;-70.312;0.000;0.000;70.312;0.000;140.625;-70.312;-140.625;70.312;70.312;0.000;210.938;-210.938;140.625;0.000	425.2622			W_087					1									
7	Spectrogram 1	2	502.411395269	502.679433076	8571.429	13142.857	4571.428	0.2680	11062.500	502.4880	SeaPro_20220716_140453_2CH192K16.wav	9187.500;9375.000;9187.500;12937.500;9187.500;9000.000;9000.000;9000.000;9000.000;9000.000;9375.000;9000.000;8812.500;11812.500;8812.500;8812.500;8812.500;9000.000;9937.500;9375.000;9187.500;9000.000;9750.000;11625.000;9000.000;9187.500;8812.500;10875.000;11062.500;10687.500;9750.000;9187.500;9187.500;9375.000;9187.500;9375.000;9375.000;9187.500;9375.000;9000.000;9000.000;9000.000;9187.500;9187.500;9187.500;9000.000;8625.000;9187.500;9000.000;9000.000;9562.500;9750.000;9750.000;9937.500;8625.000;9375.000;10312.500;9000.000;9937.500;9187.500;10687.500;9000.000;8625.000;10312.500;9187.500;11062.500;10500.000;10125.000;12000.000;11062.500;9000.000;9000.000;9562.500;9937.500;9750.000;11437.500;9375.000;11062.500;9000.000;8812.500;8625.000;8812.500;10500.000;8812.500;8812.500;9562.500;12000.000;12187.500;10500.000;11062.500;8625.000;10687.500;9562.500;9375.000;12375.000;11437.500;9375.000;9562.500;11062.500;9937.500	70.312;-70.312;1406.250;-1406.250;-70.312;0.000;0.000;0.000;0.000;140.625;-140.625;-70.312;1125.000;-1125.000;0.000;0.000;70.312;351.562;-210.938;-70.312;-70.312;281.250;703.125;-984.375;70.312;-140.625;773.438;70.312;-140.625;-351.562;-210.938;0.000;70.312;-70.312;70.312;0.000;-70.312;70.312;-140.625;0.000;0.000;70.312;0.000;0.000;-70.312;-140.625;210.938;-70.312;0.000;210.938;70.312;0.000;70.312;-492.188;281.250;351.562;-492.188;351.562;-281.250;562.500;-632.812;-140.625;632.812;-421.875;703.125;-210.938;-140.625;703.125;-351.562;-773.438;0.000;210.938;140.625;-70.312;632.812;-773.438;632.812;-773.438;-70.312;-70.312;70.312;632.812;-632.812;0.000;281.250;914.062;70.312;-632.812;210.938;-914.062;773.438;-421.875;-70.312;1125.000;-351.562;-773.438;70.312;562.500;-421.875	502.4114			W_088					1									
8	Spectrogram 1	2	503.021318035	503.289355843	8380.952	12380.952	4000.000	0.2680	8437.500	503.2533	SeaPro_20220716_140453_2CH192K16.wav	11062.500;10687.500;10125.000;10125.000;9562.500;9750.000;9375.000;9375.000;9562.500;9000.000;8812.500;9000.000;9000.000;9000.000;8812.500;8812.500;8812.500;9562.500;8812.500;8812.500;8812.500;8812.500;8625.000;8812.500;9000.000;8812.500;8812.500;8812.500;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;8812.500;9187.500;8812.500;8812.500;8812.500;8812.500;9187.500;9375.000;8812.500;9000.000;9187.500;8812.500;8625.000;9750.000;9562.500;9750.000;9750.000;9750.000;9937.500;9937.500;9937.500;8437.500;9187.500;9937.500;9937.500;10125.000;9187.500;10312.500;9750.000;10125.000;10312.500;9937.500;10312.500;10500.000;10500.000;9187.500;9750.000;8812.500;9000.000;9750.000;10312.500;10687.500;10125.000;9000.000;9750.000;11062.500;11625.000;9937.500;9937.500;11250.000;10687.500;11250.000;11437.500;8437.500;9562.500;11437.500;9562.500;8812.500;11625.000;8625.000;11812.500;8625.000;9187.500;11812.500;12000.000;12000.000;10500.000	-140.625;-210.938;0.000;-210.938;70.312;-140.625;0.000;70.312;-210.938;-70.312;70.312;0.000;0.000;-70.312;0.000;0.000;281.250;-281.250;0.000;0.000;0.000;-70.312;70.312;70.312;-70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;-70.312;140.625;-140.625;0.000;0.000;0.000;140.625;70.312;-210.938;70.312;70.312;-140.625;-70.312;421.875;-70.312;70.312;0.000;0.000;70.312;0.000;0.000;-562.500;281.250;281.250;0.000;70.312;-351.562;421.875;-210.938;140.625;70.312;-140.625;140.625;70.312;0.000;-492.188;210.938;-351.562;70.312;281.250;210.938;140.625;-210.938;-421.875;281.250;492.188;210.938;-632.812;0.000;492.188;-210.938;210.938;70.312;-1125.000;421.875;703.125;-703.125;-281.250;1054.688;-1125.000;1195.312;-1195.312;210.938;984.375;70.312;0.000;-562.500	503.0213			W_089					1									
9	Spectrogram 1	2	503.644916200	503.863722574	8000.000	12000.000	4000.000	0.2188	8812.500	503.7973	SeaPro_20220716_140453_2CH192K16.wav	8625.000;8250.000;9000.000;9000.000;8062.500;9375.000;10875.000;10312.500;9937.500;9750.000;9750.000;9937.500;9187.500;9187.500;9000.000;9000.000;9000.000;8812.500;8812.500;8812.500;8437.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8625.000;8812.500;8812.500;8812.500;8062.500;9000.000;8812.500;8812.500;9000.000;9000.000;9187.500;9187.500;9000.000;9187.500;9187.500;9000.000;9187.500;9187.500;9375.000;9000.000;9375.000;9375.000;9375.000;9375.000;9562.500;8812.500;8812.500;9750.000;8812.500;8812.500;9937.500;10125.000;9375.000;9937.500;8062.500;9750.000;10125.000;10125.000;10125.000;10125.000;10312.500;10500.000;10500.000;10500.000;8812.500;10500.000;10500.000;9187.500;9562.500;10500.000;10500.000;10687.500;10500.000;9937.500	-140.625;281.250;0.000;-351.562;492.188;562.500;-210.938;-140.625;-70.312;0.000;70.312;-281.250;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;-140.625;140.625;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;-281.250;351.562;-70.312;0.000;70.312;0.000;70.312;0.000;-70.312;70.312;0.000;-70.312;70.312;0.000;70.312;-140.625;140.625;0.000;0.000;0.000;70.312;-281.250;0.000;351.562;-351.562;0.000;421.875;70.312;-281.250;210.938;-703.125;632.812;140.625;0.000;0.000;0.000;70.312;70.312;0.000;0.000;-632.812;632.812;0.000;-492.188;140.625;351.562;0.000;70.312;-70.312;-210.938	503.6449			W_090					1									
