Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Delta Freq (Hz)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Quality	Start Freq (Hz)	End Freq (Hz)	Contour	Overtones	Step	Interruptions	Inflection Points	N min	N max	Overlap	ID	Type	N elements	Category	ID_Category	similar_to
1	Spectrogram 1	2	2.971354694	3.788447869	3577.578	5137.035	0.8171	3937.500	3.6880	1559.457	SeaPro_20221030_123445_2CH192K16.wav	4687.500;4125.000;3937.500;4687.500;4312.500;4687.500;4125.000;3750.000;3937.500;3937.500;4500.000;4687.500;3750.000;4687.500;4125.000;3750.000;4687.500;3937.500;4312.500;4500.000;4312.500;4125.000;3750.000;4125.000;4125.000;4312.500;4125.000;4500.000;4500.000;4312.500;4125.000;3937.500;4312.500;4312.500;4125.000;4312.500;4125.000;4125.000;4312.500;4125.000;4125.000;4500.000;4125.000;4125.000;4125.000;3750.000;4125.000;4125.000;3937.500;4125.000;4125.000;4312.500;4500.000;4312.500;3937.500;3937.500;4125.000;4500.000;3750.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;4312.500;4125.000;4312.500;3937.500;4125.000;4312.500;3750.000;3750.000;3750.000;4125.000;4125.000;3937.500;3937.500;4125.000;3750.000;4312.500;3937.500;3937.500;4125.000;3937.500;4125.000;4687.500;4125.000;3750.000;3750.000;4125.000;3750.000;4125.000;3937.500;4125.000;4125.000;4125.000;4125.000;3937.500;3937.500;4125.000;3937.500;4125.000;4875.000;4125.000;3750.000;3750.000;4125.000;3937.500;4125.000;3937.500;3937.500;3937.500;3750.000;4125.000;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;5062.500;4312.500;3937.500;3937.500;3937.500;3937.500;4500.000;3750.000;3937.500;4125.000;3750.000;3750.000;4312.500;3937.500;3937.500;3937.500;3750.000;3937.500;4125.000;3937.500;4500.000;3937.500;4312.500;3750.000;3937.500;4125.000;3937.500;4125.000;3750.000;4312.500;4125.000;3750.000;3937.500;4125.000;4125.000;4125.000;3937.500;4125.000;3937.500;4875.000;3937.500;4125.000;3937.500;3937.500;4312.500;4500.000;4125.000;4125.000;3937.500;4125.000;3937.500;3750.000;3750.000;4875.000;4125.000;3937.500;3750.000;3750.000;4125.000;3937.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;3937.500;4312.500;5062.500;4125.000;3937.500;3750.000;4125.000;4125.000;4125.000;3937.500;3937.500;3750.000;4875.000;4875.000;4125.000;4125.000;4312.500;4125.000;4125.000;4687.500;4125.000;4875.000;4125.000;3937.500;4500.000;3937.500;3750.000;3937.500;3937.500;4312.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;4125.000;4125.000;3750.000;4125.000;3937.500;3937.500;3937.500;3937.500;4875.000;4125.000;5062.500;3937.500;3937.500;3937.500;3750.000;4125.000;3937.500;4500.000;4875.000;3750.000;4125.000;4125.000;3937.500;3937.500;3937.500;4687.500;3937.500;3937.500;3937.500;3937.500;3937.500;4875.000;3750.000;3937.500;3750.000;3937.500;3937.500;3937.500;3937.500;3937.500;3750.000;3937.500;3937.500;3937.500;3750.000;3750.000;3937.500;3937.500;3937.500;3750.000;3750.000;3750.000;3937.500;3937.500;3937.500;5062.500;3750.000;3750.000;3750.000;3937.500;3937.500;3937.500;3937.500;3750.000;5062.500;5062.500;4875.000;3750.000;3937.500;4687.500;3750.000;4125.000;3937.500;3750.000;4500.000	-210.938;-70.312;281.250;-140.625;140.625;-210.938;-140.625;70.312;0.000;210.938;70.312;-351.562;351.562;-210.938;-140.625;351.562;-281.250;140.625;70.312;-70.312;-70.312;-140.625;140.625;0.000;70.312;-70.312;140.625;0.000;-70.312;-70.312;-70.312;140.625;0.000;-70.312;70.312;-70.312;0.000;70.312;-70.312;0.000;140.625;-140.625;0.000;0.000;-140.625;140.625;0.000;-70.312;70.312;0.000;70.312;70.312;-70.312;-140.625;0.000;70.312;140.625;-281.250;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;70.312;-70.312;70.312;-140.625;70.312;70.312;-210.938;0.000;0.000;140.625;0.000;-70.312;0.000;70.312;-140.625;210.938;-140.625;0.000;70.312;-70.312;70.312;210.938;-210.938;-140.625;0.000;140.625;-140.625;140.625;-70.312;70.312;0.000;0.000;0.000;-70.312;0.000;70.312;-70.312;70.312;281.250;-281.250;-140.625;0.000;140.625;-70.312;70.312;-70.312;0.000;0.000;-70.312;140.625;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;421.875;-281.250;-140.625;0.000;0.000;0.000;210.938;-281.250;70.312;70.312;-140.625;0.000;210.938;-140.625;0.000;0.000;-70.312;70.312;70.312;-70.312;210.938;-210.938;140.625;-210.938;70.312;70.312;-70.312;70.312;-140.625;210.938;-70.312;-140.625;70.312;70.312;0.000;0.000;-70.312;70.312;-70.312;351.562;-351.562;70.312;-70.312;0.000;140.625;70.312;-140.625;0.000;-70.312;70.312;-70.312;-70.312;0.000;421.875;-281.250;-70.312;-70.312;0.000;140.625;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;140.625;281.250;-351.562;-70.312;-70.312;140.625;0.000;0.000;-70.312;0.000;-70.312;421.875;0.000;-281.250;0.000;70.312;-70.312;0.000;210.938;-210.938;281.250;-281.250;-70.312;210.938;-210.938;-70.312;70.312;0.000;140.625;-140.625;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;-140.625;140.625;-70.312;0.000;0.000;0.000;351.562;-281.250;351.562;-421.875;0.000;0.000;-70.312;140.625;-70.312;210.938;140.625;-421.875;140.625;0.000;-70.312;0.000;0.000;281.250;-281.250;0.000;0.000;0.000;0.000;351.562;-421.875;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;-70.312;0.000;70.312;0.000;0.000;-70.312;0.000;0.000;70.312;0.000;0.000;421.875;-492.188;0.000;0.000;70.312;0.000;0.000;0.000;-70.312;492.188;0.000;-70.312;-421.875;70.312;281.250;-351.562;140.625;-70.312;-70.312;281.250	2.9714	1											W_888					
2	Spectrogram 1	2	260.974377380	261.775857310	3302.380	10274.070	0.8015	4125.000	261.2427	6971.690	SeaPro_20221030_123445_2CH192K16.wav	3750.000;3562.500;3750.000;3750.000;3375.000;3375.000;3937.500;3750.000;4125.000;4500.000;3375.000;3750.000;3937.500;3937.500;3750.000;3375.000;4500.000;4500.000;4875.000;3750.000;3562.500;3375.000;3937.500;3750.000;3937.500;3750.000;3562.500;3562.500;3937.500;3375.000;3562.500;3375.000;3562.500;3750.000;4500.000;3375.000;3562.500;4312.500;3750.000;3562.500;3750.000;3375.000;4500.000;3375.000;3375.000;4500.000;4312.500;4312.500;9187.500;3937.500;3937.500;3375.000;3750.000;3375.000;3750.000;3562.500;3750.000;3750.000;3562.500;3750.000;3562.500;3375.000;3750.000;4312.500;3375.000;3375.000;3375.000;5250.000;5062.500;4875.000;4687.500;4687.500;4500.000;4500.000;4500.000;4500.000;3562.500;4312.500;4312.500;4312.500;4125.000;4125.000;4312.500;4312.500;4687.500;3375.000;4312.500;4312.500;4687.500;4687.500;3375.000;3750.000;3750.000;4125.000;4125.000;3937.500;4125.000;3750.000;4125.000;4125.000;4125.000;3937.500;4125.000;4125.000;3562.500;4312.500;4125.000;4125.000;3937.500;4312.500;4312.500;3750.000;3937.500;3562.500;3562.500;3937.500;4125.000;4125.000;3937.500;3375.000;4875.000;3937.500;3937.500;4312.500;3937.500;5062.500;3562.500;3750.000;3937.500;3375.000;3375.000;3937.500;3937.500;4125.000;4125.000;3937.500;4125.000;3562.500;3562.500;3562.500;3375.000;4125.000;4312.500;4125.000;3937.500;3375.000;3375.000;4312.500;4687.500;3937.500;3375.000;4125.000;3375.000;3375.000;3750.000;3937.500;3562.500;3750.000;3937.500;3562.500;3937.500;4312.500;3937.500;3937.500;3375.000;4125.000;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3562.500;3375.000;4125.000;3937.500;3375.000;3375.000;3750.000;3750.000;3937.500;3937.500;3750.000;3375.000;3375.000;3750.000;3937.500;3937.500;3937.500;3937.500;4125.000;3562.500;3750.000;3937.500;3937.500;3937.500;3750.000;3937.500;3937.500;3937.500;3375.000;3937.500;4125.000;3937.500;3937.500;3937.500;3562.500;3750.000;3937.500;3937.500;3937.500;3562.500;3937.500;4125.000;3937.500;3937.500;4125.000;3750.000;3937.500;3937.500;3937.500;3375.000;3937.500;4312.500;3375.000;3375.000;4125.000;3750.000;3375.000;3375.000;3750.000;3562.500;3937.500;3562.500;3750.000;3937.500;3562.500;3937.500;3750.000;3937.500;3937.500;3750.000;3562.500;3937.500;4125.000;3937.500;3937.500;3750.000;3937.500;3937.500;3937.500;3562.500;4312.500;3750.000;3937.500;3937.500;3562.500;3750.000;3562.500;3562.500;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;4125.000;3375.000;3750.000;3375.000;3375.000;3562.500;3937.500;3937.500;3375.000;3375.000;3750.000;4125.000;3375.000;4500.000;3562.500;3375.000;3375.000;4687.500;3375.000;4125.000;3750.000;3375.000;4500.000;5625.000;3562.500;3750.000;3375.000;3750.000;3937.500;3562.500	-70.312;70.312;0.000;-140.625;0.000;210.938;-70.312;140.625;140.625;-421.875;140.625;70.312;0.000;-70.312;-140.625;421.875;0.000;140.625;-421.875;-70.312;-70.312;210.938;-70.312;70.312;-70.312;-70.312;0.000;140.625;-210.938;70.312;-70.312;70.312;70.312;281.250;-421.875;70.312;281.250;-210.938;-70.312;70.312;-140.625;421.875;-421.875;0.000;421.875;-70.312;0.000;1828.125;-1968.750;0.000;-210.938;140.625;-140.625;140.625;-70.312;70.312;0.000;-70.312;70.312;-70.312;-70.312;140.625;210.938;-351.562;0.000;0.000;703.125;-70.312;-70.312;-70.312;0.000;-70.312;0.000;0.000;0.000;-351.562;281.250;0.000;0.000;-70.312;0.000;70.312;0.000;140.625;-492.188;351.562;0.000;140.625;0.000;-492.188;140.625;0.000;140.625;0.000;-70.312;70.312;-140.625;140.625;0.000;0.000;-70.312;70.312;0.000;-210.938;281.250;-70.312;0.000;-70.312;140.625;0.000;-210.938;70.312;-140.625;0.000;140.625;70.312;0.000;-70.312;-210.938;562.500;-351.562;0.000;140.625;-140.625;421.875;-562.500;70.312;70.312;-210.938;0.000;210.938;0.000;70.312;0.000;-70.312;70.312;-210.938;0.000;0.000;-70.312;281.250;70.312;-70.312;-70.312;-210.938;0.000;351.562;140.625;-281.250;-210.938;281.250;-281.250;0.000;140.625;70.312;-140.625;70.312;70.312;-140.625;140.625;140.625;-140.625;0.000;-210.938;281.250;-70.312;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;-70.312;281.250;-70.312;-210.938;0.000;140.625;0.000;70.312;0.000;-70.312;-140.625;0.000;140.625;70.312;0.000;0.000;0.000;70.312;-210.938;70.312;70.312;0.000;0.000;-70.312;70.312;0.000;0.000;-210.938;210.938;70.312;-70.312;0.000;0.000;-140.625;70.312;70.312;0.000;0.000;-140.625;140.625;70.312;-70.312;0.000;70.312;-140.625;70.312;0.000;0.000;-210.938;210.938;140.625;-351.562;0.000;281.250;-140.625;-140.625;0.000;140.625;-70.312;140.625;-140.625;70.312;70.312;-140.625;140.625;-70.312;70.312;0.000;-70.312;-70.312;140.625;70.312;-70.312;0.000;-70.312;70.312;0.000;0.000;-140.625;281.250;-210.938;70.312;0.000;-140.625;70.312;-70.312;0.000;140.625;0.000;0.000;0.000;70.312;-70.312;70.312;-281.250;140.625;-140.625;0.000;70.312;140.625;0.000;-210.938;0.000;140.625;140.625;-281.250;421.875;-351.562;-70.312;0.000;492.188;-492.188;281.250;-140.625;-140.625;421.875;421.875;-773.438;70.312;-140.625;140.625;70.312;-140.625	260.9744	1											W_913					
3	Spectrogram 1	2	262.114144293	262.910419808	3577.578	8531.148	0.7963	3937.500	262.6773	4953.570	SeaPro_20221030_123445_2CH192K16.wav	3750.000;4312.500;4312.500;3750.000;6375.000;3937.500;3750.000;4125.000;3937.500;4500.000;4125.000;3937.500;4312.500;3750.000;3750.000;3937.500;3750.000;3750.000;3750.000;3750.000;4500.000;3937.500;3750.000;4500.000;3750.000;4125.000;3937.500;3937.500;5437.500;4125.000;3750.000;3937.500;3750.000;4125.000;4125.000;4312.500;3937.500;3750.000;3937.500;4312.500;3937.500;3937.500;3750.000;3750.000;3750.000;3750.000;3937.500;3750.000;3937.500;6000.000;3750.000;4125.000;5062.500;4687.500;4875.000;4687.500;4312.500;4875.000;4500.000;4312.500;3750.000;4312.500;4312.500;4312.500;4687.500;4312.500;3937.500;4500.000;4500.000;4500.000;4687.500;4125.000;4312.500;4125.000;4312.500;4125.000;4312.500;4125.000;4500.000;4125.000;4312.500;4125.000;3937.500;4125.000;3937.500;4312.500;4125.000;3750.000;3750.000;3750.000;3937.500;3937.500;4312.500;3937.500;4125.000;3750.000;3937.500;4312.500;4125.000;4125.000;4125.000;3750.000;4125.000;4125.000;3937.500;4687.500;3937.500;3750.000;4312.500;3750.000;3937.500;4125.000;3937.500;4125.000;3750.000;4500.000;3937.500;4125.000;4312.500;3937.500;4125.000;3750.000;4125.000;3937.500;4125.000;3937.500;4125.000;3750.000;4500.000;4312.500;4125.000;3937.500;3937.500;3750.000;3937.500;3937.500;4125.000;4125.000;3937.500;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3750.000;3750.000;4312.500;3750.000;3937.500;3937.500;4875.000;3937.500;4125.000;3937.500;4312.500;3937.500;3750.000;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;4500.000;3937.500;3937.500;4125.000;4125.000;3937.500;4312.500;3937.500;3750.000;4687.500;4312.500;3937.500;3937.500;3937.500;3937.500;4687.500;3937.500;3750.000;4125.000;4125.000;5625.000;3937.500;3750.000;3937.500;3750.000;3750.000;3937.500;4125.000;3750.000;3750.000;3937.500;4312.500;3937.500;3937.500;3937.500;4125.000;3750.000;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3750.000;4125.000;3937.500;3937.500;3937.500;4125.000;3937.500;3937.500;4687.500;3937.500;3937.500;3937.500;3750.000;4125.000;3937.500;3937.500;3750.000;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;4125.000;4312.500;4125.000;3750.000;3750.000;4312.500;3937.500;3937.500;3937.500;3750.000;4500.000;4500.000;4312.500;3937.500;4312.500;4312.500;3937.500;3937.500;3750.000;3937.500;3750.000;3937.500;3937.500;4312.500;4125.000;3937.500;4125.000;3937.500;4312.500;4312.500;4125.000;3937.500;3750.000;4875.000;3937.500;3750.000;4687.500;4312.500;3937.500;4125.000;5625.000;3750.000;3937.500;4687.500;4875.000;3937.500;4312.500;4312.500;3937.500;3750.000;3750.000;3750.000;3750.000	210.938;0.000;-210.938;984.375;-914.062;-70.312;140.625;-70.312;210.938;-140.625;-70.312;140.625;-210.938;0.000;70.312;-70.312;0.000;0.000;0.000;281.250;-210.938;-70.312;281.250;-281.250;140.625;-70.312;0.000;562.500;-492.188;-140.625;70.312;-70.312;140.625;0.000;70.312;-140.625;-70.312;70.312;140.625;-140.625;0.000;-70.312;0.000;0.000;0.000;70.312;-70.312;70.312;773.438;-843.750;140.625;351.562;-140.625;70.312;-70.312;-140.625;210.938;-140.625;-70.312;-210.938;210.938;0.000;0.000;140.625;-140.625;-140.625;210.938;0.000;0.000;70.312;-210.938;70.312;-70.312;70.312;-70.312;70.312;-70.312;140.625;-140.625;70.312;-70.312;-70.312;70.312;-70.312;140.625;-70.312;-140.625;0.000;0.000;70.312;0.000;140.625;-140.625;70.312;-140.625;70.312;140.625;-70.312;0.000;0.000;-140.625;140.625;0.000;-70.312;281.250;-281.250;-70.312;210.938;-210.938;70.312;70.312;-70.312;70.312;-140.625;281.250;-210.938;70.312;70.312;-140.625;70.312;-140.625;140.625;-70.312;70.312;-70.312;70.312;-140.625;281.250;-70.312;-70.312;-70.312;0.000;-70.312;70.312;0.000;70.312;0.000;-70.312;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;-70.312;0.000;210.938;-210.938;70.312;0.000;351.562;-351.562;70.312;-70.312;140.625;-140.625;-70.312;70.312;0.000;0.000;0.000;70.312;-70.312;210.938;-210.938;0.000;70.312;0.000;-70.312;140.625;-140.625;-70.312;351.562;-140.625;-140.625;0.000;0.000;0.000;281.250;-281.250;-70.312;140.625;0.000;562.500;-632.812;-70.312;70.312;-70.312;0.000;70.312;70.312;-140.625;0.000;70.312;140.625;-140.625;0.000;0.000;70.312;-140.625;140.625;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;-70.312;140.625;-70.312;0.000;0.000;70.312;-70.312;0.000;281.250;-281.250;0.000;0.000;-70.312;140.625;-70.312;0.000;-70.312;70.312;0.000;70.312;-70.312;0.000;0.000;70.312;-70.312;0.000;0.000;70.312;70.312;-70.312;-140.625;0.000;210.938;-140.625;0.000;0.000;-70.312;281.250;0.000;-70.312;-140.625;140.625;0.000;-140.625;0.000;-70.312;70.312;-70.312;70.312;0.000;140.625;-70.312;-70.312;70.312;-70.312;140.625;0.000;-70.312;-70.312;-70.312;421.875;-351.562;-70.312;351.562;-140.625;-140.625;70.312;562.500;-703.125;70.312;281.250;70.312;-351.562;140.625;0.000;-140.625;-70.312;0.000;0.000;0.000	262.1141	1											W_913					
4	Spectrogram 1	2	263.316364188	264.143866194	3394.113	8622.881	0.8275	4125.000	263.5893	5228.768	SeaPro_20221030_123445_2CH192K16.wav	3562.500;3750.000;4125.000;3562.500;4125.000;3562.500;3562.500;3750.000;4125.000;3562.500;4125.000;4312.500;4500.000;3562.500;3562.500;3562.500;3562.500;3750.000;3562.500;3562.500;3562.500;3562.500;3562.500;3750.000;3750.000;3750.000;3750.000;3937.500;3750.000;3750.000;3937.500;4875.000;3562.500;3562.500;3750.000;3750.000;3750.000;3937.500;3562.500;3750.000;4125.000;3750.000;3750.000;6937.500;3937.500;3562.500;3562.500;3562.500;3937.500;3750.000;3750.000;3750.000;4500.000;4500.000;4500.000;4312.500;4312.500;3562.500;3750.000;5250.000;4312.500;3937.500;4500.000;3562.500;3750.000;4500.000;4312.500;4312.500;4125.000;3937.500;4125.000;3750.000;4125.000;4125.000;4312.500;4125.000;4125.000;3562.500;3937.500;4312.500;4125.000;4125.000;4125.000;4312.500;4125.000;3562.500;3937.500;4125.000;4125.000;3937.500;4125.000;3562.500;3937.500;3562.500;4125.000;4125.000;4125.000;3562.500;3562.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4500.000;3750.000;4312.500;3750.000;3937.500;4125.000;3937.500;3562.500;3937.500;3750.000;4312.500;3937.500;3562.500;3562.500;4125.000;4125.000;3562.500;3750.000;3750.000;3937.500;4312.500;3750.000;4500.000;3937.500;4125.000;3937.500;4125.000;3937.500;4125.000;3750.000;3750.000;4125.000;4312.500;3937.500;3937.500;3937.500;3562.500;3562.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3562.500;3937.500;3750.000;3562.500;4125.000;3937.500;3750.000;3562.500;3562.500;3562.500;4500.000;3562.500;3750.000;3750.000;3750.000;3562.500;3750.000;4125.000;3937.500;4312.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3562.500;4312.500;5437.500;3937.500;3562.500;3562.500;3937.500;3937.500;4500.000;3937.500;3562.500;4125.000;4125.000;3562.500;3750.000;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;4125.000;4500.000;3750.000;3562.500;3937.500;3562.500;3937.500;4312.500;3562.500;3937.500;4500.000;3937.500;3937.500;3937.500;3562.500;3562.500;3937.500;3750.000;3937.500;3937.500;3937.500;3750.000;3937.500;3750.000;3750.000;3562.500;3750.000;4125.000;3937.500;3937.500;3750.000;3562.500;3562.500;3562.500;3937.500;4312.500;3562.500;3937.500;3937.500;3937.500;3937.500;3562.500;4125.000;3937.500;3937.500;3750.000;3562.500;4125.000;4125.000;3750.000;3562.500;3750.000;3750.000;3562.500;3937.500;3937.500;3562.500;3750.000;3937.500;3937.500;5062.500;3562.500;3562.500;3562.500;3562.500;3562.500;3937.500;3562.500;3750.000;3937.500;3937.500;3562.500;3937.500;3937.500;3937.500;4125.000;3562.500;4500.000;3562.500;3562.500;3937.500;4500.000;4500.000;3937.500;4312.500;4312.500;3937.500;3750.000;3750.000;4125.000;3562.500;3562.500;4500.000;4125.000;3937.500;3937.500;4125.000;3937.500;3562.500;3750.000;4875.000;3750.000;3562.500;3937.500;4312.500;4500.000;3937.500;3937.500;3750.000;3562.500;3937.500;4125.000;3750.000	70.312;140.625;-210.938;210.938;-210.938;0.000;70.312;140.625;-210.938;210.938;70.312;70.312;-351.562;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;-70.312;0.000;70.312;351.562;-492.188;0.000;70.312;0.000;0.000;70.312;-140.625;70.312;140.625;-140.625;0.000;1195.312;-1125.000;-140.625;0.000;0.000;140.625;-70.312;0.000;0.000;281.250;0.000;0.000;-70.312;0.000;-281.250;70.312;562.500;-351.562;-140.625;210.938;-351.562;70.312;281.250;-70.312;0.000;-70.312;-70.312;70.312;-140.625;140.625;0.000;70.312;-70.312;0.000;-210.938;140.625;140.625;-70.312;0.000;0.000;70.312;-70.312;-210.938;140.625;70.312;0.000;-70.312;70.312;-210.938;140.625;-140.625;210.938;0.000;0.000;-210.938;0.000;210.938;0.000;0.000;0.000;0.000;0.000;140.625;-281.250;210.938;-210.938;70.312;70.312;-70.312;-140.625;140.625;-70.312;210.938;-140.625;-140.625;0.000;210.938;0.000;-210.938;70.312;0.000;70.312;140.625;-210.938;281.250;-210.938;70.312;-70.312;70.312;-70.312;70.312;-140.625;0.000;140.625;70.312;-140.625;0.000;0.000;-140.625;0.000;210.938;-70.312;0.000;0.000;0.000;0.000;0.000;-140.625;140.625;-70.312;-70.312;210.938;-70.312;-70.312;-70.312;0.000;0.000;351.562;-351.562;70.312;0.000;0.000;-70.312;70.312;140.625;-70.312;140.625;-140.625;0.000;0.000;0.000;0.000;0.000;-140.625;281.250;421.875;-562.500;-140.625;0.000;140.625;0.000;210.938;-210.938;-140.625;210.938;0.000;-210.938;70.312;70.312;0.000;0.000;0.000;0.000;70.312;0.000;140.625;-281.250;-70.312;140.625;-140.625;140.625;140.625;-281.250;140.625;210.938;-210.938;0.000;0.000;-140.625;0.000;140.625;-70.312;70.312;0.000;0.000;-70.312;70.312;-70.312;0.000;-70.312;70.312;140.625;-70.312;0.000;-70.312;-70.312;0.000;0.000;140.625;140.625;-281.250;140.625;0.000;0.000;0.000;-140.625;210.938;-70.312;0.000;-70.312;-70.312;210.938;0.000;-140.625;-70.312;70.312;0.000;-70.312;140.625;0.000;-140.625;70.312;70.312;0.000;421.875;-562.500;0.000;0.000;0.000;0.000;140.625;-140.625;70.312;70.312;0.000;-140.625;140.625;0.000;0.000;70.312;-210.938;351.562;-351.562;0.000;140.625;210.938;0.000;-210.938;140.625;0.000;-140.625;-70.312;0.000;140.625;-210.938;0.000;351.562;-140.625;-70.312;0.000;70.312;-70.312;-140.625;70.312;421.875;-421.875;-70.312;140.625;140.625;70.312;-210.938;0.000;-70.312;-70.312;140.625;70.312;-140.625	263.3164	1											W_913					
