Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
1	Spectrogram 1	2	59.806214149	60.190628619	6325.581	8744.186	2418.605	0.3844	7687.500	59.8747	SeaPro_20220801_095647_2CH192K16.wav	7687.500;7687.500;8250.000;7687.500;8062.500;7687.500;7500.000;8062.500;8062.500;8062.500;8062.500;8062.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7687.500;7875.000;7687.500;6562.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7500.000;7687.500;7500.000;7500.000;8062.500;7500.000;7500.000;7687.500;7500.000;7500.000;7500.000;7687.500;7875.000;8062.500;6562.500;7500.000;7875.000;7500.000;7500.000;7312.500;7500.000;7687.500;7500.000;7500.000;7500.000;7875.000;7500.000;7312.500;7500.000;7500.000;7500.000;7500.000;8062.500;6375.000;7687.500;7500.000;7500.000;6562.500;7500.000;7687.500;6562.500;6750.000;7500.000;6750.000;7687.500;7500.000;8062.500;8062.500;6562.500;6562.500;6375.000;7500.000;7500.000;7500.000;7500.000;7500.000;7687.500;7687.500;7687.500;6375.000;7687.500;7500.000;7500.000;7312.500;7312.500;7125.000;7312.500;7312.500;7125.000;7125.000;7312.500;7125.000;7125.000;6937.500;6750.000;7125.000;6375.000;6562.500;6375.000;6375.000;6562.500;6562.500;6750.000;6750.000;6375.000;7687.500;6562.500;7500.000;7500.000;7500.000;7500.000;7500.000;6562.500;6750.000;7500.000;7500.000;7687.500;6562.500;6750.000;7875.000;6375.000;6750.000;6562.500;7312.500;6562.500;6375.000;6375.000;6937.500;6375.000;6937.500	0.000;210.938;-210.938;140.625;-140.625;-70.312;210.938;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;-421.875;421.875;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;0.000;210.938;-210.938;0.000;70.312;-70.312;0.000;0.000;70.312;70.312;70.312;-562.500;351.562;140.625;-140.625;0.000;-70.312;70.312;70.312;-70.312;0.000;0.000;140.625;-140.625;-70.312;70.312;0.000;0.000;0.000;210.938;-632.812;492.188;-70.312;0.000;-351.562;351.562;70.312;-421.875;70.312;281.250;-281.250;351.562;-70.312;210.938;0.000;-562.500;0.000;-70.312;421.875;0.000;0.000;0.000;0.000;70.312;0.000;0.000;-492.188;492.188;-70.312;0.000;-70.312;0.000;-70.312;70.312;0.000;-70.312;0.000;70.312;-70.312;0.000;-70.312;-70.312;140.625;-281.250;70.312;-70.312;0.000;70.312;0.000;70.312;0.000;-140.625;492.188;-421.875;351.562;0.000;0.000;0.000;0.000;-351.562;70.312;281.250;0.000;70.312;-421.875;70.312;421.875;-562.500;140.625;-70.312;281.250;-281.250;-70.312;0.000;210.938;-210.938;210.938	59.8062			W_371					1									
2	Spectrogram 1	2	67.475374810	67.696544779	2604.651	4465.116	1860.465	0.2212	3562.500	67.5387	SeaPro_20220801_095647_2CH192K16.wav	3750.000;3750.000;4312.500;3937.500;4312.500;2625.000;2625.000;2625.000;2625.000;2625.000;3187.500;4312.500;2625.000;3375.000;2812.500;2625.000;3750.000;3750.000;3750.000;3750.000;3562.500;3562.500;3562.500;3562.500;3562.500;3000.000;3375.000;2625.000;3375.000;3375.000;2812.500;2812.500;2625.000;3375.000;2625.000;3187.500;2625.000;3187.500;3187.500;3187.500;2625.000;3187.500;2625.000;3187.500;3187.500;2625.000;3000.000;3750.000;2625.000;3187.500;2625.000;3187.500;3187.500;3187.500;3187.500;3750.000;3187.500;3375.000;3375.000;3562.500;3562.500;3562.500;3375.000;2625.000;2625.000;3375.000;2625.000;3375.000;2812.500;3375.000;2625.000;2812.500;3375.000;2625.000;2625.000;3000.000;3187.500;3187.500;3187.500;2625.000;2812.500;2812.500	0.000;210.938;-140.625;140.625;-632.812;0.000;0.000;0.000;0.000;210.938;421.875;-632.812;281.250;-210.938;-70.312;421.875;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;-210.938;140.625;-281.250;281.250;0.000;-210.938;0.000;-70.312;281.250;-281.250;210.938;-210.938;210.938;0.000;0.000;-210.938;210.938;-210.938;210.938;0.000;-210.938;140.625;281.250;-421.875;210.938;-210.938;210.938;0.000;0.000;0.000;210.938;-210.938;70.312;0.000;70.312;0.000;0.000;-70.312;-281.250;0.000;281.250;-281.250;281.250;-210.938;210.938;-281.250;70.312;210.938;-281.250;0.000;140.625;70.312;0.000;0.000;-210.938;70.312;0.000	67.4754			W_372					1									
3	Spectrogram 1	2	68.860320093	69.123617675	3348.837	5395.349	2046.512	0.2633	4125.000	69.0160	SeaPro_20220801_095647_2CH192K16.wav	4125.000;4687.500;4500.000;4500.000;4500.000;4500.000;4500.000;3562.500;3375.000;3750.000;4500.000;4312.500;4500.000;3375.000;3562.500;3562.500;4500.000;4312.500;3375.000;3375.000;4500.000;4312.500;4312.500;4312.500;4312.500;4312.500;4125.000;4125.000;4312.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;3937.500;3562.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;3375.000;3375.000;4125.000;4125.000;4125.000;3562.500;4500.000;4312.500;3562.500;4125.000;4125.000;3937.500;4125.000;4125.000;4125.000;3937.500;4125.000;3937.500;3937.500;4125.000;3937.500;3937.500;4125.000;4125.000;3375.000;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;4125.000;3937.500;4125.000;3562.500;3750.000	210.938;-70.312;0.000;0.000;0.000;0.000;-351.562;-70.312;140.625;281.250;-70.312;70.312;-421.875;70.312;0.000;351.562;-70.312;-351.562;0.000;421.875;-70.312;0.000;0.000;0.000;0.000;-70.312;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;-140.625;210.938;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;-70.312;-210.938;0.000;281.250;0.000;0.000;-210.938;351.562;-70.312;-281.250;210.938;0.000;-70.312;70.312;0.000;0.000;-70.312;70.312;-70.312;0.000;70.312;-70.312;0.000;70.312;0.000;-281.250;210.938;0.000;0.000;0.000;70.312;-70.312;70.312;-70.312;70.312;-210.938;70.312	68.8603			W_373					1									
4	Spectrogram 1	2	69.723935066	70.292657844	3534.884	10790.698	7255.814	0.5687	4312.500	70.2107	SeaPro_20220801_095647_2CH192K16.wav	3562.500;3562.500;4125.000;3562.500;3562.500;4125.000;3562.500;3750.000;3562.500;3562.500;3937.500;3562.500;3937.500;3750.000;3937.500;3937.500;4125.000;5062.500;4125.000;3750.000;3750.000;3562.500;3562.500;3937.500;3562.500;4125.000;3562.500;3937.500;4875.000;3562.500;3562.500;3562.500;3750.000;3750.000;3562.500;3562.500;3562.500;3562.500;4312.500;3750.000;3750.000;3562.500;3562.500;3750.000;3750.000;3750.000;3562.500;3937.500;3562.500;3750.000;5437.500;5437.500;3937.500;3937.500;4125.000;3562.500;3562.500;3937.500;4312.500;4125.000;3562.500;3562.500;3750.000;3562.500;3750.000;4125.000;3750.000;3562.500;3562.500;3750.000;3562.500;3937.500;3750.000;3750.000;3750.000;4312.500;3562.500;3562.500;3937.500;3562.500;3750.000;5437.500;3562.500;3562.500;4312.500;3750.000;3750.000;3937.500;4875.000;3750.000;3750.000;4312.500;3750.000;3562.500;3562.500;3562.500;4687.500;3750.000;4125.000;3562.500;3937.500;3750.000;3562.500;3562.500;3937.500;3750.000;3750.000;4125.000;3562.500;3562.500;3562.500;4312.500;3562.500;3562.500;3750.000;5437.500;3937.500;4312.500;3562.500;5437.500;3750.000;3937.500;3562.500;4125.000;4312.500;3562.500;4312.500;3562.500;3562.500;3562.500;3750.000;4125.000;3562.500;3562.500;3562.500;3750.000;3562.500;4500.000;3562.500;3750.000;3562.500;3562.500;5437.500;3562.500;5437.500;5437.500;3562.500;3750.000;5437.500;5625.000;4125.000;3750.000;3750.000;3562.500;3937.500;3562.500;3750.000;4875.000;3562.500;3562.500;4312.500;5625.000;5625.000;3562.500;3562.500;3750.000;3750.000;6375.000;4500.000;4500.000;3937.500;3750.000;4312.500;3937.500;4125.000;4312.500;3562.500;3562.500;4312.500;3750.000;4312.500;4312.500;4312.500;4312.500;3750.000;4125.000;4312.500;4125.000;4125.000;4125.000;4125.000;3562.500;3937.500;4125.000;3562.500;3937.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500;4312.500	0.000;210.938;-210.938;0.000;210.938;-210.938;70.312;-70.312;0.000;140.625;-140.625;140.625;-70.312;70.312;0.000;70.312;351.562;-351.562;-140.625;0.000;-70.312;0.000;140.625;-140.625;210.938;-210.938;140.625;351.562;-492.188;0.000;0.000;70.312;0.000;-70.312;0.000;0.000;0.000;281.250;-210.938;0.000;-70.312;0.000;70.312;0.000;0.000;-70.312;140.625;-140.625;70.312;632.812;0.000;-562.500;0.000;70.312;-210.938;0.000;140.625;140.625;-70.312;-210.938;0.000;70.312;-70.312;70.312;140.625;-140.625;-70.312;0.000;70.312;-70.312;140.625;-70.312;0.000;0.000;210.938;-281.250;0.000;140.625;-140.625;70.312;632.812;-703.125;0.000;281.250;-210.938;0.000;70.312;351.562;-421.875;0.000;210.938;-210.938;-70.312;0.000;0.000;421.875;-351.562;140.625;-210.938;140.625;-70.312;-70.312;0.000;140.625;-70.312;0.000;140.625;-210.938;0.000;0.000;281.250;-281.250;0.000;70.312;632.812;-562.500;140.625;-281.250;703.125;-632.812;70.312;-140.625;210.938;70.312;-281.250;281.250;-281.250;0.000;0.000;70.312;140.625;-210.938;0.000;0.000;70.312;-70.312;351.562;-351.562;70.312;-70.312;0.000;703.125;-703.125;703.125;0.000;-703.125;70.312;632.812;70.312;-562.500;-140.625;0.000;-70.312;140.625;-140.625;70.312;421.875;-492.188;0.000;281.250;492.188;0.000;-773.438;0.000;70.312;0.000;984.375;-703.125;0.000;-210.938;-70.312;210.938;-140.625;70.312;70.312;-281.250;0.000;281.250;-210.938;210.938;0.000;0.000;0.000;-210.938;140.625;70.312;-70.312;0.000;0.000;0.000;-210.938;140.625;70.312;-210.938;140.625;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	69.7239			W_374					1									
5	Spectrogram 1	2	77.632087400	77.826927610	2976.744	4837.209	1860.465	0.1948	3937.500	77.7707	SeaPro_20220801_095647_2CH192K16.wav	3000.000;3000.000;3000.000;4312.500;4312.500;3937.500;4687.500;3000.000;4312.500;3562.500;3187.500;3000.000;3187.500;4500.000;4312.500;4312.500;3375.000;3000.000;4125.000;4125.000;3187.500;4125.000;4125.000;3187.500;4125.000;4125.000;3937.500;3937.500;3937.500;3937.500;4125.000;4125.000;4125.000;3937.500;3937.500;3000.000;3750.000;3187.500;3375.000;3187.500;3187.500;3187.500;3937.500;3187.500;3937.500;3937.500;3187.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3750.000;3937.500;3750.000;3000.000;3000.000;3187.500;3000.000;3000.000;3750.000;3562.500;3375.000;3187.500;3000.000;3750.000;3000.000;3000.000	0.000;0.000;492.188;0.000;-140.625;281.250;-632.812;492.188;-281.250;-140.625;-70.312;70.312;492.188;-70.312;0.000;-351.562;-140.625;421.875;0.000;-351.562;351.562;0.000;-351.562;351.562;0.000;-70.312;0.000;0.000;0.000;70.312;0.000;0.000;-70.312;0.000;-351.562;281.250;-210.938;70.312;-70.312;0.000;0.000;281.250;-281.250;281.250;0.000;-281.250;281.250;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;-281.250;0.000;70.312;-70.312;0.000;281.250;-70.312;-70.312;-70.312;-70.312;281.250;-281.250;0.000	77.6321			W_375					1									
7	Spectrogram 1	2	92.840183143	93.514224954	3348.837	11162.791	7813.954	0.6740	3937.500	93.4640	SeaPro_20220801_095647_2CH192K16.wav	3750.000;4125.000;3750.000;3562.500;4125.000;3562.500;4500.000;3750.000;3562.500;3750.000;4687.500;3375.000;3375.000;3562.500;3937.500;3562.500;3562.500;3937.500;3937.500;3750.000;3375.000;3375.000;3375.000;3375.000;3937.500;3375.000;3375.000;3562.500;3375.000;3562.500;3937.500;3562.500;3562.500;3562.500;3562.500;3750.000;3562.500;3375.000;3375.000;3375.000;3937.500;3750.000;3750.000;3750.000;3375.000;3375.000;3750.000;3562.500;3750.000;3750.000;3375.000;3375.000;3937.500;4125.000;3375.000;3562.500;3375.000;3375.000;3375.000;3375.000;3375.000;4125.000;3750.000;3375.000;3375.000;3750.000;3375.000;3375.000;3375.000;3562.500;3562.500;3375.000;3562.500;3562.500;3750.000;3750.000;3375.000;3375.000;3375.000;4500.000;3562.500;3562.500;3562.500;4312.500;3562.500;3750.000;3562.500;3937.500;3750.000;3375.000;4500.000;3562.500;3375.000;3562.500;3750.000;3750.000;3562.500;3750.000;3562.500;3562.500;4312.500;3562.500;3375.000;3375.000;3937.500;3750.000;3375.000;3937.500;3375.000;3750.000;3937.500;3375.000;3937.500;3562.500;3375.000;3375.000;3562.500;4125.000;4500.000;3375.000;3750.000;3937.500;3375.000;3562.500;3750.000;3750.000;3375.000;3562.500;4312.500;3750.000;4312.500;3750.000;3937.500;4125.000;4312.500;3562.500;3375.000;3375.000;3375.000;3937.500;3562.500;3562.500;3937.500;3750.000;3375.000;4312.500;3750.000;3750.000;3750.000;3750.000;3562.500;3562.500;3750.000;3375.000;3375.000;4312.500;4125.000;3750.000;4125.000;4312.500;8625.000;3375.000;3562.500;4125.000;3562.500;4125.000;3937.500;3562.500;3375.000;3562.500;3750.000;3375.000;3750.000;3750.000;3562.500;3750.000;3375.000;3562.500;8625.000;3375.000;3562.500;3937.500;3562.500;3937.500;3750.000;3750.000;3750.000;4312.500;4125.000;4125.000;4125.000;3750.000;3375.000;3562.500;3375.000;3375.000;4125.000;3375.000;3375.000;8062.500;3375.000;3562.500;3937.500;4687.500;3937.500;3375.000;3562.500;4500.000;3375.000;3562.500;3562.500;3750.000;3375.000;3562.500;3750.000;4875.000;3937.500;3375.000;4500.000;4500.000;4125.000;3375.000;4312.500;4500.000;4312.500;4312.500;4312.500;3562.500;4687.500;3375.000;3937.500;3937.500;3937.500;3937.500;4125.000;4125.000;3937.500;4312.500;3937.500;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3750.000	140.625;-140.625;-70.312;210.938;-210.938;351.562;-281.250;-70.312;70.312;351.562;-492.188;0.000;70.312;140.625;-140.625;0.000;140.625;0.000;-70.312;-140.625;0.000;0.000;0.000;210.938;-210.938;0.000;70.312;-70.312;70.312;140.625;-140.625;0.000;0.000;0.000;70.312;-70.312;-70.312;0.000;0.000;210.938;-70.312;0.000;0.000;-140.625;0.000;140.625;-70.312;70.312;0.000;-140.625;0.000;210.938;70.312;-281.250;70.312;-70.312;0.000;0.000;0.000;0.000;281.250;-140.625;-140.625;0.000;140.625;-140.625;0.000;0.000;70.312;0.000;-70.312;70.312;0.000;70.312;0.000;-140.625;0.000;0.000;421.875;-351.562;0.000;0.000;281.250;-281.250;70.312;-70.312;140.625;-70.312;-140.625;421.875;-351.562;-70.312;70.312;70.312;0.000;-70.312;70.312;-70.312;0.000;281.250;-281.250;-70.312;0.000;210.938;-70.312;-140.625;210.938;-210.938;140.625;70.312;-210.938;210.938;-140.625;-70.312;0.000;70.312;210.938;140.625;-421.875;140.625;70.312;-210.938;70.312;70.312;0.000;-140.625;70.312;281.250;-210.938;210.938;-210.938;70.312;70.312;70.312;-281.250;-70.312;0.000;0.000;210.938;-140.625;0.000;140.625;-70.312;-140.625;351.562;-210.938;0.000;0.000;0.000;-70.312;0.000;70.312;-140.625;0.000;351.562;-70.312;-140.625;140.625;70.312;1617.188;-1968.750;70.312;210.938;-210.938;210.938;-70.312;-140.625;-70.312;70.312;70.312;-140.625;140.625;0.000;-70.312;70.312;-140.625;70.312;1898.438;-1968.750;70.312;140.625;-140.625;140.625;-70.312;0.000;0.000;210.938;-70.312;0.000;0.000;-140.625;-140.625;70.312;-70.312;0.000;281.250;-281.250;0.000;1757.812;-1757.812;70.312;140.625;281.250;-281.250;-210.938;70.312;351.562;-421.875;70.312;0.000;70.312;-140.625;70.312;70.312;421.875;-351.562;-210.938;421.875;0.000;-140.625;-281.250;351.562;70.312;-70.312;0.000;0.000;-281.250;421.875;-492.188;210.938;0.000;0.000;0.000;70.312;0.000;-70.312;140.625;-140.625;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312	92.8402			W_376					1									
8	Spectrogram 1	2	94.251458184	94.772787397	3906.977	10232.558	6325.581	0.5213	4125.000	94.7440	SeaPro_20220801_095647_2CH192K16.wav	4312.500;4312.500;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;4687.500;4125.000;4500.000;3937.500;4500.000;3937.500;3937.500;3937.500;3937.500;4687.500;4125.000;4125.000;4125.000;4312.500;3937.500;3937.500;3937.500;4687.500;4125.000;3937.500;4125.000;4312.500;3937.500;4312.500;4125.000;4687.500;3937.500;4125.000;4312.500;4125.000;4125.000;4312.500;8437.500;3937.500;3937.500;4312.500;4125.000;3937.500;3937.500;3937.500;4312.500;4125.000;3937.500;5437.500;4312.500;4687.500;3937.500;3937.500;4125.000;4125.000;3937.500;3937.500;4312.500;3937.500;4312.500;3937.500;4125.000;3937.500;3937.500;3937.500;4125.000;4687.500;4875.000;4125.000;3937.500;4125.000;4312.500;3937.500;3937.500;3937.500;4125.000;4125.000;3937.500;4312.500;3937.500;3937.500;4125.000;4125.000;4125.000;4312.500;3937.500;4500.000;3937.500;8250.000;4687.500;3937.500;3937.500;3937.500;4125.000;4312.500;4125.000;3937.500;5062.500;3937.500;4312.500;4500.000;4500.000;4312.500;4687.500;4125.000;4125.000;3937.500;4125.000;3937.500;3937.500;4125.000;3937.500;4312.500;3937.500;4687.500;4125.000;4500.000;3937.500;3937.500;4125.000;4312.500;4500.000;3937.500;4687.500;4125.000;3937.500;4125.000;4687.500;4500.000;3937.500;3937.500;4125.000;3937.500;3937.500;4125.000;3937.500;4125.000;4312.500;3937.500;4125.000;4500.000;3937.500;3937.500;3937.500;4312.500;4125.000;5250.000;5437.500;6375.000;6187.500;4125.000;4125.000;6000.000;4125.000;5625.000;5625.000;4500.000;3937.500;3937.500;4312.500;6187.500;4312.500;4312.500;4312.500;3937.500;4312.500;4312.500;4125.000;5062.500;4875.000;4875.000;4875.000;5062.500;4875.000;4875.000;4875.000;4312.500;4312.500;4312.500;4312.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4312.500;3937.500	0.000;-140.625;0.000;70.312;-70.312;0.000;0.000;281.250;-210.938;140.625;-210.938;210.938;-210.938;0.000;0.000;0.000;281.250;-210.938;0.000;0.000;70.312;-140.625;0.000;0.000;281.250;-210.938;-70.312;70.312;70.312;-140.625;140.625;-70.312;210.938;-281.250;70.312;70.312;-70.312;0.000;70.312;1546.875;-1687.500;0.000;140.625;-70.312;-70.312;0.000;0.000;140.625;-70.312;-70.312;562.500;-421.875;140.625;-281.250;0.000;70.312;0.000;-70.312;0.000;140.625;-140.625;140.625;-140.625;70.312;-70.312;0.000;0.000;70.312;210.938;70.312;-281.250;-70.312;70.312;70.312;-140.625;0.000;0.000;70.312;0.000;-70.312;140.625;-140.625;0.000;70.312;0.000;0.000;70.312;-140.625;210.938;-210.938;1617.188;-1335.938;-281.250;0.000;0.000;70.312;70.312;-70.312;-70.312;421.875;-421.875;140.625;70.312;0.000;-70.312;140.625;-210.938;0.000;-70.312;70.312;-70.312;0.000;70.312;-70.312;140.625;-140.625;281.250;-210.938;140.625;-210.938;0.000;70.312;70.312;70.312;-210.938;281.250;-210.938;-70.312;70.312;210.938;-70.312;-210.938;0.000;70.312;-70.312;0.000;70.312;-70.312;70.312;70.312;-140.625;70.312;140.625;-210.938;0.000;0.000;140.625;-70.312;421.875;70.312;351.562;-70.312;-773.438;0.000;703.125;-703.125;562.500;0.000;-421.875;-210.938;0.000;140.625;703.125;-703.125;0.000;0.000;-140.625;140.625;0.000;-70.312;351.562;-70.312;0.000;0.000;70.312;-70.312;0.000;0.000;-210.938;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-140.625	94.2515			W_377					1									
9	Spectrogram 1	1	543.439147948	543.881487886	8419.504	11839.927	3420.423	0.4423	9750.000	543.8347	SeaPro_20220801_095647_2CH192K16.wav	10875.000;10875.000;10875.000;10875.000;10500.000;10500.000;10875.000;11250.000;10125.000;10687.500;10687.500;10687.500;10875.000;10875.000;11062.500;10500.000;10875.000;10875.000;10500.000;10500.000;10500.000;9937.500;10500.000;10500.000;10500.000;9937.500;11062.500;9562.500;10687.500;11062.500;11250.000;10875.000;10687.500;10875.000;9750.000;10500.000;10312.500;9375.000;9937.500;9937.500;10125.000;9937.500;9937.500;10875.000;9937.500;9375.000;9937.500;9937.500;10687.500;10125.000;9187.500;9562.500;9937.500;9750.000;9937.500;9937.500;9937.500;9375.000;9937.500;9937.500;9937.500;9375.000;9375.000;9562.500;9375.000;9937.500;9937.500;9937.500;9937.500;9375.000;9562.500;9562.500;9562.500;9375.000;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9562.500;9750.000;8437.500;9562.500;9750.000;9750.000;8437.500;8437.500;9562.500;9562.500;9562.500;9562.500;8437.500;9750.000;8625.000;9000.000;11437.500;10875.000;9375.000;9187.500;8437.500;8437.500;9187.500;9375.000;9187.500;8625.000;9187.500;9375.000;9937.500;9375.000;9375.000;9375.000;9187.500;9750.000;9187.500;9937.500;9750.000;9750.000;9750.000;9187.500;8625.000;9750.000;9187.500;9937.500;9750.000;9750.000;9750.000;9750.000;9750.000;9187.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9562.500;10125.000;9375.000;9375.000;9375.000;9937.500;9375.000;9750.000;9750.000;10312.500;9375.000;9375.000;9937.500;9750.000;10125.000;10125.000;9937.500;11062.500;9937.500;10687.500;11437.500;11625.000;9187.500;11062.500;8812.500	0.000;0.000;0.000;-140.625;0.000;140.625;140.625;-421.875;210.938;0.000;0.000;70.312;0.000;70.312;-210.938;140.625;0.000;-140.625;0.000;0.000;-210.938;210.938;0.000;0.000;-210.938;421.875;-562.500;421.875;140.625;70.312;-140.625;-70.312;70.312;-421.875;281.250;-70.312;-351.562;210.938;0.000;70.312;-70.312;0.000;351.562;-351.562;-210.938;210.938;0.000;281.250;-210.938;-351.562;140.625;140.625;-70.312;70.312;0.000;0.000;-210.938;210.938;0.000;0.000;-210.938;0.000;70.312;-70.312;210.938;0.000;0.000;0.000;-210.938;70.312;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-492.188;421.875;70.312;0.000;-492.188;0.000;421.875;0.000;0.000;0.000;-421.875;492.188;-421.875;140.625;914.062;-210.938;-562.500;-70.312;-281.250;0.000;281.250;70.312;-70.312;-210.938;210.938;70.312;210.938;-210.938;0.000;0.000;-70.312;210.938;-210.938;281.250;-70.312;0.000;0.000;-210.938;-210.938;421.875;-210.938;281.250;-70.312;0.000;0.000;0.000;0.000;-210.938;-70.312;0.000;0.000;0.000;0.000;0.000;210.938;210.938;-281.250;0.000;0.000;210.938;-210.938;140.625;0.000;210.938;-351.562;0.000;210.938;-70.312;140.625;0.000;-70.312;421.875;-421.875;281.250;281.250;70.312;-914.062;703.125;-843.750	543.4391			W_378					1									
