Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
1	Spectrogram 1	2	15.574584008	16.517752522	5221.700	13735.400	8513.700	0.9432	5437.500	16.0613	SeaPro_20230718_100415_2CH192K16.wav	6000.000;5437.500;5250.000;6187.500;5250.000;5437.500;5625.000;5625.000;5437.500;5250.000;5437.500;5250.000;5437.500;5437.500;5437.500;5250.000;6562.500;5437.500;5250.000;6000.000;5250.000;5250.000;5250.000;5437.500;5250.000;5250.000;5812.500;5812.500;5250.000;5250.000;5250.000;5250.000;5812.500;5250.000;5250.000;5250.000;5250.000;5250.000;5437.500;5437.500;5812.500;5437.500;5437.500;5437.500;5250.000;5250.000;5250.000;5250.000;5250.000;6187.500;5437.500;5437.500;5250.000;5437.500;5812.500;5437.500;5437.500;5437.500;5437.500;5437.500;5250.000;5250.000;5625.000;6187.500;5625.000;6187.500;5812.500;5437.500;5250.000;5437.500;5250.000;5437.500;5812.500;6000.000;6000.000;5437.500;5250.000;6000.000;5437.500;5437.500;5250.000;6187.500;6187.500;5812.500;6187.500;6187.500;6187.500;6187.500;5812.500;6187.500;6375.000;5250.000;5437.500;6375.000;6375.000;6375.000;6375.000;6000.000;5812.500;5250.000;5437.500;5250.000;5250.000;6562.500;6562.500;5437.500;5250.000;5437.500;6000.000;6750.000;6750.000;5250.000;6937.500;5437.500;5250.000;6937.500;6937.500;6937.500;5437.500;6000.000;6937.500;7125.000;7125.000;5250.000;5250.000;5250.000;5250.000;6000.000;5437.500;5250.000;5437.500;5250.000;5250.000;5812.500;7312.500;5250.000;7312.500;5625.000;5250.000;7500.000;5625.000;6000.000;7500.000;5437.500;7500.000;7500.000;7500.000;7500.000;7500.000;5437.500;6000.000;5437.500;7500.000;7500.000;7687.500;7500.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;5250.000;7687.500;7687.500;7687.500;7687.500;5625.000;6562.500;5250.000;7875.000;7687.500;7687.500;5437.500;5437.500;5437.500;5437.500;7875.000;5437.500;5250.000;5437.500;7875.000;6000.000;5437.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;5250.000;8062.500;8062.500;5250.000;8062.500;8062.500;8062.500;8062.500;6000.000;8062.500;5625.000;5812.500;5250.000;8062.500;8062.500;8062.500;5437.500;8250.000;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;5437.500;5437.500;8250.000;8250.000;8250.000;8437.500;8250.000;5250.000;5437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;5250.000;5250.000;8625.000;5437.500;8625.000;5250.000;5250.000;5250.000;5437.500;5250.000;8812.500;5437.500;8812.500;8812.500;8812.500;8812.500;9000.000;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9000.000;9187.500;6000.000;6000.000;9187.500;5437.500;5437.500;5250.000;9375.000;9375.000;9375.000;5250.000;9562.500;9562.500;9562.500;9562.500;9562.500;9750.000;9750.000;9750.000;5812.500;9750.000;5250.000;5250.000;5250.000;9937.500;9937.500;6000.000;10125.000;5250.000;10125.000;5250.000;10312.500;10312.500;8250.000;5437.500;10312.500;5625.000;5625.000;10500.000;10500.000;10500.000;10687.500;10687.500;5437.500;5437.500;5437.500;5250.000;5250.000;5437.500;5250.000;11062.500;5625.000;11062.500;11250.000;6000.000;5250.000;5250.000;11437.500;5250.000;5437.500;5250.000;5250.000;5437.500;6937.500;5812.500;5625.000;11812.500;6000.000;5625.000;6187.500;5437.500;6000.000;5250.000;5250.000;5625.000;5250.000;5250.000;5625.000;7125.000;7125.000;7312.500;5250.000;5812.500;5625.000;7687.500;7687.500;7875.000;8062.500;5437.500;5437.500;5437.500;5625.000;5625.000;5250.000;5437.500	-210.938;-70.312;351.562;-351.562;70.312;70.312;0.000;-70.312;-70.312;70.312;-70.312;70.312;0.000;0.000;-70.312;492.188;-421.875;-70.312;281.250;-281.250;0.000;0.000;70.312;-70.312;0.000;210.938;0.000;-210.938;0.000;0.000;0.000;210.938;-210.938;0.000;0.000;0.000;0.000;70.312;0.000;140.625;-140.625;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;351.562;-281.250;0.000;-70.312;70.312;140.625;-140.625;0.000;0.000;0.000;0.000;-70.312;0.000;140.625;210.938;-210.938;210.938;-140.625;-140.625;-70.312;70.312;-70.312;70.312;140.625;70.312;0.000;-210.938;-70.312;281.250;-210.938;0.000;-70.312;351.562;0.000;-140.625;140.625;0.000;0.000;0.000;-140.625;140.625;70.312;-421.875;70.312;351.562;0.000;0.000;0.000;-140.625;-70.312;-210.938;70.312;-70.312;0.000;492.188;0.000;-421.875;-70.312;70.312;210.938;281.250;0.000;-562.500;632.812;-562.500;-70.312;632.812;0.000;0.000;-562.500;210.938;351.562;70.312;0.000;-703.125;0.000;0.000;0.000;281.250;-210.938;-70.312;70.312;-70.312;0.000;210.938;562.500;-773.438;773.438;-632.812;-140.625;843.750;-703.125;140.625;562.500;-773.438;773.438;0.000;0.000;0.000;0.000;-773.438;210.938;-210.938;773.438;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-914.062;914.062;0.000;0.000;0.000;-773.438;351.562;-492.188;984.375;-70.312;0.000;-843.750;0.000;0.000;0.000;914.062;-914.062;-70.312;70.312;914.062;-703.125;-210.938;984.375;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-1054.688;1054.688;0.000;-1054.688;1054.688;0.000;0.000;0.000;-773.438;773.438;-914.062;70.312;-210.938;1054.688;0.000;0.000;-984.375;1054.688;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;-1054.688;0.000;1054.688;0.000;0.000;70.312;-70.312;-1125.000;70.312;1125.000;0.000;0.000;0.000;0.000;70.312;-1265.625;0.000;1265.625;-1195.312;1195.312;-1265.625;0.000;0.000;70.312;-70.312;1335.938;-1265.625;1265.625;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-1195.312;0.000;1195.312;-1406.250;0.000;-70.312;1546.875;0.000;0.000;-1546.875;1617.188;0.000;0.000;0.000;0.000;70.312;0.000;0.000;-1476.562;1476.562;-1687.500;0.000;0.000;1757.812;0.000;-1476.562;1546.875;-1828.125;1828.125;-1828.125;1898.438;0.000;-773.438;-1054.688;1828.125;-1757.812;0.000;1828.125;0.000;0.000;70.312;0.000;-1968.750;0.000;0.000;-70.312;0.000;70.312;-70.312;2179.688;-2039.062;2039.062;70.312;-1968.750;-281.250;0.000;2320.312;-2320.312;70.312;-70.312;0.000;70.312;562.500;-421.875;-70.312;2320.312;-2179.688;-140.625;210.938;-281.250;210.938;-281.250;0.000;140.625;-140.625;0.000;140.625;562.500;0.000;70.312;-773.438;210.938;-70.312;773.438;0.000;70.312;70.312;-984.375;0.000;0.000;70.312;0.000;-140.625;70.312	15.5746																	
3	Spectrogram 1	1	13.562955221	15.379685717	6118.600	15469.800	9351.200	1.8167	15375.000	13.9813	SeaPro_20230718_100415_2CH192K16.wav	6187.500;6187.500;6187.500;6750.000;6750.000;7687.500;6375.000;6187.500;7125.000;6375.000;6750.000;15187.500;15187.500;6375.000;8062.500;6187.500;7500.000;6937.500;9375.000;6187.500;8437.500;11812.500;6562.500;6562.500;6375.000;6375.000;10687.500;10125.000;7125.000;15375.000;15375.000;10875.000;7500.000;6750.000;6750.000;6562.500;6750.000;6937.500;6562.500;6187.500;6562.500;6187.500;6750.000;7875.000;6187.500;6375.000;6562.500;15187.500;14812.500;6562.500;8062.500;8062.500;7687.500;6937.500;8062.500;6187.500;6187.500;7500.000;7500.000;7125.000;6375.000;6375.000;6562.500;6375.000;7500.000;15375.000;6562.500;6750.000;9000.000;6375.000;12937.500;6187.500;6937.500;6187.500;6937.500;6187.500;6375.000;12375.000;6937.500;6750.000;7312.500;6375.000;6937.500;15375.000;15375.000;6562.500;6187.500;6187.500;6937.500;13687.500;6187.500;6187.500;6187.500;6187.500;14062.500;6562.500;6562.500;6562.500;6562.500;6187.500;6937.500;7875.000;6937.500;15375.000;15375.000;7125.000;6187.500;7687.500;6375.000;6937.500;6937.500;6375.000;6375.000;6937.500;6375.000;6187.500;7125.000;7125.000;6375.000;6187.500;6750.000;6187.500;6375.000;13125.000;13125.000;14437.500;15375.000;15375.000;6937.500;8250.000;6375.000;6187.500;6187.500;14625.000;6562.500;14625.000;6750.000;6562.500;6562.500;6187.500;6562.500;14625.000;14812.500;14625.000;6187.500;6375.000;6375.000;6562.500;6187.500;15000.000;15000.000;6750.000;6187.500;8062.500;6187.500;7125.000;15375.000;6375.000;6562.500;6375.000;6187.500;8062.500;7687.500;6375.000;6937.500;7500.000;7875.000;7500.000;7125.000;7125.000;7125.000;8437.500;7875.000;6937.500;7125.000;6187.500;6375.000;6187.500;6375.000;6187.500;7500.000;6937.500;6375.000;6562.500;7312.500;6375.000;6562.500;6375.000;6187.500;6187.500;6375.000;15187.500;15187.500;6562.500;6187.500;6562.500;7500.000;7125.000;6375.000;6375.000;6375.000;7500.000;7500.000;6375.000;6937.500;6375.000;6750.000;6562.500;6375.000;7687.500;6187.500;9750.000;8062.500;7312.500;6937.500;6937.500;6187.500;6187.500;6750.000;7125.000;7500.000;6375.000;6750.000;7125.000;6187.500;6562.500;7687.500;8062.500;7875.000;8062.500;6375.000;6937.500;15187.500;15375.000;8437.500;6375.000;6375.000;8812.500;8812.500;7500.000;7125.000;7875.000;7125.000;6937.500;6187.500;6187.500;8062.500;8062.500;6750.000;6187.500;9375.000;6937.500;6937.500;9562.500;6937.500;6562.500;6187.500;9562.500;7687.500;6187.500;7125.000;13312.500;6375.000;14250.000;9937.500;9375.000;6375.000;6375.000;6187.500;6187.500;6937.500;6375.000;7125.000;6187.500;6187.500;6375.000;15375.000;6937.500;6562.500;6187.500;6375.000;6187.500;6375.000;6187.500;6562.500;6187.500;7687.500;6375.000;9187.500;8812.500;11250.000;7500.000;7312.500;8812.500;11437.500;7500.000;6187.500;7500.000;8062.500;6375.000;6187.500;11812.500;8062.500;6375.000;6375.000;6375.000;6937.500;6750.000;12187.500;6937.500;13312.500;14437.500;12375.000;12562.500;12562.500;12562.500;6375.000;12562.500;6375.000;12750.000;12750.000;12750.000;12937.500;15375.000;7312.500;7312.500;13125.000;13125.000;13312.500;6750.000;13312.500;6750.000;8812.500;6187.500;6375.000;13312.500;6187.500;13500.000;6375.000;6187.500;6187.500;6375.000;13500.000;13500.000;13687.500;6562.500;6562.500;6187.500;7312.500;7125.000;6562.500;6562.500;6187.500;6187.500;7125.000;6562.500;8437.500;6375.000;14062.500;6937.500;14062.500;7312.500;6937.500;7125.000;6562.500;6750.000;6187.500;8812.500;9375.000;7312.500;6187.500;6937.500;6750.000;6562.500;14250.000;6562.500;6750.000;7125.000;6937.500;14437.500;6750.000;7125.000;14625.000;7312.500;7125.000;6937.500;7687.500;6562.500;6375.000;14625.000;14625.000;6562.500;14625.000;14625.000;14625.000;14625.000;14625.000;14812.500;14625.000;6187.500;14812.500;14625.000;6187.500;14625.000;6750.000;6750.000;6375.000;6375.000;14812.500;14812.500;14812.500;14812.500;14812.500;6187.500;6937.500;6187.500;6375.000;6187.500;7500.000;7312.500;8062.500;7312.500;6187.500;6375.000;6375.000;6187.500;6562.500;6375.000;6187.500;6187.500;7312.500;14062.500;6375.000;7125.000;6187.500;6562.500;6562.500;6375.000;6750.000;6375.000;6750.000;6750.000;6375.000;6562.500;6562.500;6937.500;6375.000;6187.500;6562.500;6187.500;6375.000;6187.500;6187.500;6562.500;8250.000;8437.500;9187.500;6375.000;7125.000;6375.000;7312.500;7312.500;6187.500;12937.500;7125.000;7312.500;6375.000;6750.000;6750.000;6375.000;6937.500;6187.500;6187.500;7875.000;6937.500;9000.000;7500.000;7687.500;6187.500;6187.500;6375.000;6750.000;7125.000;6375.000;6187.500;6187.500;6375.000;6375.000;6562.500;6375.000;6375.000;6187.500;7687.500;6750.000;6750.000;6562.500;6562.500;8250.000;8437.500;8437.500;6187.500;8625.000;7875.000;8812.500;6562.500;9000.000;9000.000;6562.500;9187.500;9375.000;9375.000;6562.500;9562.500;6187.500;9562.500;6187.500;6187.500;9562.500;8062.500;9562.500;9562.500;9562.500;9562.500;6375.000;9562.500;6375.000;9562.500;6562.500;9562.500;6187.500;6187.500;9750.000;6187.500;9750.000;6187.500;9937.500;9937.500;6375.000;6562.500;10125.000;7312.500;6375.000;6375.000;6187.500;6187.500;6375.000;10500.000;10500.000;6937.500;7875.000;6187.500;10687.500;10875.000;10875.000;6562.500;6187.500;6375.000;6937.500;7312.500;11250.000;6750.000;6562.500;6562.500;6937.500;6187.500;11625.000;11812.500;6375.000;11812.500;11812.500;11812.500;6375.000;6375.000;7875.000;6562.500;6375.000;6375.000;7125.000;12375.000;6562.500;12375.000;7125.000;6937.500;8437.500;6937.500;8437.500;12750.000;12750.000;8625.000;12937.500;12937.500;12937.500;8625.000;6375.000;13125.000;8625.000;13312.500;13312.500;6187.500;6375.000;13500.000;13500.000;13500.000;13500.000;7125.000;13687.500;13687.500;13687.500;13687.500;13875.000;13875.000;13875.000;13875.000;7500.000;13875.000;14062.500;14062.500;14062.500;6375.000;8062.500;6187.500;6937.500;6187.500;14062.500;14062.500;14250.000;8812.500;14250.000;6750.000;14250.000;6187.500;6937.500;6562.500;14250.000;14250.000;6375.000;14250.000;6375.000;14250.000;14437.500;6375.000;14437.500;14437.500;7312.500;14437.500;14437.500;6375.000;14437.500;6187.500;6187.500;14625.000;14625.000;14625.000;14625.000;6562.500;14437.500;14625.000;14437.500;14625.000;14437.500;14625.000;14625.000;14625.000;6937.500;6187.500;6562.500;14625.000;14625.000;14625.000;14625.000;6187.500;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;6187.500;6562.500;14625.000	0.000;0.000;210.938;0.000;351.562;-492.188;-70.312;351.562;-281.250;140.625;3164.062;0.000;-3304.688;632.812;-703.125;492.188;-210.938;914.062;-1195.312;843.750;1265.625;-1968.750;0.000;-70.312;0.000;1617.188;-210.938;-1125.000;3093.750;0.000;-1687.500;-1265.625;-281.250;0.000;-70.312;70.312;70.312;-140.625;-140.625;140.625;-140.625;210.938;421.875;-632.812;70.312;70.312;3234.375;-140.625;-3093.750;562.500;0.000;-140.625;-281.250;421.875;-703.125;0.000;492.188;0.000;-140.625;-281.250;0.000;70.312;-70.312;421.875;2953.125;-3304.688;70.312;843.750;-984.375;2460.938;-2531.250;281.250;-281.250;281.250;-281.250;70.312;2250.000;-2039.062;-70.312;210.938;-351.562;210.938;3164.062;0.000;-3304.688;-140.625;0.000;281.250;2531.250;-2812.500;0.000;0.000;0.000;2953.125;-2812.500;0.000;0.000;0.000;-140.625;281.250;351.562;-351.562;3164.062;0.000;-3093.750;-351.562;562.500;-492.188;210.938;0.000;-210.938;0.000;210.938;-210.938;-70.312;351.562;0.000;-281.250;-70.312;210.938;-210.938;70.312;2531.250;0.000;492.188;351.562;0.000;-3164.062;492.188;-703.125;-70.312;0.000;3164.062;-3023.438;3023.438;-2953.125;-70.312;0.000;-140.625;140.625;3023.438;70.312;-70.312;-3164.062;70.312;0.000;70.312;-140.625;3304.688;0.000;-3093.750;-210.938;703.125;-703.125;351.562;3093.750;-3375.000;70.312;-70.312;-70.312;703.125;-140.625;-492.188;210.938;210.938;140.625;-140.625;-140.625;0.000;0.000;492.188;-210.938;-351.562;70.312;-351.562;70.312;-70.312;70.312;-70.312;492.188;-210.938;-210.938;70.312;281.250;-351.562;70.312;-70.312;-70.312;0.000;70.312;3304.688;0.000;-3234.375;-140.625;140.625;351.562;-140.625;-281.250;0.000;0.000;421.875;0.000;-421.875;210.938;-210.938;140.625;-70.312;-70.312;492.188;-562.500;1335.938;-632.812;-281.250;-140.625;0.000;-281.250;0.000;210.938;140.625;140.625;-421.875;140.625;140.625;-351.562;140.625;421.875;140.625;-70.312;70.312;-632.812;210.938;3093.750;70.312;-2601.562;-773.438;0.000;914.062;0.000;-492.188;-140.625;281.250;-281.250;-70.312;-281.250;0.000;703.125;0.000;-492.188;-210.938;1195.312;-914.062;0.000;984.375;-984.375;-140.625;-140.625;1265.625;-703.125;-562.500;351.562;2320.312;-2601.562;2953.125;-1617.188;-210.938;-1125.000;0.000;-70.312;0.000;281.250;-210.938;281.250;-351.562;0.000;70.312;3375.000;-3164.062;-140.625;-140.625;70.312;-70.312;70.312;-70.312;140.625;-140.625;562.500;-492.188;1054.688;-140.625;914.062;-1406.250;-70.312;562.500;984.375;-1476.562;-492.188;492.188;210.938;-632.812;-70.312;2109.375;-1406.250;-632.812;0.000;0.000;210.938;-70.312;2039.062;-1968.750;2390.625;421.875;-773.438;70.312;0.000;0.000;-2320.312;2320.312;-2320.312;2390.625;0.000;0.000;70.312;914.062;-3023.438;0.000;2179.688;0.000;70.312;-2460.938;2460.938;-2460.938;773.438;-984.375;70.312;2601.562;-2671.875;2742.188;-2671.875;-70.312;0.000;70.312;2671.875;0.000;70.312;-2671.875;0.000;-140.625;421.875;-70.312;-210.938;0.000;-140.625;0.000;351.562;-210.938;703.125;-773.438;2882.812;-2671.875;2671.875;-2531.250;-140.625;70.312;-210.938;70.312;-210.938;984.375;210.938;-773.438;-421.875;281.250;-70.312;-70.312;2882.812;-2882.812;70.312;140.625;-70.312;2812.500;-2882.812;140.625;2812.500;-2742.188;-70.312;-70.312;281.250;-421.875;-70.312;3093.750;0.000;-3023.438;3023.438;0.000;0.000;0.000;0.000;70.312;-70.312;-3164.062;3234.375;-70.312;-3164.062;3164.062;-2953.125;0.000;-140.625;0.000;3164.062;0.000;0.000;0.000;0.000;-3234.375;281.250;-281.250;70.312;-70.312;492.188;-70.312;281.250;-281.250;-421.875;70.312;0.000;-70.312;140.625;-70.312;-70.312;0.000;421.875;2531.250;-2882.812;281.250;-351.562;140.625;0.000;-70.312;140.625;-140.625;140.625;0.000;-140.625;70.312;0.000;140.625;-210.938;-70.312;140.625;-140.625;70.312;-70.312;0.000;140.625;632.812;70.312;281.250;-1054.688;281.250;-281.250;351.562;0.000;-421.875;2531.250;-2179.688;70.312;-351.562;140.625;0.000;-140.625;210.938;-281.250;0.000;632.812;-351.562;773.438;-562.500;70.312;-562.500;0.000;70.312;140.625;140.625;-281.250;-70.312;0.000;70.312;0.000;70.312;-70.312;0.000;-70.312;562.500;-351.562;0.000;-70.312;0.000;632.812;70.312;0.000;-843.750;914.062;-281.250;351.562;-843.750;914.062;0.000;-914.062;984.375;70.312;0.000;-1054.688;1125.000;-1265.625;1265.625;-1265.625;0.000;1265.625;-562.500;562.500;0.000;0.000;0.000;-1195.312;1195.312;-1195.312;1195.312;-1125.000;1125.000;-1265.625;0.000;1335.938;-1335.938;1335.938;-1335.938;1406.250;0.000;-1335.938;70.312;1335.938;-1054.688;-351.562;0.000;-70.312;0.000;70.312;1546.875;0.000;-1335.938;351.562;-632.812;1687.500;70.312;0.000;-1617.188;-140.625;70.312;210.938;140.625;1476.562;-1687.500;-70.312;0.000;140.625;-281.250;2039.062;70.312;-2039.062;2039.062;0.000;0.000;-2039.062;0.000;562.500;-492.188;-70.312;0.000;281.250;1968.750;-2179.688;2179.688;-1968.750;-70.312;562.500;-562.500;562.500;1617.188;0.000;-1546.875;1617.188;0.000;0.000;-1617.188;-843.750;2531.250;-1687.500;1757.812;0.000;-2671.875;70.312;2671.875;0.000;0.000;0.000;-2390.625;2460.938;0.000;0.000;0.000;70.312;0.000;0.000;0.000;-2390.625;2390.625;70.312;0.000;0.000;-2882.812;632.812;-703.125;281.250;-281.250;2953.125;0.000;70.312;-2039.062;2039.062;-2812.500;2812.500;-3023.438;281.250;-140.625;2882.812;0.000;-2953.125;2953.125;-2953.125;2953.125;70.312;-3023.438;3023.438;0.000;-2671.875;2671.875;0.000;-3023.438;3023.438;-3093.750;0.000;3164.062;0.000;0.000;0.000;-3023.438;2953.125;70.312;-70.312;70.312;-70.312;70.312;0.000;0.000;-2882.812;-281.250;140.625;3023.438;0.000;0.000;0.000;-3164.062;3164.062;0.000;0.000;0.000;0.000;0.000;0.000;-3164.062;140.625;3023.438	13.5630																	
