Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
4	Spectrogram 1	1	244.068571663	244.339651289	6537.634	10150.538	3612.904	0.2711	9562.500	244.3067	SeaPro_20220804_103818_2CH192K16.wav	7312.500;7875.000;7875.000;7312.500;7312.500;6750.000;8250.000;7875.000;7687.500;9375.000;7687.500;7500.000;6937.500;6750.000;6937.500;8062.500;6937.500;6750.000;6937.500;6937.500;9375.000;8250.000;7125.000;6937.500;7687.500;7875.000;7687.500;7687.500;10125.000;6562.500;6937.500;7125.000;7687.500;6562.500;7312.500;8062.500;9750.000;6562.500;9750.000;7500.000;9562.500;9750.000;9000.000;8062.500;8625.000;8437.500;6750.000;7875.000;6937.500;8812.500;9750.000;9937.500;7687.500;7500.000;9750.000;9375.000;6750.000;9562.500;7125.000;7125.000;9187.500;6562.500;6750.000;8250.000;7500.000;6750.000;8250.000;6750.000;6562.500;10125.000;8062.500;9375.000;7500.000;9562.500;9562.500;9562.500;9187.500;9375.000;9562.500;9375.000;7500.000;9562.500;9562.500;9562.500;6937.500;9375.000;9562.500;9375.000;9562.500;9562.500;9562.500;9562.500;6562.500;7500.000;9750.000;6937.500;9750.000;9750.000;9937.500;9937.500;7125.000	210.938;0.000;-210.938;0.000;-210.938;562.500;-140.625;-70.312;632.812;-632.812;-70.312;-210.938;-70.312;70.312;421.875;-421.875;-70.312;70.312;0.000;914.062;-421.875;-421.875;-70.312;281.250;70.312;-70.312;0.000;914.062;-1335.938;140.625;70.312;210.938;-421.875;281.250;281.250;632.812;-1195.312;1195.312;-843.750;773.438;70.312;-281.250;-351.562;210.938;-70.312;-632.812;421.875;-351.562;703.125;351.562;70.312;-843.750;-70.312;843.750;-140.625;-984.375;1054.688;-914.062;0.000;773.438;-984.375;70.312;562.500;-281.250;-281.250;562.500;-562.500;-70.312;1335.938;-773.438;492.188;-703.125;773.438;0.000;0.000;-140.625;70.312;70.312;-70.312;-703.125;773.438;0.000;0.000;-984.375;914.062;70.312;-70.312;70.312;0.000;0.000;0.000;-1125.000;351.562;843.750;-1054.688;1054.688;0.000;70.312;0.000;-1054.688	244.0686								1									
7	Spectrogram 1	2	316.946518825	317.098039073	7055.861	11435.361	4379.500	0.1515	7875.000	316.9947	SeaPro_20220804_103818_2CH192K16.wav	8812.500;8812.500;8812.500;9000.000;8812.500;8812.500;8812.500;8625.000;8250.000;8437.500;8250.000;9000.000;8250.000;8250.000;8250.000;8062.500;8062.500;7875.000;7875.000;7687.500;7875.000;7687.500;7687.500;7687.500;7500.000;7687.500;7500.000;7500.000;7500.000;7500.000;9562.500;9187.500;8437.500;7500.000;7312.500;7500.000;9562.500;7125.000;7875.000;7875.000;7312.500;7687.500;7875.000;7875.000;8062.500;8062.500;8250.000;8062.500;7687.500;7312.500;9000.000;9187.500;7125.000;7687.500;7125.000;7125.000;9187.500	0.000;0.000;70.312;-70.312;0.000;0.000;-70.312;-140.625;70.312;-70.312;281.250;-281.250;0.000;0.000;-70.312;0.000;-70.312;0.000;-70.312;70.312;-70.312;0.000;0.000;-70.312;70.312;-70.312;0.000;0.000;0.000;773.438;-140.625;-281.250;-351.562;-70.312;70.312;773.438;-914.062;281.250;0.000;-210.938;140.625;70.312;0.000;70.312;0.000;70.312;-70.312;-140.625;-140.625;632.812;70.312;-773.438;210.938;-210.938;0.000;773.438	316.9465								1									
10	Spectrogram 1	1	344.462143469	344.662953436	4379.500	12895.195	8515.695	0.2008	12562.500	344.4853	SeaPro_20220804_103818_2CH192K16.wav	4500.000;4500.000;4687.500;4500.000;4500.000;4500.000;4687.500;12562.500;12562.500;4687.500;4687.500;12562.500;8812.500;4500.000;4500.000;4687.500;4500.000;12750.000;12750.000;4500.000;4500.000;12750.000;5250.000;4687.500;5250.000;4500.000;4687.500;12750.000;7687.500;4687.500;5250.000;5437.500;4500.000;4500.000;4500.000;4687.500;12750.000;12750.000;5437.500;5062.500;12375.000;4500.000;5250.000;4687.500;4875.000;4500.000;12750.000;7312.500;5062.500;4500.000;4500.000;4687.500;5625.000;5437.500;5437.500;8437.500;12750.000;4500.000;4500.000;4500.000;8625.000;9000.000;9187.500;9187.500;9187.500;12750.000;7125.000;4500.000;4687.500;4500.000;11437.500;4500.000;12187.500;4500.000;12750.000	0.000;70.312;-70.312;0.000;0.000;70.312;2953.125;0.000;-2953.125;0.000;2953.125;-1406.250;-1617.188;0.000;70.312;-70.312;3093.750;0.000;-3093.750;0.000;3093.750;-2812.500;-210.938;210.938;-281.250;70.312;3023.438;-1898.438;-1125.000;210.938;70.312;-351.562;0.000;0.000;70.312;3023.438;0.000;-2742.188;-140.625;2742.188;-2953.125;281.250;-210.938;70.312;-140.625;3093.750;-2039.062;-843.750;-210.938;0.000;70.312;351.562;-70.312;0.000;1125.000;1617.188;-3093.750;0.000;0.000;1546.875;140.625;70.312;0.000;0.000;1335.938;-2109.375;-984.375;70.312;-70.312;2601.562;-2601.562;2882.812;-2882.812;3093.750	344.4621								1									
12	Spectrogram 1	2	357.649305603	357.911813547	3892.889	13138.500	9245.611	0.2625	3937.500	357.6773	SeaPro_20220804_103818_2CH192K16.wav	3937.500;4125.000;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4312.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;4125.000;4125.000;3937.500;3937.500;4125.000;4125.000;3937.500;4312.500;4125.000;4125.000;4125.000;3937.500;4125.000;4687.500;3937.500;4125.000;4125.000;3937.500;3937.500;4312.500;4312.500;4875.000;4125.000;3937.500;3937.500;4687.500;4500.000;4125.000;3937.500;4125.000;4125.000;4125.000;4312.500;4125.000;4125.000;3937.500;4125.000;3937.500;4125.000;4875.000;4687.500;3937.500;4125.000;3937.500;3937.500;4125.000;4125.000;4500.000;3937.500;3937.500;4312.500;3937.500;4312.500;3937.500;4125.000;4125.000;3937.500;4125.000;3937.500;4125.000;4125.000;4125.000;4500.000;4500.000;3937.500;3937.500;3937.500;3937.500;4875.000;4312.500;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500	70.312;-70.312;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;140.625;-140.625;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;-70.312;0.000;70.312;0.000;-70.312;140.625;-70.312;0.000;0.000;-70.312;70.312;210.938;-281.250;70.312;0.000;-70.312;0.000;140.625;0.000;210.938;-281.250;-70.312;0.000;281.250;-70.312;-140.625;-70.312;70.312;0.000;0.000;70.312;-70.312;0.000;-70.312;70.312;-70.312;70.312;281.250;-70.312;-281.250;70.312;-70.312;0.000;70.312;0.000;140.625;-210.938;0.000;140.625;-140.625;140.625;-140.625;70.312;0.000;-70.312;70.312;-70.312;70.312;0.000;0.000;140.625;0.000;-210.938;0.000;0.000;0.000;351.562;-210.938;-140.625;0.000;70.312;-70.312;0.000;0.000;0.000	357.6493								1									
13	Spectrogram 1	2	358.600414629	358.929012757	8027.569	11407.598	3380.029	0.3286	8625.000	358.8160	SeaPro_20220804_103818_2CH192K16.wav	11062.500;9375.000;11062.500;8250.000;11062.500;10687.500;10687.500;10687.500;10687.500;10687.500;10687.500;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10500.000;10312.500;8062.500;10312.500;10312.500;10500.000;8625.000;10312.500;10312.500;10312.500;10312.500;10312.500;10312.500;10125.000;10125.000;10125.000;10125.000;9937.500;8062.500;10125.000;9937.500;9937.500;9937.500;9937.500;9937.500;9750.000;9750.000;8250.000;9750.000;9750.000;9562.500;9562.500;9375.000;9562.500;9375.000;9375.000;9187.500;9375.000;9187.500;9187.500;9187.500;9000.000;9000.000;9000.000;9000.000;8812.500;8812.500;8812.500;8062.500;8625.000;8812.500;8812.500;8812.500;8625.000;8625.000;8812.500;8437.500;8625.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8250.000;8625.000;8437.500;8437.500;8437.500;8437.500;8250.000;8437.500;8625.000;8625.000;8625.000;8625.000;8625.000;8625.000;8812.500;9187.500;8812.500	-632.812;632.812;-1054.688;1054.688;-140.625;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;-843.750;843.750;0.000;70.312;-703.125;632.812;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;-703.125;773.438;-70.312;0.000;0.000;0.000;0.000;-70.312;0.000;-562.500;562.500;0.000;-70.312;0.000;-70.312;70.312;-70.312;0.000;-70.312;70.312;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;-281.250;210.938;70.312;0.000;0.000;-70.312;0.000;70.312;-140.625;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;140.625;-70.312;0.000;0.000;0.000;-70.312;70.312;70.312;0.000;0.000;0.000;0.000;0.000;70.312;140.625;-140.625	358.6004	11018	8618			SE	OW	1	1.5		1	0	1	1	2	1	M	
14	Spectrogram 1	2	414.808448955	415.137047083	10948.750	20437.667	9488.917	0.3286	12750.000	415.0907	SeaPro_20220804_103818_2CH192K16.wav	12375.000;12375.000;18000.000;12750.000;12937.500;12937.500;12937.500;16687.500;16125.000;15562.500;12000.000;13125.000;13875.000;13875.000;11062.500;14062.500;14062.500;14250.000;11062.500;14812.500;14250.000;14250.000;14437.500;14437.500;11437.500;12187.500;12375.000;15187.500;12937.500;14812.500;14625.000;14625.000;14812.500;15000.000;15000.000;15187.500;15000.000;15000.000;11062.500;11062.500;15000.000;15000.000;15000.000;14812.500;15000.000;13125.000;16125.000;15000.000;15000.000;15187.500;11812.500;14062.500;15375.000;14250.000;14062.500;15562.500;11250.000;15750.000;15750.000;15750.000;15750.000;15937.500;12375.000;13500.000;13875.000;15937.500;12562.500;13687.500;11062.500;11250.000;15937.500;13875.000;14437.500;12000.000;16125.000;12187.500;16125.000;15937.500;16125.000;15937.500;15937.500;15937.500;16125.000;13312.500;16125.000;13125.000;12937.500;11062.500;15937.500;15750.000;15937.500;15750.000;15750.000;15750.000;12000.000;12750.000;12937.500;15750.000;15937.500;11250.000;14812.500;15750.000;14625.000;15750.000;12000.000;12750.000;13312.500;15562.500;15750.000;15750.000;12750.000;16125.000;16125.000;16500.000;16687.500;13312.500;13125.000;11437.500;17250.000;18562.500;18937.500;12562.500;20062.500	0.000;2109.375;-1968.750;70.312;0.000;0.000;1406.250;-210.938;-210.938;-1335.938;421.875;281.250;0.000;-1054.688;1125.000;0.000;70.312;-1195.312;1406.250;-210.938;0.000;70.312;0.000;-1125.000;281.250;70.312;1054.688;-843.750;703.125;-70.312;0.000;70.312;70.312;0.000;70.312;-70.312;0.000;-1476.562;0.000;1476.562;0.000;0.000;-70.312;70.312;-703.125;1125.000;-421.875;0.000;70.312;-1265.625;843.750;492.188;-421.875;-70.312;562.500;-1617.188;1687.500;0.000;0.000;0.000;70.312;-1335.938;421.875;140.625;773.438;-1265.625;421.875;-984.375;70.312;1757.812;-773.438;210.938;-914.062;1546.875;-1476.562;1476.562;-70.312;70.312;-70.312;0.000;0.000;70.312;-1054.688;1054.688;-1125.000;-70.312;-703.125;1828.125;-70.312;70.312;-70.312;0.000;0.000;-1406.250;281.250;70.312;1054.688;70.312;-1757.812;1335.938;351.562;-421.875;421.875;-1406.250;281.250;210.938;843.750;70.312;0.000;-1125.000;1265.625;0.000;140.625;70.312;-1265.625;-70.312;-632.812;2179.688;492.188;140.625;-2390.625;2812.500	414.8084								1									
15	Spectrogram 1	2	431.052887066	431.181972602	2752.688	8602.151	5849.463	0.1291	2812.500	431.1467	SeaPro_20220804_103818_2CH192K16.wav	2812.500;2812.500;2812.500;2812.500;2812.500;2812.500;3000.000;2812.500;2812.500;3000.000;3187.500;3187.500;2812.500;3187.500;3375.000;3187.500;3375.000;3187.500;3187.500;2812.500;2812.500;2812.500;3375.000;3562.500;3562.500;2812.500;2812.500;3187.500;3750.000;3750.000;2812.500;2812.500;3000.000;2812.500;3000.000;2812.500;2812.500;2812.500;2812.500;2812.500;2812.500;2812.500;3187.500;2812.500;2812.500;2812.500;3000.000;3187.500;2812.500	0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;70.312;70.312;0.000;-140.625;140.625;70.312;-70.312;70.312;-70.312;0.000;-140.625;0.000;0.000;210.938;70.312;0.000;-281.250;0.000;140.625;210.938;0.000;-351.562;0.000;70.312;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;140.625;-140.625;0.000;0.000;70.312;70.312;-140.625	431.0529								1									
19	Spectrogram 1	2	467.886011194	468.406291563	10568.616	15075.321	4506.705	0.5203	14437.500	468.3627	SeaPro_20220804_103818_2CH192K16.wav	15000.000;15000.000;15000.000;15000.000;14812.500;14812.500;14812.500;15000.000;14625.000;14625.000;14437.500;14437.500;14437.500;14437.500;14437.500;12937.500;14250.000;14250.000;14250.000;14250.000;14250.000;14062.500;14062.500;11062.500;14062.500;14062.500;11062.500;11250.000;13875.000;13875.000;11062.500;13875.000;13875.000;13875.000;12375.000;13875.000;13687.500;13875.000;13875.000;13687.500;13687.500;13875.000;13687.500;13875.000;13875.000;13687.500;11812.500;10687.500;13687.500;12375.000;12187.500;12750.000;12375.000;14062.500;11062.500;14062.500;14812.500;14437.500;15000.000;15000.000;12562.500;12562.500;13125.000;13312.500;14062.500;13312.500;13312.500;10687.500;13125.000;13312.500;13125.000;13125.000;13125.000;13125.000;13125.000;13125.000;13125.000;13125.000;13125.000;13125.000;13125.000;13125.000;12937.500;13125.000;12937.500;13125.000;12937.500;13125.000;12937.500;12937.500;12937.500;12937.500;12937.500;12937.500;12937.500;12937.500;12750.000;12750.000;12750.000;12750.000;12750.000;12750.000;12750.000;12750.000;12562.500;12562.500;12562.500;12562.500;12562.500;12562.500;12562.500;12562.500;12562.500;12562.500;12562.500;12375.000;12375.000;12375.000;12562.500;12375.000;12375.000;12375.000;12375.000;12375.000;12375.000;12375.000;12375.000;12187.500;12187.500;12187.500;12375.000;12000.000;12000.000;12000.000;12187.500;12000.000;12000.000;12000.000;12000.000;12562.500;11812.500;11812.500;11812.500;11812.500;11812.500;11625.000;11625.000;11625.000;11437.500;11625.000;11625.000;11625.000;11625.000;11437.500;11437.500;11437.500;11437.500;12187.500;11437.500;11437.500;11250.000;11437.500;11437.500;11250.000;11250.000;11250.000;11250.000;11062.500;12375.000;11250.000;11812.500;14062.500;11062.500;11062.500;11062.500;10875.000;10875.000;10875.000;14437.500;10875.000;10875.000;10875.000;10875.000;10875.000;10875.000;10875.000;10875.000;10875.000;10875.000;14625.000;10875.000;10875.000;10875.000;10875.000;10875.000	0.000;0.000;0.000;-70.312;0.000;0.000;70.312;-140.625;0.000;-70.312;0.000;0.000;0.000;0.000;-562.500;492.188;0.000;0.000;0.000;0.000;-70.312;0.000;-1125.000;1125.000;0.000;-1125.000;70.312;984.375;0.000;-1054.688;1054.688;0.000;0.000;-562.500;562.500;-70.312;70.312;0.000;-70.312;0.000;70.312;-70.312;70.312;0.000;-70.312;-703.125;-421.875;1125.000;-492.188;-70.312;210.938;-140.625;632.812;-1125.000;1125.000;281.250;-140.625;210.938;0.000;-914.062;0.000;210.938;70.312;281.250;-281.250;0.000;-984.375;914.062;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;70.312;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;70.312;-140.625;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;210.938;-281.250;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;281.250;-281.250;0.000;-70.312;70.312;0.000;-70.312;0.000;0.000;0.000;-70.312;492.188;-421.875;210.938;843.750;-1125.000;0.000;0.000;-70.312;0.000;0.000;1335.938;-1335.938;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1406.250;-1406.250;0.000;0.000;0.000;0.000	467.8860								1									
20	Spectrogram 1	1	475.058163900	475.941902426	13804.200	21190.351	7386.151	0.8837	15750.000	475.8320	SeaPro_20220804_103818_2CH192K16.wav	20250.000;20250.000;19500.000;19125.000;18562.500;18187.500;18000.000;17812.500;14625.000;17625.000;17437.500;16687.500;16312.500;16312.500;16312.500;16125.000;16500.000;16500.000;15562.500;15375.000;15375.000;15375.000;15187.500;15187.500;15000.000;15187.500;14625.000;14625.000;14625.000;16312.500;15000.000;14250.000;14062.500;16500.000;14250.000;14062.500;14250.000;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14062.500;14250.000;14250.000;14250.000;14250.000;14250.000;14250.000;14250.000;14250.000;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14437.500;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;14625.000;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;14812.500;15000.000;15000.000;15000.000;15000.000;15000.000;15000.000;15000.000;15000.000;15000.000;15000.000;15187.500;15187.500;15187.500;15187.500;15187.500;15187.500;15187.500;15187.500;15187.500;15187.500;15187.500;15187.500;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15375.000;15562.500;15375.000;15562.500;15562.500;15562.500;15562.500;15562.500;15750.000;15750.000;15750.000;15750.000;15750.000;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;15937.500;16125.000;16125.000;16125.000;16125.000;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16312.500;16500.000;16312.500;16500.000;16687.500;16687.500;16687.500;16687.500;16687.500;16687.500;16687.500;16875.000;16875.000;17250.000;17250.000;17250.000;17250.000;17250.000;17437.500;17437.500;17437.500;17437.500;17437.500;17437.500;17437.500;17625.000;17625.000;17625.000;17437.500;17437.500;17625.000;17625.000;17625.000;17625.000;17625.000;17625.000;17625.000;17625.000;17625.000;17625.000;17625.000;17625.000;17812.500;17812.500;17812.500;17812.500;17812.500;17812.500;17812.500;18000.000;18187.500;18187.500;18187.500;18187.500;18187.500;18187.500;18187.500;18187.500;18187.500;18187.500;18187.500;17812.500;17625.000;17625.000;17625.000;17625.000;17625.000;17437.500;17437.500;17437.500;17437.500;17250.000;16875.000;17062.500;16687.500;16875.000;16500.000;16687.500;16125.000;15562.500;15937.500;15750.000;15375.000;15187.500;15187.500;15187.500;15187.500;15000.000;15000.000;14812.500;14812.500;14625.000;14625.000;15187.500;15375.000;14250.000;14250.000;14437.500;17812.500;15937.500;14437.500;16125.000;14250.000;16125.000;17062.500;15750.000;14437.500;14625.000;14437.500;14437.500;14625.000;14625.000;14625.000;14812.500;14812.500;14812.500;14812.500;14812.500;14625.000;15750.000;14625.000;14250.000;13875.000	0.000;-281.250;-140.625;-210.938;-140.625;-70.312;-70.312;-1195.312;1125.000;-70.312;-281.250;-140.625;0.000;0.000;-70.312;140.625;0.000;-351.562;-70.312;0.000;0.000;-70.312;0.000;-70.312;70.312;-210.938;0.000;0.000;632.812;-492.188;-281.250;-70.312;914.062;-843.750;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;140.625;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;-70.312;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;-70.312;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;-140.625;70.312;-140.625;70.312;-140.625;70.312;-210.938;-210.938;140.625;-70.312;-140.625;-70.312;0.000;0.000;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;210.938;70.312;-421.875;0.000;70.312;1265.625;-703.125;-562.500;632.812;-703.125;703.125;351.562;-492.188;-492.188;70.312;-70.312;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;-70.312;421.875;-421.875;-140.625;-140.625	475.0582	20945	14182			SE	OW	1	1.5		2	0	3	2	0	2	M	BP
21	Spectrogram 1	2	479.058361836	479.159048554	3377.778	7111.111	3733.333	0.1007	3750.000	479.1040	SeaPro_20220804_103818_2CH192K16.wav	4125.000;4125.000;3937.500;4125.000;4125.000;4125.000;4125.000;3750.000;3562.500;3562.500;4125.000;3562.500;4500.000;4500.000;4312.500;4875.000;4312.500;3750.000;3750.000;3750.000;5625.000;5625.000;5625.000;3562.500;4125.000;4125.000;4125.000;3562.500;3562.500;3562.500;4312.500;4125.000;4312.500;3562.500;3562.500;4125.000;4125.000;3937.500	0.000;-70.312;70.312;0.000;0.000;0.000;-140.625;-70.312;0.000;210.938;-210.938;351.562;0.000;-70.312;210.938;-210.938;-210.938;0.000;0.000;703.125;0.000;0.000;-773.438;210.938;0.000;0.000;-210.938;0.000;0.000;281.250;-70.312;70.312;-281.250;0.000;210.938;0.000;-70.312	479.0584								1									
