Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
1	Spectrogram 1	1	63.560402907	64.201666017	8852.459	17901.639	9049.180	0.6413	17812.500	64.0747	SeaPro_20220913_095740_2CH192K16.wav	11250.000;10125.000;10125.000;11062.500;9375.000;11250.000;10312.500;9000.000;10500.000;16500.000;10125.000;10312.500;9750.000;10125.000;17625.000;9937.500;9375.000;10312.500;10687.500;16125.000;10125.000;9750.000;9187.500;9562.500;15750.000;15562.500;15562.500;15562.500;15375.000;15375.000;15187.500;15187.500;15000.000;14812.500;14625.000;17812.500;17812.500;13875.000;13687.500;13312.500;13125.000;12750.000;12750.000;12375.000;12000.000;11812.500;11625.000;11437.500;11250.000;11062.500;10875.000;10312.500;10125.000;10500.000;10312.500;10125.000;11250.000;9562.500;11250.000;9937.500;9937.500;9187.500;9187.500;11250.000;11250.000;9375.000;10125.000;9375.000;9375.000;12562.500;9187.500;9562.500;9000.000;9000.000;11062.500;9000.000;9000.000;17812.500;17250.000;10125.000;9750.000;9000.000;9000.000;11250.000;9750.000;10312.500;10312.500;10125.000;9750.000;9750.000;9750.000;9187.500;9750.000;11250.000;9750.000;10125.000;10312.500;10500.000;9562.500;9000.000;14437.500;9000.000;11062.500;9750.000;9750.000;10312.500;9187.500;12375.000;9000.000;9187.500;9187.500;11812.500;9000.000;9187.500;9375.000;17625.000;17625.000;14250.000;11250.000;10312.500;10125.000;9000.000;10312.500;10500.000;10687.500;9375.000;10875.000;10125.000;9000.000;12000.000;9937.500;11062.500;10312.500;9000.000;10500.000;9937.500;9562.500;10687.500;10312.500;9562.500;16687.500;9937.500;9750.000;14250.000;9750.000;10125.000;13312.500;9000.000;11062.500;11062.500;9000.000;9187.500;17812.500;17812.500;10125.000;11250.000;11437.500;11437.500;9750.000;11625.000;11625.000;11812.500;11812.500;11812.500;11812.500;12000.000;12000.000;12000.000;12187.500;12187.500;12375.000;12375.000;12375.000;12562.500;12562.500;12750.000;12750.000;12937.500;12937.500;13125.000;13125.000;13312.500;13125.000;13312.500;13500.000;13500.000;13500.000;13875.000;13687.500;14062.500;14062.500;17812.500;14250.000;14437.500;14625.000;14625.000;14812.500;15000.000;15000.000;15187.500;9750.000;10312.500;9937.500;15562.500;15562.500;9562.500;15750.000;9562.500;10312.500;9937.500;9937.500;12562.500;9375.000;9375.000;9375.000;9937.500;9375.000;10312.500;17812.500;9187.500;10312.500;17250.000;17250.000;9937.500;9562.500;13500.000;17625.000;9375.000;9750.000;9937.500;10312.500;17812.500;9375.000;9375.000;9562.500;9937.500;10312.500;10312.500;9000.000	-421.875;0.000;351.562;-632.812;703.125;-351.562;-492.188;562.500;2250.000;-2390.625;70.312;-210.938;140.625;2812.500;-2882.812;-210.938;351.562;140.625;2039.062;-2250.000;-140.625;-210.938;140.625;2320.312;-70.312;0.000;0.000;-70.312;0.000;-70.312;0.000;-70.312;-70.312;-70.312;1195.312;0.000;-1476.562;-70.312;-140.625;-70.312;-140.625;0.000;-140.625;-140.625;-70.312;-70.312;-70.312;-70.312;-70.312;-70.312;-210.938;-70.312;140.625;-70.312;-70.312;421.875;-632.812;632.812;-492.188;0.000;-281.250;0.000;773.438;0.000;-703.125;281.250;-281.250;0.000;1195.312;-1265.625;140.625;-210.938;0.000;773.438;-773.438;0.000;3304.688;-210.938;-2671.875;-140.625;-281.250;0.000;843.750;-562.500;210.938;0.000;-70.312;-140.625;0.000;0.000;-210.938;210.938;562.500;-562.500;140.625;70.312;70.312;-351.562;-210.938;2039.062;-2039.062;773.438;-492.188;0.000;210.938;-421.875;1195.312;-1265.625;70.312;0.000;984.375;-1054.688;70.312;70.312;3093.750;0.000;-1265.625;-1125.000;-351.562;-70.312;-421.875;492.188;70.312;70.312;-492.188;562.500;-281.250;-421.875;1125.000;-773.438;421.875;-281.250;-492.188;562.500;-210.938;-140.625;421.875;-140.625;-281.250;2671.875;-2531.250;-70.312;1687.500;-1687.500;140.625;1195.312;-1617.188;773.438;0.000;-773.438;70.312;3234.375;0.000;-2882.812;421.875;70.312;0.000;-632.812;703.125;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;70.312;0.000;70.312;0.000;70.312;-70.312;70.312;70.312;0.000;0.000;140.625;-70.312;140.625;0.000;1406.250;-1335.938;70.312;70.312;0.000;70.312;70.312;0.000;70.312;-2039.062;210.938;-140.625;2109.375;0.000;-2250.000;2320.312;-2320.312;281.250;-140.625;0.000;984.375;-1195.312;0.000;0.000;210.938;-210.938;351.562;2812.500;-3234.375;421.875;2601.562;0.000;-2742.188;-140.625;1476.562;1546.875;-3093.750;140.625;70.312;140.625;2812.500;-3164.062;0.000;70.312;140.625;140.625;0.000;-492.188	63.5604								1									
2	Spectrogram 1	2	68.807599346	69.182786719	7140.496	14975.207	7834.711	0.3752	11062.500	69.0587	SeaPro_20220913_095740_2CH192K16.wav	10125.000;9750.000;9187.500;9000.000;8625.000;8437.500;8250.000;8062.500;8062.500;7875.000;7875.000;7687.500;7687.500;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7875.000;7875.000;7875.000;7875.000;7875.000;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;7687.500;7500.000;8062.500;8437.500;8437.500;8625.000;8625.000;8625.000;8625.000;8812.500;8812.500;8812.500;9000.000;9000.000;9000.000;9187.500;9187.500;9187.500;9375.000;9375.000;9375.000;9375.000;9562.500;9562.500;9562.500;9562.500;9562.500;9750.000;9750.000;9750.000;9750.000;9937.500;9937.500;9937.500;10125.000;8250.000;8250.000;10312.500;10312.500;10500.000;10500.000;10687.500;10687.500;10687.500;10875.000;10875.000;11062.500;11250.000;11250.000;11437.500;11437.500;11625.000;11812.500;12000.000;12000.000;14062.500;14062.500;14062.500;14250.000;14250.000;14250.000;14250.000;14437.500;14625.000;14625.000;14625.000;14625.000;14625.000;14812.500;14812.500;14812.500;14812.500;10125.000;14812.500;14625.000;7500.000;14062.500;13687.500;13500.000;11062.500;9750.000;9375.000;9187.500;8812.500;8437.500;8250.000;8062.500;7875.000;7875.000;7875.000;8062.500;8062.500;8250.000	-140.625;-210.938;-70.312;-140.625;-70.312;-70.312;-70.312;0.000;-70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;-210.938;-70.312;210.938;140.625;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;-703.125;0.000;773.438;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;70.312;70.312;0.000;70.312;0.000;70.312;70.312;70.312;0.000;773.438;0.000;0.000;70.312;0.000;0.000;0.000;70.312;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;-1757.812;1757.812;-70.312;-2671.875;2460.938;-140.625;-70.312;-914.062;-492.188;-140.625;-70.312;-140.625;-140.625;-70.312;-70.312;-70.312;0.000;0.000;70.312;0.000;70.312	68.8076	10443	8140		SW_043	SE	SW	1	2		2	1	2	2	0	1	M	CT
3	Spectrogram 1	2	73.442420112	73.722155080	7041.322	15272.727	8231.405	0.2797	8250.000	73.7040	SeaPro_20220913_095740_2CH192K16.wav	7875.000;7687.500;7687.500;7687.500;7312.500;7312.500;7500.000;7312.500;7312.500;7500.000;7500.000;7500.000;7500.000;7687.500;7687.500;7875.000;8062.500;8062.500;7312.500;8250.000;8437.500;8437.500;8625.000;8812.500;8812.500;8812.500;9000.000;9000.000;9187.500;9187.500;9187.500;9375.000;9375.000;7500.000;8062.500;11062.500;7312.500;9562.500;9750.000;9750.000;9750.000;9937.500;9937.500;10125.000;9937.500;10125.000;10125.000;10125.000;10312.500;7312.500;10312.500;10500.000;10500.000;10500.000;7687.500;8062.500;10687.500;7500.000;11062.500;11062.500;11250.000;11250.000;11437.500;11437.500;11437.500;11625.000;7687.500;7125.000;12187.500;13875.000;13875.000;14062.500;14062.500;14062.500;7500.000;7687.500;7500.000;8062.500;14812.500;7500.000;11062.500;15000.000;15000.000;15000.000;15000.000;15000.000;7312.500;7125.000;13687.500;13500.000;13125.000;7687.500;9750.000;9375.000;8625.000;8437.500;8250.000;8250.000;8250.000;8250.000;8437.500;8625.000;9375.000;9562.500	-70.312;0.000;0.000;-140.625;0.000;70.312;-70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;70.312;0.000;-281.250;351.562;70.312;0.000;70.312;70.312;0.000;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;-703.125;210.938;1125.000;-1406.250;843.750;70.312;0.000;0.000;70.312;0.000;70.312;-70.312;70.312;0.000;0.000;70.312;-1125.000;1125.000;70.312;0.000;0.000;-1054.688;140.625;984.375;-1195.312;1335.938;0.000;70.312;0.000;70.312;0.000;0.000;70.312;-1476.562;-210.938;1898.438;632.812;0.000;70.312;0.000;0.000;-2460.938;70.312;-70.312;210.938;2531.250;-2742.188;1335.938;1476.562;0.000;0.000;0.000;0.000;-2882.812;-70.312;2460.938;-70.312;-140.625;-2039.062;773.438;-140.625;-281.250;-70.312;-70.312;0.000;0.000;0.000;70.312;70.312;281.250;70.312	73.4424	7525	9368		SW_043	SE	SW	1	1.5		2	0	2	2	0	1	M	
4	Spectrogram 1	1	79.224338713	79.613170796	6802.250	12806.868	6004.618	0.3888	11062.500	79.4933	SeaPro_20220913_095740_2CH192K16.wav	10500.000;10125.000;9375.000;9000.000;8625.000;8062.500;8062.500;7875.000;7687.500;7500.000;7500.000;7312.500;7312.500;7312.500;7125.000;7125.000;6937.500;6937.500;7125.000;6937.500;7125.000;7125.000;7125.000;7125.000;7125.000;7125.000;7312.500;7312.500;7312.500;7500.000;7500.000;7500.000;7500.000;7500.000;7687.500;7687.500;7687.500;7875.000;7875.000;8250.000;7687.500;8062.500;7687.500;8625.000;7312.500;8062.500;7312.500;9000.000;8437.500;8625.000;8812.500;8437.500;8812.500;8812.500;8812.500;9000.000;9000.000;9000.000;9187.500;9187.500;9187.500;9187.500;9187.500;9375.000;9375.000;9375.000;9375.000;9375.000;9375.000;9375.000;9562.500;9562.500;9562.500;9750.000;9750.000;9750.000;9750.000;9750.000;9937.500;9937.500;9937.500;10125.000;8250.000;10125.000;10312.500;10312.500;10312.500;10500.000;10500.000;10500.000;10500.000;10687.500;10687.500;10687.500;10875.000;10875.000;10875.000;10875.000;11062.500;11062.500;11062.500;11250.000;11437.500;11437.500;11625.000;11625.000;11625.000;11812.500;11812.500;11812.500;7125.000;12000.000;12000.000;12187.500;12375.000;12375.000;12562.500;7125.000;7125.000;8812.500;7125.000;6937.500;8625.000;12562.500;10875.000;10500.000;10312.500;9750.000;9375.000;9187.500;8812.500;8625.000;8250.000;8062.500;7875.000;7687.500;7687.500;7687.500;7687.500;7875.000;8062.500;8437.500;9562.500;8062.500	-140.625;-281.250;-140.625;-140.625;-210.938;0.000;-70.312;-70.312;-70.312;0.000;-70.312;0.000;0.000;-70.312;0.000;-70.312;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;140.625;-210.938;140.625;-140.625;351.562;-492.188;281.250;-281.250;632.812;-210.938;70.312;70.312;-140.625;140.625;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;-703.125;703.125;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;70.312;0.000;70.312;0.000;0.000;70.312;0.000;0.000;-1757.812;1828.125;0.000;70.312;70.312;0.000;70.312;-2039.062;0.000;632.812;-632.812;-70.312;632.812;1476.562;-632.812;-140.625;-70.312;-210.938;-140.625;-70.312;-140.625;-70.312;-140.625;-70.312;-70.312;-70.312;0.000;0.000;0.000;70.312;70.312;140.625;421.875;-562.500	79.2243	11979	9829		SW_043	SE	SW	1	2		1	0	2	2	1	1	M	
5	Spectrogram 1	2	83.779652595	84.121726390	7834.711	17652.893	9818.182	0.3421	11625.000	83.9733	SeaPro_20220913_095740_2CH192K16.wav	9937.500;9562.500;8437.500;8812.500;8625.000;8625.000;8437.500;8250.000;8250.000;8250.000;8250.000;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8437.500;8437.500;8625.000;8625.000;8625.000;8625.000;8812.500;8812.500;8812.500;8812.500;7875.000;9000.000;8250.000;9000.000;8250.000;8625.000;9375.000;9375.000;9562.500;9562.500;9562.500;9562.500;9750.000;9750.000;9750.000;9937.500;9937.500;10125.000;10125.000;10125.000;10312.500;10312.500;10312.500;10500.000;8625.000;10500.000;8437.500;10125.000;10687.500;10312.500;10312.500;10500.000;8625.000;11250.000;11250.000;11437.500;11437.500;11437.500;11625.000;11625.000;11812.500;11812.500;12000.000;12000.000;12375.000;12375.000;12562.500;10312.500;7875.000;9187.500;12937.500;13125.000;13125.000;13312.500;15187.500;10500.000;8062.500;8625.000;8437.500;8625.000;10312.500;8437.500;10875.000;9000.000;9000.000;10687.500;8625.000;10500.000;10312.500;10312.500;10312.500;10500.000;8625.000;10500.000;10312.500;10125.000;10125.000;9750.000;9562.500;9375.000;9375.000;9375.000;9562.500;9750.000;8625.000;8625.000;8625.000;9187.500;8625.000;8625.000;8625.000;8625.000;8812.500;8812.500;8812.500	-140.625;-421.875;140.625;-70.312;0.000;-70.312;-70.312;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;-351.562;421.875;-281.250;281.250;-281.250;140.625;281.250;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;-703.125;703.125;-773.438;632.812;210.938;-140.625;0.000;70.312;-703.125;984.375;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;70.312;0.000;140.625;0.000;70.312;-843.750;-914.062;492.188;1406.250;70.312;0.000;70.312;703.125;-1757.812;-914.062;210.938;-70.312;70.312;632.812;-703.125;914.062;-703.125;0.000;632.812;-773.438;703.125;-70.312;0.000;0.000;70.312;-703.125;703.125;-70.312;-70.312;0.000;-140.625;-70.312;-70.312;0.000;0.000;70.312;70.312;-421.875;0.000;0.000;210.938;-210.938;0.000;0.000;0.000;70.312;0.000;0.000	83.7797								1									
8	Spectrogram 1	2	91.094686527	91.473674761	7140.496	15867.769	8727.273	0.3790	12562.500	91.3760	SeaPro_20220913_095740_2CH192K16.wav	8062.500;11812.500;10875.000;10500.000;9937.500;9750.000;9187.500;7312.500;8625.000;8437.500;8250.000;8250.000;8062.500;7875.000;7687.500;7687.500;7500.000;7500.000;7312.500;7312.500;7312.500;7500.000;7312.500;7500.000;7312.500;7500.000;7500.000;7500.000;7687.500;7687.500;7687.500;7875.000;7875.000;7875.000;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8625.000;8625.000;7312.500;8250.000;7500.000;7312.500;7312.500;9187.500;9187.500;9187.500;9375.000;9375.000;9375.000;9562.500;9562.500;9562.500;9750.000;9750.000;9750.000;9937.500;9937.500;10125.000;9937.500;10125.000;10125.000;10312.500;10312.500;10312.500;10500.000;10500.000;10500.000;10500.000;10687.500;10687.500;10687.500;10875.000;10875.000;10875.000;10875.000;11062.500;11062.500;11062.500;11062.500;11062.500;11250.000;11250.000;11250.000;11250.000;11250.000;11437.500;11437.500;11437.500;11437.500;11625.000;11625.000;11812.500;11812.500;12000.000;12187.500;12187.500;12375.000;12375.000;12562.500;12562.500;12750.000;12937.500;14437.500;14625.000;15000.000;15187.500;7687.500;7312.500;9375.000;8437.500;7312.500;8062.500;12937.500;8250.000;10312.500;8250.000;8062.500;7875.000;10500.000;10312.500;10125.000;7312.500;7312.500;8437.500;8250.000;8062.500;7875.000;7687.500;7687.500;7500.000;7687.500;7687.500;7875.000;8250.000;7312.500	1406.250;-351.562;-140.625;-210.938;-70.312;-210.938;-703.125;492.188;-70.312;-70.312;0.000;-70.312;-70.312;-70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;70.312;-70.312;70.312;-70.312;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;0.000;-492.188;351.562;-281.250;-70.312;0.000;703.125;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;-70.312;70.312;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;0.000;70.312;70.312;0.000;70.312;0.000;70.312;0.000;70.312;70.312;562.500;70.312;140.625;70.312;-2812.500;-140.625;773.438;-351.562;-421.875;281.250;1828.125;-1757.812;773.438;-773.438;-70.312;-70.312;984.375;-70.312;-70.312;-1054.688;0.000;421.875;-70.312;-70.312;-70.312;-70.312;0.000;-70.312;70.312;0.000;70.312;140.625;-351.562	91.0947								1									
9	Spectrogram 1	2	91.909265133	92.258721816	7338.843	15966.942	8628.099	0.3495	12562.500	92.1653	SeaPro_20220913_095740_2CH192K16.wav	12562.500;12562.500;12187.500;10500.000;9937.500;9562.500;8062.500;9000.000;9187.500;8625.000;8437.500;8250.000;8062.500;8062.500;7875.000;7875.000;7875.000;7875.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7875.000;7875.000;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8625.000;8625.000;8625.000;8812.500;8812.500;9000.000;9750.000;8062.500;8062.500;9000.000;9375.000;9000.000;9375.000;9562.500;9562.500;9562.500;9750.000;9750.000;9937.500;9937.500;9937.500;9937.500;10125.000;10125.000;10125.000;10312.500;10312.500;10312.500;10500.000;10500.000;10500.000;10687.500;10687.500;10687.500;10875.000;10875.000;10875.000;11062.500;11062.500;11062.500;11250.000;11250.000;11250.000;11250.000;11437.500;11437.500;11437.500;11625.000;11625.000;11625.000;11625.000;12000.000;12000.000;12187.500;12375.000;12375.000;12562.500;12750.000;12750.000;14437.500;14437.500;14625.000;14812.500;15000.000;15000.000;7500.000;8062.500;8062.500;8812.500;8062.500;10875.000;11062.500;11062.500;15375.000;15187.500;9000.000;9000.000;11062.500;9187.500;10125.000;9937.500;8062.500;9000.000;8812.500;8625.000;8437.500;8437.500;8625.000;8625.000;8812.500;7687.500;7687.500	0.000;-140.625;-632.812;-210.938;-140.625;-562.500;351.562;70.312;-210.938;-70.312;-70.312;-70.312;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;70.312;281.250;-632.812;0.000;351.562;140.625;-140.625;140.625;70.312;0.000;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;140.625;0.000;70.312;70.312;0.000;70.312;70.312;0.000;632.812;0.000;70.312;70.312;70.312;0.000;-2812.500;210.938;0.000;281.250;-281.250;1054.688;70.312;0.000;1617.188;-70.312;-2320.312;0.000;773.438;-703.125;351.562;-70.312;-703.125;351.562;-70.312;-70.312;-70.312;0.000;70.312;0.000;70.312;-421.875;0.000	91.9093								1									
11	Spectrogram 1	2	92.686167208	93.029076041	7338.843	13450.549	6111.706	0.3429	9000.000	92.8133	SeaPro_20220913_095740_2CH192K16.wav	7500.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;10500.000;7500.000;8062.500;9000.000;8812.500;8625.000;8437.500;8250.000;8062.500;9000.000;8062.500;8250.000;7687.500;8062.500;7500.000;7500.000;9937.500;7687.500;7500.000;8250.000;7687.500;9187.500;7500.000;7687.500;7687.500;7875.000;7875.000;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;8437.500;8437.500;8625.000;8625.000;8812.500;8812.500;9000.000;9000.000;9187.500;9187.500;9375.000;9375.000;9375.000;9562.500;9562.500;9750.000;9750.000;9937.500;9937.500;9000.000;9937.500;9000.000;10312.500;10312.500;10500.000;10500.000;10687.500;10687.500;10687.500;10875.000;10875.000;10875.000;10875.000;11062.500;11062.500;11062.500;11250.000;11437.500;11437.500;11437.500;11625.000;11625.000;11625.000;11812.500;11812.500;12000.000;12000.000;12187.500;12187.500;12375.000;12375.000;12375.000;12375.000;12562.500;12562.500;12562.500;12750.000;8437.500;8625.000;8437.500;12750.000;7500.000;8062.500;8062.500;7687.500;8062.500;8250.000;7500.000;7687.500;7500.000;9187.500;7500.000;7500.000;7687.500;7687.500;7500.000;10500.000;9750.000;9562.500;9000.000;9000.000;8250.000;9187.500;8062.500;8062.500;8250.000;8250.000	70.312;0.000;0.000;0.000;0.000;0.000;1054.688;-1125.000;210.938;351.562;-70.312;-70.312;-70.312;-70.312;-70.312;351.562;-351.562;70.312;-210.938;140.625;-210.938;0.000;914.062;-843.750;-70.312;281.250;-210.938;562.500;-632.812;70.312;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;70.312;0.000;70.312;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;70.312;0.000;-351.562;351.562;-351.562;492.188;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;70.312;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;-1617.188;70.312;-70.312;1617.188;-1968.750;210.938;0.000;-140.625;140.625;70.312;-281.250;70.312;-70.312;632.812;-632.812;0.000;70.312;0.000;-70.312;1125.000;-281.250;-70.312;-210.938;0.000;-281.250;351.562;-421.875;0.000;70.312;0.000	92.6862								1									
12	Spectrogram 1	2	93.192971924	93.399830992	7933.884	10021.978	2088.094	0.2069	8250.000	93.3093	SeaPro_20220913_095740_2CH192K16.wav	9000.000;9000.000;9750.000;9750.000;9562.500;9375.000;9375.000;9375.000;9187.500;9000.000;8812.500;9000.000;9187.500;9187.500;9187.500;9187.500;9000.000;9000.000;9000.000;8812.500;8625.000;8437.500;8437.500;8437.500;8437.500;8250.000;8437.500;8437.500;8437.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8437.500;8625.000;8437.500;8437.500;8625.000;8625.000;8437.500;8250.000;8625.000;8250.000;9000.000;8812.500;9000.000;9000.000;8812.500;8437.500;8812.500;9187.500;9000.000;8250.000;9187.500;8625.000;8062.500;8437.500;8062.500	0.000;281.250;0.000;-70.312;-70.312;0.000;0.000;-70.312;-70.312;-70.312;70.312;70.312;0.000;0.000;0.000;-70.312;0.000;0.000;-70.312;-70.312;-70.312;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;-70.312;0.000;70.312;0.000;-70.312;-70.312;140.625;-140.625;281.250;-70.312;70.312;0.000;-70.312;-140.625;140.625;140.625;-70.312;-281.250;351.562;-210.938;-210.938;140.625;-140.625	93.1930								1									
13	Spectrogram 1	2	94.377081275	94.506527005	8018.119	9758.242	1740.123	0.1294	8437.500	94.4267	SeaPro_20220913_095740_2CH192K16.wav	9375.000;9375.000;9187.500;9187.500;9187.500;9187.500;9187.500;9187.500;8812.500;8812.500;8812.500;8812.500;8625.000;8625.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;8812.500;9000.000;9187.500;9187.500;9187.500;9187.500;8437.500;8625.000;8625.000	0.000;-70.312;0.000;0.000;0.000;0.000;0.000;-140.625;0.000;0.000;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;70.312;0.000;0.000;0.000;-281.250;70.312;0.000	94.3771	9368	8908			SE	OW	1	3		0	0	2	1	0	1	F	BC
