Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Delta Freq (Hz)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Quality	Start Freq (Hz)	End Freq (Hz)	Contour	Overtones	Step	Interruptions	Inflection Points	N min	N max	Overlap	ID	Type	N elements	Category	ID_Category	similar_to
1	Spectrogram 1	2	220.824107539	221.081712945	6335.677	7964.851	0.2576	7687.500	221.0107	1629.174	SeaPro_20221030_122434_2CH192K16.wav	6375.000;6375.000;6562.500;6562.500;6750.000;6562.500;6562.500;6375.000;6375.000;6937.500;6375.000;6375.000;6562.500;6937.500;6375.000;6375.000;6375.000;7875.000;6562.500;6750.000;6562.500;6375.000;6375.000;6937.500;6750.000;7687.500;7312.500;7875.000;6375.000;6937.500;6562.500;6375.000;6375.000;6375.000;6562.500;6750.000;6562.500;7500.000;6750.000;6562.500;7687.500;6375.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7312.500;7687.500;6750.000;6375.000;7125.000;7687.500;6750.000;7687.500;6562.500;6375.000;7687.500;7687.500;6375.000;6750.000;6375.000;7687.500;6562.500;7687.500;7687.500;7687.500;7500.000;7500.000;7687.500;6937.500;7500.000;7500.000;7500.000;6562.500;7687.500;6375.000;7500.000;7312.500;6375.000;6375.000;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;6562.500;7312.500;6937.500;7125.000	0.000;70.312;0.000;70.312;-70.312;0.000;-70.312;0.000;210.938;-210.938;0.000;70.312;140.625;-210.938;0.000;0.000;562.500;-492.188;70.312;-70.312;-70.312;0.000;210.938;-70.312;351.562;-140.625;210.938;-562.500;210.938;-140.625;-70.312;0.000;0.000;70.312;70.312;-70.312;351.562;-281.250;-70.312;421.875;-492.188;492.188;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;140.625;-351.562;-140.625;281.250;210.938;-351.562;351.562;-421.875;-70.312;492.188;0.000;-492.188;140.625;-140.625;492.188;-421.875;421.875;0.000;0.000;-70.312;0.000;70.312;-281.250;210.938;0.000;0.000;-351.562;421.875;-492.188;421.875;-70.312;-351.562;0.000;351.562;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-281.250;281.250;-140.625;70.312	220.8241	1											W_885					
2	Spectrogram 1	2	237.991364568	238.105446963	8507.909	9413.005	0.1141	9187.500	238.1013	905.096	SeaPro_20221030_122434_2CH192K16.wav	8812.500;8625.000;8625.000;9000.000;9000.000;9000.000;9000.000;9000.000;9187.500;9000.000;8812.500;9187.500;9187.500;8812.500;8812.500;9187.500;9187.500;9187.500;9000.000;9187.500;9187.500;9187.500;9187.500;9187.500;8625.000;9187.500;9000.000;9000.000;9000.000;9000.000;9187.500;9000.000;9000.000;9000.000;8812.500;9000.000;9000.000;9000.000;9000.000;9000.000;9187.500;9000.000	-70.312;0.000;140.625;0.000;0.000;0.000;0.000;70.312;-70.312;-70.312;140.625;0.000;-140.625;0.000;140.625;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;-210.938;210.938;-70.312;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;70.312;-70.312	237.9914	1											W_886					
3	Spectrogram 1	2	277.114214725	277.349739668	3620.387	6335.677	0.2355	4125.000	277.2453	2715.290	SeaPro_20221030_122434_2CH192K16.wav	3750.000;4312.500;4125.000;3750.000;4312.500;4312.500;3937.500;3937.500;4312.500;4312.500;4312.500;4125.000;4125.000;4875.000;3937.500;4500.000;4687.500;4500.000;4312.500;3937.500;3750.000;3937.500;4687.500;4500.000;4125.000;4312.500;6000.000;3750.000;3750.000;3937.500;4125.000;4312.500;4125.000;4312.500;4687.500;3750.000;3750.000;4312.500;4312.500;5062.500;5062.500;3750.000;5062.500;5062.500;4125.000;3750.000;5812.500;3937.500;4312.500;4125.000;4500.000;4125.000;4312.500;4312.500;4312.500;4125.000;4125.000;3937.500;4125.000;4125.000;4125.000;4312.500;3937.500;5250.000;4125.000;4125.000;3937.500;3750.000;3937.500;4500.000;4500.000;4500.000;3937.500;3750.000;4312.500;4500.000;3750.000;4500.000;4875.000;4312.500;4500.000;3937.500;3750.000;3937.500;5625.000;3937.500;4500.000;4125.000;4312.500	210.938;-70.312;-140.625;210.938;0.000;-140.625;0.000;140.625;0.000;0.000;-70.312;0.000;281.250;-351.562;210.938;70.312;-70.312;-70.312;-140.625;-70.312;70.312;281.250;-70.312;-140.625;70.312;632.812;-843.750;0.000;70.312;70.312;70.312;-70.312;70.312;140.625;-351.562;0.000;210.938;0.000;281.250;0.000;-492.188;492.188;0.000;-351.562;-140.625;773.438;-703.125;140.625;-70.312;140.625;-140.625;70.312;0.000;0.000;-70.312;0.000;-70.312;70.312;0.000;0.000;70.312;-140.625;492.188;-421.875;0.000;-70.312;-70.312;70.312;210.938;0.000;0.000;-210.938;-70.312;210.938;70.312;-281.250;281.250;140.625;-210.938;70.312;-210.938;-70.312;70.312;632.812;-632.812;210.938;-140.625;70.312	277.1142	1											W_887					
4	Spectrogram 1	2	296.681390968	297.459727302	2896.309	3620.387	0.7783	3375.000	296.9787	724.078	SeaPro_20221030_122434_2CH192K16.wav	3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3375.000;3375.000;3375.000;3375.000;3375.000;3187.500;3187.500;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3187.500;3187.500;3375.000;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3375.000;3375.000;3375.000;3375.000;3375.000;3187.500;3375.000;3375.000;3375.000;3375.000;3375.000;3187.500;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3187.500;3187.500;3375.000;3375.000;3187.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3187.500;3562.500;3562.500;3562.500;3562.500;3562.500;3375.000;3562.500;3375.000;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3375.000;3187.500;3187.500;3187.500;3375.000;3187.500;3000.000;3375.000;3187.500;3375.000;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3187.500;3375.000;3375.000;3375.000;3375.000;3187.500;3187.500;3375.000;3375.000;3375.000;3375.000;3375.000;3187.500;3187.500;3375.000;3187.500;3187.500;3375.000;3375.000;3375.000;3187.500;3187.500;3187.500;3000.000	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;-70.312;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;70.312;0.000;-70.312;140.625;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;140.625;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;70.312;-70.312;-70.312;140.625;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;-70.312;0.000;70.312;0.000;0.000;0.000;0.000;-70.312;0.000;70.312;-70.312;0.000;70.312;0.000;0.000;-70.312;0.000;0.000;-70.312	296.6814	1											W_888					
5	Spectrogram 1	2	296.671172537	296.888517568	5973.638	9322.496	0.2173	8062.500	296.7733	3348.858	SeaPro_20221030_122434_2CH192K16.wav	8812.500;9187.500;9000.000;9000.000;8812.500;8812.500;8812.500;8812.500;8812.500;8625.000;8062.500;8062.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;8062.500;7875.000;7875.000;7875.000;8062.500;8062.500;7875.000;7875.000;7875.000;7875.000;7875.000;7687.500;7875.000;7875.000;7875.000;7875.000;7875.000;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;8625.000;8250.000;8062.500;8062.500;8062.500;8062.500;8250.000;8062.500;7687.500;7875.000;8062.500;8062.500;7875.000;7875.000;7687.500;7687.500;7687.500;7125.000;7312.500;7125.000;7125.000;7125.000;6937.500;6937.500;6937.500;7125.000;7687.500;6937.500	140.625;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;-70.312;-210.938;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;70.312;0.000;-70.312;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-140.625;-70.312;0.000;0.000;0.000;70.312;-70.312;-140.625;70.312;70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;-210.938;70.312;-70.312;0.000;0.000;-70.312;0.000;0.000;70.312;210.938;-281.250	296.6712	1											W_889					
6	Spectrogram 1	2	296.954214610	297.645437962	3471.074	8925.620	0.6912	4312.500	297.1387	5454.546	SeaPro_20221030_122434_2CH192K16.wav	3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;3562.500;5250.000;5062.500;5062.500;5062.500;4875.000;4875.000;4875.000;4687.500;4687.500;4687.500;4500.000;4500.000;4500.000;4500.000;4312.500;4312.500;4312.500;4312.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3562.500;3937.500;3937.500;3937.500;3937.500;3562.500;3750.000;3562.500;3937.500;4125.000;4125.000;4125.000	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;632.812;-70.312;0.000;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-140.625;140.625;0.000;0.000;0.000;-140.625;70.312;-70.312;140.625;70.312;0.000;0.000	296.9542	1.5	8786	3550	M	1	0	0	1	1	1	BC-CT-W_onm	W_890	SE	1	SW	SW_045	
7	Spectrogram 1	2	297.882138420	298.079022552	7240.773	10770.650	0.1969	8437.500	298.0053	3529.877	SeaPro_20221030_122434_2CH192K16.wav	7687.500;7500.000;9187.500;9937.500;9750.000;9187.500;8812.500;9000.000;8812.500;8812.500;8625.000;8437.500;8250.000;8250.000;7875.000;8062.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7687.500;7687.500;7875.000;7687.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;7687.500;8062.500;8250.000;8437.500;8250.000;8437.500;8437.500;8437.500;8437.500;8625.000;8625.000;8812.500;8812.500;7875.000;8437.500;8250.000;8625.000;8437.500;8437.500;8437.500;8250.000;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8250.000;8250.000;8250.000;8437.500;9562.500	-70.312;632.812;281.250;-70.312;-210.938;-140.625;70.312;-70.312;0.000;-70.312;-70.312;-70.312;0.000;-140.625;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;140.625;70.312;70.312;-70.312;70.312;0.000;0.000;0.000;70.312;0.000;70.312;0.000;-351.562;210.938;-70.312;140.625;-70.312;0.000;0.000;-70.312;-70.312;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;0.000;0.000;70.312;421.875	297.8821	1											W_889					
8	Spectrogram 1	2	298.005276687	298.760976639	3439.367	5159.051	0.7557	3937.500	298.6027	1719.684	SeaPro_20221030_122434_2CH192K16.wav	3750.000;3750.000;3750.000;3750.000;3750.000;3750.000;3750.000;3750.000;3750.000;3750.000;3562.500;3562.500;3562.500;4125.000;4125.000;3937.500;3937.500;4125.000;4125.000;4125.000;4125.000;4312.500;4312.500;4312.500;4500.000;3750.000;3750.000;3750.000;3750.000;3562.500;4500.000;4500.000;3562.500;3562.500;3562.500;3562.500;4312.500;4312.500;4312.500;4125.000;4312.500;4312.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3750.000;3750.000;3937.500;3750.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;4125.000;3937.500;4125.000;4125.000;3750.000;3937.500;3937.500;3937.500;3937.500;3750.000;4125.000;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3937.500;3750.000;3937.500;3937.500;3937.500	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;210.938;0.000;-70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;-281.250;0.000;0.000;0.000;-70.312;351.562;0.000;-351.562;0.000;0.000;0.000;281.250;0.000;0.000;-70.312;70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;-140.625;70.312;0.000;0.000;0.000;-70.312;140.625;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000	298.0053	1											W_888					
9	Spectrogram 1	2	301.529820531	301.638382809	3620.387	5340.070	0.1086	4125.000	301.5920	1719.683	SeaPro_20221030_122434_2CH192K16.wav	4125.000;5062.500;4875.000;4687.500;4687.500;4500.000;4500.000;4500.000;4500.000;4312.500;4312.500;4312.500;4125.000;4125.000;4312.500;4125.000;4125.000;3750.000;3937.500;3937.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;4312.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000;3937.500;4125.000;4125.000;4125.000;4125.000;4125.000;4125.000	351.562;-70.312;-70.312;0.000;-70.312;0.000;0.000;0.000;-70.312;0.000;0.000;-70.312;0.000;70.312;-70.312;0.000;-140.625;70.312;0.000;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000	301.5298	1											W_891					
10	Spectrogram 1	2	303.088746190	303.377591229	5792.619	11404.218	0.2888	8062.500	303.1867	5611.599	SeaPro_20221030_122434_2CH192K16.wav	6000.000;6187.500;9375.000;9375.000;10125.000;9937.500;9937.500;9187.500;9000.000;8625.000;8812.500;9000.000;8812.500;8812.500;8812.500;8812.500;8437.500;8437.500;8250.000;8250.000;8250.000;8250.000;8250.000;8250.000;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8625.000;8812.500;8812.500;8812.500;8625.000;9000.000;9187.500;9187.500;8062.500;8062.500;6937.500;8062.500;8250.000;6937.500;8062.500;7875.000;8062.500;7875.000;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7125.000;7312.500;7312.500;6562.500;6562.500;6562.500;6750.000;6562.500;6562.500;6562.500;6562.500;6562.500;6750.000;6562.500;6562.500;6562.500;6375.000;6375.000;8062.500;6187.500;6187.500;6375.000;6187.500;8437.500;8437.500;8437.500;8437.500;8250.000;8250.000;7875.000;8437.500;8250.000	70.312;1195.312;0.000;281.250;-70.312;0.000;-281.250;-70.312;-140.625;70.312;70.312;-70.312;0.000;0.000;0.000;-140.625;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;70.312;0.000;0.000;-70.312;140.625;70.312;0.000;-421.875;0.000;-421.875;421.875;70.312;-492.188;421.875;-70.312;70.312;-70.312;-210.938;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-70.312;70.312;0.000;-281.250;0.000;0.000;70.312;-70.312;0.000;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;-70.312;0.000;632.812;-703.125;0.000;70.312;-70.312;843.750;0.000;0.000;0.000;-70.312;0.000;-140.625;210.938;-70.312	303.0887	1											W_889					
