Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Peak Time (s)	Begin File	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	File Offset (s)	Start Freq (Hz)	End Freq (Hz)	ID	ID_Category	Type	Category	N elements	Quality	similar_to	Inflection Points	Step	N max	N min	Interruptions	Overtones	Contour	Overlap
1	Spectrogram 1	1	4.575028316	5.448120536	8889.342	18604.651	0.8731	14625.000	4.7760	SeaPro_20221018_101812_2CH192K16.wav	9187.500;10312.500;10687.500;10500.000;9937.500;10687.500;10687.500;10687.500;10875.000;14250.000;10687.500;9187.500;13875.000;11062.500;11062.500;9562.500;11062.500;11062.500;11062.500;9187.500;10312.500;11437.500;11437.500;11437.500;11437.500;11437.500;11437.500;9375.000;9000.000;11625.000;10875.000;11625.000;9562.500;9750.000;9562.500;12000.000;9562.500;12187.500;9000.000;9375.000;9187.500;9000.000;10875.000;11437.500;11625.000;9375.000;11250.000;12375.000;9000.000;10500.000;11437.500;9937.500;9562.500;12562.500;10500.000;9750.000;9187.500;9375.000;11250.000;12562.500;12375.000;9562.500;9375.000;9937.500;9375.000;12750.000;10875.000;9000.000;10687.500;9187.500;9187.500;9562.500;10875.000;13500.000;13875.000;14625.000;11625.000;10125.000;15750.000;9750.000;11812.500;9000.000;9000.000;12750.000;10687.500;9187.500;11062.500;11250.000;12750.000;9000.000;9000.000;11250.000;9000.000;12562.500;9000.000;11062.500;10687.500;10500.000;9375.000;10687.500;9562.500;9937.500;10312.500;9750.000;9000.000;9562.500;12937.500;10500.000;10875.000;10687.500;13125.000;9000.000;9000.000;10500.000;10312.500;10125.000;10500.000;10500.000;10312.500;9375.000;9562.500;10125.000;10687.500;13125.000;11062.500;9937.500;11625.000;10500.000;12937.500;9937.500;10312.500;9187.500;9562.500;13125.000;10687.500;10312.500;11250.000;9750.000;12937.500;9937.500;9187.500;10312.500;9375.000;11250.000;11062.500;11250.000;10875.000;9750.000;9000.000;9187.500;10875.000;10125.000;9187.500;18187.500;14250.000;11437.500;10125.000;11250.000;9187.500;11437.500;9187.500;11062.500;9937.500;10125.000;10312.500;10500.000;9562.500;10687.500;10312.500;9750.000;9000.000;9000.000;12562.500;17625.000;10875.000;11250.000;9375.000;9187.500;10312.500;9187.500;9562.500;10875.000;11437.500;9000.000;10125.000;9937.500;9750.000;10875.000;10875.000;9750.000;9375.000;10312.500;10875.000;13875.000;11250.000;10312.500;11812.500;9750.000;9750.000;11062.500;15000.000;10312.500;10125.000;10687.500;12937.500;12187.500;10125.000;9937.500;10500.000;9375.000;9375.000;10312.500;9750.000;9750.000;9187.500;9562.500;9375.000;9187.500;11437.500;9750.000;9187.500;10875.000;15937.500;9750.000;10500.000;9562.500;9187.500;9750.000;10500.000;9000.000;12937.500;9750.000;9750.000;10687.500;11250.000;10125.000;9000.000;9187.500;9000.000;9000.000;10875.000;16500.000;9750.000;9562.500;9937.500;9000.000;9562.500;9000.000;10500.000;9375.000;10875.000;10312.500;9000.000;9375.000;10125.000;12750.000;11437.500;9562.500;10687.500;10125.000;10125.000;9375.000;10125.000;9000.000;12562.500;11062.500;14250.000;9000.000;9750.000;9937.500;10687.500;9000.000;10312.500;10312.500;9562.500;9750.000;11062.500;11062.500;9937.500;15937.500;9187.500;11062.500;9937.500;9187.500;10875.000;9187.500;9187.500;11062.500;9187.500;13312.500;9562.500;10125.000;11062.500;10500.000;11062.500;9000.000;9375.000;10312.500;9750.000;9187.500;10500.000;9000.000;9562.500;13125.000;11250.000;10687.500;9750.000;10687.500;11625.000;12937.500;9000.000;9937.500;9000.000;10125.000;10312.500;10125.000;12750.000;12750.000;17062.500;10875.000;11250.000;9187.500;10687.500;9562.500;18375.000;9000.000;9187.500;9375.000	421.875;140.625;-70.312;-210.938;281.250;0.000;0.000;70.312;1265.625;-1335.938;-562.500;1757.812;-1054.688;0.000;-562.500;562.500;0.000;0.000;-703.125;421.875;421.875;0.000;0.000;0.000;0.000;0.000;-773.438;-140.625;984.375;-281.250;281.250;-773.438;70.312;-70.312;914.062;-914.062;984.375;-1195.312;140.625;-70.312;-70.312;703.125;210.938;70.312;-843.750;703.125;421.875;-1265.625;562.500;351.562;-562.500;-140.625;1125.000;-773.438;-281.250;-210.938;70.312;703.125;492.188;-70.312;-1054.688;-70.312;210.938;-210.938;1265.625;-703.125;-703.125;632.812;-562.500;0.000;140.625;492.188;984.375;140.625;281.250;-1125.000;-562.500;2109.375;-2250.000;773.438;-1054.688;0.000;1406.250;-773.438;-562.500;703.125;70.312;562.500;-1406.250;0.000;843.750;-843.750;1335.938;-1335.938;773.438;-140.625;-70.312;-421.875;492.188;-421.875;140.625;140.625;-210.938;-281.250;210.938;1265.625;-914.062;140.625;-70.312;914.062;-1546.875;0.000;562.500;-70.312;-70.312;140.625;0.000;-70.312;-351.562;70.312;210.938;210.938;914.062;-773.438;-421.875;632.812;-421.875;914.062;-1125.000;140.625;-421.875;140.625;1335.938;-914.062;-140.625;351.562;-562.500;1195.312;-1125.000;-281.250;421.875;-351.562;703.125;-70.312;70.312;-140.625;-421.875;-281.250;70.312;632.812;-281.250;-351.562;3375.000;-1476.562;-1054.688;-492.188;421.875;-773.438;843.750;-843.750;703.125;-421.875;70.312;70.312;70.312;-351.562;421.875;-140.625;-210.938;-281.250;0.000;1335.938;1898.438;-2531.250;140.625;-703.125;-70.312;421.875;-421.875;140.625;492.188;210.938;-914.062;421.875;-70.312;-70.312;421.875;0.000;-421.875;-140.625;351.562;210.938;1125.000;-984.375;-351.562;562.500;-773.438;0.000;492.188;1476.562;-1757.812;-70.312;210.938;843.750;-281.250;-773.438;-70.312;210.938;-421.875;0.000;351.562;-210.938;0.000;-210.938;140.625;-70.312;-70.312;843.750;-632.812;-210.938;632.812;1898.438;-2320.312;281.250;-351.562;-140.625;210.938;281.250;-562.500;1476.562;-1195.312;0.000;351.562;210.938;-421.875;-421.875;70.312;-70.312;0.000;703.125;2109.375;-2531.250;-70.312;140.625;-351.562;210.938;-210.938;562.500;-421.875;562.500;-210.938;-492.188;140.625;281.250;984.375;-492.188;-703.125;421.875;-210.938;0.000;-281.250;281.250;-421.875;1335.938;-562.500;1195.312;-1968.750;281.250;70.312;281.250;-632.812;492.188;0.000;-281.250;70.312;492.188;0.000;-421.875;2250.000;-2531.250;703.125;-421.875;-281.250;632.812;-632.812;0.000;703.125;-703.125;1546.875;-1406.250;210.938;351.562;-210.938;210.938;-773.438;140.625;351.562;-210.938;-210.938;492.188;-562.500;210.938;1335.938;-703.125;-210.938;-351.562;351.562;351.562;492.188;-1476.562;351.562;-351.562;421.875;70.312;-70.312;984.375;0.000;1617.188;-2320.312;140.625;-773.438;562.500;-421.875;3304.688;-3515.625;70.312;70.312	4.5750								1									
2	Spectrogram 1	1	7.641669917	8.243259896	6195.602	13468.701	0.6016	10312.500	7.8027	SeaPro_20221018_101812_2CH192K16.wav	6562.500;6562.500;6562.500;6375.000;6562.500;6375.000;6375.000;6375.000;6375.000;6375.000;6750.000;7125.000;7125.000;7125.000;8437.500;7687.500;6937.500;12000.000;6750.000;6562.500;7500.000;7500.000;7125.000;7687.500;8062.500;7687.500;6375.000;8625.000;6375.000;6375.000;7312.500;6750.000;6375.000;6375.000;6937.500;6937.500;6375.000;7312.500;7125.000;6375.000;6375.000;7125.000;7500.000;6375.000;6562.500;6562.500;7500.000;6562.500;6375.000;6375.000;6937.500;7687.500;10500.000;8250.000;8062.500;6375.000;7125.000;6562.500;6750.000;10312.500;10312.500;7312.500;7312.500;7125.000;8437.500;6375.000;6375.000;8437.500;6562.500;8437.500;8437.500;7687.500;8625.000;8625.000;8625.000;8437.500;7875.000;8625.000;6562.500;6562.500;8812.500;8812.500;6375.000;6562.500;8812.500;10125.000;6750.000;6375.000;8812.500;6375.000;6375.000;6937.500;8437.500;8062.500;7500.000;6375.000;6562.500;9375.000;7687.500;6375.000;6375.000;8812.500;9187.500;6562.500;6562.500;7500.000;6375.000;8625.000;6562.500;6375.000;8062.500;6375.000;8250.000;6750.000;6375.000;9562.500;6375.000;6750.000;8812.500;6937.500;9562.500;8812.500;6375.000;6750.000;6562.500;9937.500;7875.000;7312.500;7500.000;8437.500;9750.000;12000.000;6375.000;8062.500;6562.500;10125.000;6937.500;7125.000;6375.000;6375.000;6750.000;7125.000;6375.000;8062.500;6937.500;7875.000;10687.500;6562.500;7125.000;6750.000;6375.000;8062.500;7312.500;6562.500;6375.000;7312.500;11062.500;11062.500;7500.000;8062.500;6375.000;6375.000;6375.000;7312.500;10125.000;8062.500;6375.000;6375.000;6375.000;6750.000;6375.000;11625.000;7500.000;7125.000;7875.000;7875.000;7500.000;7687.500;6750.000;9562.500;7500.000;6375.000;6562.500;7312.500;7500.000;7687.500;6562.500;7312.500;6937.500;6562.500;6750.000;6375.000;6375.000;8437.500;6375.000;7687.500;7125.000;6750.000;7312.500;6562.500;6562.500;6937.500;7875.000;11062.500;6937.500;9937.500;6750.000;6375.000;6562.500;6562.500;8062.500;6937.500;7312.500;8250.000;7500.000;8062.500;12937.500;6562.500;9000.000;6750.000;6375.000;6937.500;8062.500;6750.000;6562.500;9937.500	0.000;0.000;-70.312;70.312;-70.312;0.000;0.000;0.000;0.000;140.625;140.625;0.000;0.000;492.188;-281.250;-281.250;1898.438;-1968.750;-70.312;351.562;0.000;-140.625;210.938;140.625;-140.625;-492.188;843.750;-843.750;0.000;351.562;-210.938;-140.625;0.000;210.938;0.000;-210.938;351.562;-70.312;-281.250;0.000;281.250;140.625;-421.875;70.312;0.000;351.562;-351.562;-70.312;0.000;210.938;281.250;1054.688;-843.750;-70.312;-632.812;281.250;-210.938;70.312;1335.938;0.000;-1125.000;0.000;-70.312;492.188;-773.438;0.000;773.438;-703.125;703.125;0.000;-281.250;351.562;0.000;0.000;-70.312;-210.938;281.250;-773.438;0.000;843.750;0.000;-914.062;70.312;843.750;492.188;-1265.625;-140.625;914.062;-914.062;0.000;210.938;562.500;-140.625;-210.938;-421.875;70.312;1054.688;-632.812;-492.188;0.000;914.062;140.625;-984.375;0.000;351.562;-421.875;843.750;-773.438;-70.312;632.812;-632.812;703.125;-562.500;-140.625;1195.312;-1195.312;140.625;773.438;-703.125;984.375;-281.250;-914.062;140.625;-70.312;1265.625;-773.438;-210.938;70.312;351.562;492.188;843.750;-2109.375;632.812;-562.500;1335.938;-1195.312;70.312;-281.250;0.000;140.625;140.625;-281.250;632.812;-421.875;351.562;1054.688;-1546.875;210.938;-140.625;-140.625;632.812;-281.250;-281.250;-70.312;351.562;1406.250;0.000;-1335.938;210.938;-632.812;0.000;0.000;351.562;1054.688;-773.438;-632.812;0.000;0.000;140.625;-140.625;1968.750;-1546.875;-140.625;281.250;0.000;-140.625;70.312;-351.562;1054.688;-773.438;-421.875;70.312;281.250;70.312;70.312;-421.875;281.250;-140.625;-140.625;70.312;-140.625;0.000;773.438;-773.438;492.188;-210.938;-140.625;210.938;-281.250;0.000;140.625;351.562;1195.312;-1546.875;1125.000;-1195.312;-140.625;70.312;0.000;562.500;-421.875;140.625;351.562;-281.250;210.938;1828.125;-2390.625;914.062;-843.750;-140.625;210.938;421.875;-492.188;-70.312;1265.625	7.6417								1									
3	Spectrogram 1	2	58.908884827	60.288139901	5926.228	12660.579	1.3793	6375.000	59.2427	SeaPro_20221018_101812_2CH192K16.wav	6187.500;6187.500;6750.000;6000.000;6375.000;6000.000;6562.500;7312.500;6000.000;6000.000;6375.000;6375.000;6000.000;6562.500;6000.000;6750.000;6375.000;6000.000;6375.000;6937.500;6000.000;6000.000;6000.000;6000.000;8250.000;7875.000;6000.000;6000.000;6750.000;6000.000;6000.000;6000.000;6187.500;6000.000;6000.000;6750.000;7687.500;6000.000;10125.000;6562.500;6000.000;6375.000;7687.500;9562.500;6187.500;6000.000;6187.500;6000.000;6000.000;6187.500;6000.000;6562.500;6562.500;6000.000;6562.500;8250.000;7312.500;7125.000;6000.000;6187.500;6000.000;6187.500;6375.000;6187.500;6000.000;6000.000;6562.500;6750.000;6000.000;8062.500;8062.500;9187.500;6000.000;6000.000;6750.000;6750.000;6750.000;6375.000;8812.500;8812.500;6000.000;6000.000;7500.000;6375.000;6750.000;6000.000;6187.500;6000.000;6750.000;6562.500;6000.000;6562.500;7125.000;6750.000;8437.500;6937.500;7125.000;6000.000;6000.000;8250.000;7500.000;6375.000;6375.000;7312.500;6375.000;6375.000;6000.000;8062.500;8062.500;7312.500;6000.000;6000.000;7875.000;8062.500;6000.000;8062.500;7125.000;7500.000;6375.000;6375.000;6187.500;6562.500;6000.000;7125.000;6375.000;6750.000;6000.000;6000.000;6750.000;6562.500;6562.500;6187.500;6375.000;6000.000;6187.500;6750.000;7125.000;7875.000;7312.500;6750.000;6750.000;8625.000;6187.500;6187.500;6000.000;8062.500;7125.000;7500.000;6187.500;7875.000;6750.000;8250.000;8812.500;6187.500;6000.000;6000.000;7125.000;6375.000;7687.500;6375.000;6375.000;6375.000;7687.500;7500.000;6937.500;6187.500;6375.000;6375.000;6375.000;6187.500;7687.500;6187.500;6750.000;7125.000;6562.500;6187.500;6000.000;6000.000;6375.000;6937.500;6000.000;6000.000;7875.000;7312.500;6000.000;6000.000;6562.500;6750.000;6375.000;7125.000;6000.000;6000.000;6750.000;6750.000;6750.000;6375.000;6375.000;6750.000;6937.500;6187.500;6187.500;6187.500;6187.500;6187.500;7875.000;6562.500;6000.000;6000.000;7312.500;7312.500;6187.500;6187.500;6750.000;6000.000;6187.500;6187.500;6000.000;6937.500;6000.000;6750.000;6000.000;7500.000;6187.500;6000.000;8062.500;7875.000;6375.000;6187.500;6375.000;6187.500;7125.000;6562.500;6000.000;7687.500;6562.500;6375.000;7687.500;6000.000;6000.000;6375.000;6187.500;6750.000;6562.500;7125.000;6937.500;6750.000;7312.500;6937.500;6187.500;7125.000;6187.500;6000.000;6000.000;6937.500;6000.000;6000.000;6375.000;6375.000;6750.000;6000.000;6375.000;6000.000;6937.500;6000.000;6187.500;6562.500;6375.000;7125.000;6000.000;7500.000;6562.500;6187.500;6000.000;6375.000;6375.000;6000.000;6000.000;6937.500;6187.500;6000.000;6000.000;6000.000;6562.500;6562.500;6187.500;6375.000;7875.000;6375.000;6187.500;6000.000;6000.000;6000.000;6187.500;6375.000;7312.500;7687.500;6750.000;6375.000;6562.500;7312.500;6562.500;6562.500;6562.500;6000.000;6562.500;7875.000;6000.000;6937.500;6562.500;6187.500;6187.500;6000.000;6000.000;10500.000;6187.500;6000.000;6562.500;6375.000;6000.000;6000.000;6000.000;6750.000;7687.500;7500.000;6187.500;6000.000;7125.000;6000.000;6187.500;6000.000;7125.000;6187.500;7687.500;6375.000;6562.500;6562.500;6000.000;6000.000;6000.000;6000.000;6187.500;6562.500;6375.000;6000.000;6000.000;6187.500;6000.000;6000.000;7500.000;6187.500;6375.000;6000.000;6562.500;6000.000;6000.000;7312.500;6187.500;6750.000;6000.000;6000.000;6562.500;6750.000;6000.000;6187.500;6000.000;6187.500;6187.500;6187.500;6187.500;7687.500;6000.000;6375.000;6000.000;6187.500;8062.500;6000.000;6000.000;6375.000;6187.500;6375.000;6000.000;6000.000;6375.000;7312.500;6000.000;6000.000;6000.000;6187.500;6000.000;6375.000;6000.000;6000.000;7312.500;7875.000;6562.500;6000.000;6375.000;8625.000;9000.000;7125.000;7687.500;6000.000;8625.000;6375.000;6187.500;6562.500;6375.000;6562.500;6000.000;6000.000;7125.000;6375.000;8437.500;6375.000;6375.000;6750.000;6937.500;6750.000;6000.000;6375.000;7875.000;6000.000;6000.000;6187.500;6375.000;8062.500;7875.000;6000.000;6000.000;7875.000;6187.500;6000.000;6750.000;8062.500;7875.000;6000.000;6375.000;6375.000;6000.000;6000.000;7500.000;7125.000;6000.000;7687.500;6187.500;6000.000;6562.500;6750.000;6000.000;6000.000;6187.500;8062.500;7687.500;6562.500;6000.000;6000.000;6187.500;6187.500;7312.500;7500.000;7687.500;7500.000;7312.500;6375.000;6187.500;6187.500;7312.500;7687.500;7312.500;6937.500;7500.000;6000.000;7125.000;7500.000;6562.500;6937.500;7312.500;6937.500;6562.500;6000.000;7125.000;6000.000;6375.000;6000.000;7312.500;7500.000;6750.000;7312.500;7125.000;7125.000;6375.000;6000.000;6000.000;6000.000;6000.000;6562.500;6375.000;8062.500;6000.000;6000.000;6375.000;6000.000;6375.000;6000.000;6375.000;6750.000;6937.500;6000.000;6375.000;6000.000;6000.000;6375.000;6187.500;6000.000;6375.000;6562.500;6000.000	0.000;210.938;-281.250;140.625;-140.625;210.938;281.250;-492.188;0.000;140.625;0.000;-140.625;210.938;-210.938;281.250;-140.625;-140.625;140.625;210.938;-351.562;0.000;0.000;0.000;843.750;-140.625;-703.125;0.000;281.250;-281.250;0.000;0.000;70.312;-70.312;0.000;281.250;351.562;-632.812;1546.875;-1335.938;-210.938;140.625;492.188;703.125;-1265.625;-70.312;70.312;-70.312;0.000;70.312;-70.312;210.938;0.000;-210.938;210.938;632.812;-351.562;-70.312;-421.875;70.312;-70.312;70.312;70.312;-70.312;-70.312;0.000;210.938;70.312;-281.250;773.438;0.000;421.875;-1195.312;0.000;281.250;0.000;0.000;-140.625;914.062;0.000;-1054.688;0.000;562.500;-421.875;140.625;-281.250;70.312;-70.312;281.250;-70.312;-210.938;210.938;210.938;-140.625;632.812;-562.500;70.312;-421.875;0.000;843.750;-281.250;-421.875;0.000;351.562;-351.562;0.000;-140.625;773.438;0.000;-281.250;-492.188;0.000;703.125;70.312;-773.438;773.438;-351.562;140.625;-421.875;0.000;-70.312;140.625;-210.938;421.875;-281.250;140.625;-281.250;0.000;281.250;-70.312;0.000;-140.625;70.312;-140.625;70.312;210.938;140.625;281.250;-210.938;-210.938;0.000;703.125;-914.062;0.000;-70.312;773.438;-351.562;140.625;-492.188;632.812;-421.875;562.500;210.938;-984.375;-70.312;0.000;421.875;-281.250;492.188;-492.188;0.000;0.000;492.188;-70.312;-210.938;-281.250;70.312;0.000;0.000;-70.312;562.500;-562.500;210.938;140.625;-210.938;-140.625;-70.312;0.000;140.625;210.938;-351.562;0.000;703.125;-210.938;-492.188;0.000;210.938;70.312;-140.625;281.250;-421.875;0.000;281.250;0.000;0.000;-140.625;0.000;140.625;70.312;-281.250;0.000;0.000;0.000;0.000;632.812;-492.188;-210.938;0.000;492.188;0.000;-421.875;0.000;210.938;-281.250;70.312;0.000;-70.312;351.562;-351.562;281.250;-281.250;562.500;-492.188;-70.312;773.438;-70.312;-562.500;-70.312;70.312;-70.312;351.562;-210.938;-210.938;632.812;-421.875;-70.312;492.188;-632.812;0.000;140.625;-70.312;210.938;-70.312;210.938;-70.312;-70.312;210.938;-140.625;-281.250;351.562;-351.562;-70.312;0.000;351.562;-351.562;0.000;140.625;0.000;140.625;-281.250;140.625;-140.625;351.562;-351.562;70.312;140.625;-70.312;281.250;-421.875;562.500;-351.562;-140.625;-70.312;140.625;0.000;-140.625;0.000;351.562;-281.250;-70.312;0.000;0.000;210.938;0.000;-140.625;70.312;562.500;-562.500;-70.312;-70.312;0.000;0.000;70.312;70.312;351.562;140.625;-351.562;-140.625;70.312;281.250;-281.250;0.000;0.000;-210.938;210.938;492.188;-703.125;351.562;-140.625;-140.625;0.000;-70.312;0.000;1687.500;-1617.188;-70.312;210.938;-70.312;-140.625;0.000;0.000;281.250;351.562;-70.312;-492.188;-70.312;421.875;-421.875;70.312;-70.312;421.875;-351.562;562.500;-492.188;70.312;0.000;-210.938;0.000;0.000;0.000;70.312;140.625;-70.312;-140.625;0.000;70.312;-70.312;0.000;562.500;-492.188;70.312;-140.625;210.938;-210.938;0.000;492.188;-421.875;210.938;-281.250;0.000;210.938;70.312;-281.250;70.312;-70.312;70.312;0.000;0.000;0.000;562.500;-632.812;140.625;-140.625;70.312;703.125;-773.438;0.000;140.625;-70.312;70.312;-140.625;0.000;140.625;351.562;-492.188;0.000;0.000;70.312;-70.312;140.625;-140.625;0.000;492.188;210.938;-492.188;-210.938;140.625;843.750;140.625;-703.125;210.938;-632.812;984.375;-843.750;-70.312;140.625;-70.312;70.312;-210.938;0.000;421.875;-281.250;773.438;-773.438;0.000;140.625;70.312;-70.312;-281.250;140.625;562.500;-703.125;0.000;70.312;70.312;632.812;-70.312;-703.125;0.000;703.125;-632.812;-70.312;281.250;492.188;-70.312;-703.125;140.625;0.000;-140.625;0.000;562.500;-140.625;-421.875;632.812;-562.500;-70.312;210.938;70.312;-281.250;0.000;70.312;703.125;-140.625;-421.875;-210.938;0.000;70.312;0.000;421.875;70.312;70.312;-70.312;-70.312;-351.562;-70.312;0.000;421.875;140.625;-140.625;-140.625;210.938;-562.500;421.875;140.625;-351.562;140.625;140.625;-140.625;-140.625;-210.938;421.875;-421.875;140.625;-140.625;492.188;70.312;-281.250;210.938;-70.312;0.000;-281.250;-140.625;0.000;0.000;0.000;210.938;-70.312;632.812;-773.438;0.000;140.625;-140.625;140.625;-140.625;140.625;140.625;70.312;-351.562;140.625;-140.625;0.000;140.625;-70.312;-70.312;140.625;70.312;-210.938	58.9089								1									
4	Spectrogram 1	2	63.838988071	64.367213418	4848.732	11852.457	0.5282	5062.500	64.3547	SeaPro_20221018_101812_2CH192K16.wav	4875.000;4875.000;4875.000;5062.500;5062.500;5625.000;5625.000;5250.000;5437.500;7312.500;5062.500;4875.000;5062.500;5250.000;5250.000;5625.000;5812.500;5437.500;5062.500;4875.000;5062.500;4875.000;5625.000;5812.500;4875.000;5062.500;5812.500;6187.500;4875.000;4875.000;5625.000;5062.500;4875.000;6187.500;5437.500;5250.000;5437.500;6375.000;5062.500;4875.000;4875.000;5250.000;5250.000;5062.500;4875.000;5062.500;5062.500;5062.500;5062.500;5250.000;5250.000;5812.500;4875.000;4875.000;4875.000;4875.000;5062.500;5062.500;5812.500;5062.500;5250.000;4875.000;5062.500;4875.000;5250.000;5250.000;5062.500;5250.000;4875.000;5250.000;4875.000;5625.000;5625.000;4875.000;5625.000;5250.000;5250.000;4875.000;5250.000;4875.000;5250.000;5062.500;5625.000;5625.000;4875.000;4875.000;5250.000;5062.500;5062.500;6375.000;5250.000;5250.000;5437.500;5437.500;5437.500;5250.000;4875.000;4875.000;5437.500;4875.000;5250.000;5250.000;6187.500;5062.500;4875.000;6187.500;4875.000;5062.500;4875.000;5437.500;5250.000;5812.500;6000.000;6187.500;5062.500;4875.000;5437.500;5250.000;5062.500;4875.000;4875.000;4875.000;4875.000;4875.000;8250.000;6187.500;4875.000;4875.000;5812.500;5062.500;5062.500;5062.500;4875.000;5062.500;5062.500;4875.000;4875.000;5437.500;5062.500;5250.000;6187.500;4875.000;5625.000;6562.500;5062.500;5062.500;5062.500;4875.000;5062.500;5625.000;7875.000;5812.500;4875.000;6000.000;5812.500;5062.500;5062.500;6000.000;4875.000;5062.500;5437.500;5437.500;4875.000;5250.000;4875.000;6000.000;5250.000;6000.000;4875.000;5437.500;5437.500;5062.500;5062.500;4875.000;4875.000;4875.000;5250.000;5437.500;6375.000;6562.500;4875.000;5812.500;5250.000;5812.500;6187.500;4875.000;5062.500;5062.500;7125.000;4875.000;6000.000;5062.500;5062.500;5250.000;6375.000;4875.000;5250.000	0.000;0.000;70.312;0.000;210.938;0.000;-140.625;70.312;703.125;-843.750;-70.312;70.312;70.312;0.000;140.625;70.312;-140.625;-140.625;-70.312;70.312;-70.312;281.250;70.312;-351.562;70.312;281.250;140.625;-492.188;0.000;281.250;-210.938;-70.312;492.188;-281.250;-70.312;70.312;351.562;-492.188;-70.312;0.000;140.625;0.000;-70.312;-70.312;70.312;0.000;0.000;0.000;70.312;0.000;210.938;-351.562;0.000;0.000;0.000;70.312;0.000;281.250;-281.250;70.312;-140.625;70.312;-70.312;140.625;0.000;-70.312;70.312;-140.625;140.625;-140.625;281.250;0.000;-281.250;281.250;-140.625;0.000;-140.625;140.625;-140.625;140.625;-70.312;210.938;0.000;-281.250;0.000;140.625;-70.312;0.000;492.188;-421.875;0.000;70.312;0.000;0.000;-70.312;-140.625;0.000;210.938;-210.938;140.625;0.000;351.562;-421.875;-70.312;492.188;-492.188;70.312;-70.312;210.938;-70.312;210.938;70.312;70.312;-421.875;-70.312;210.938;-70.312;-70.312;-70.312;0.000;0.000;0.000;0.000;1265.625;-773.438;-492.188;0.000;351.562;-281.250;0.000;0.000;-70.312;70.312;0.000;-70.312;0.000;210.938;-140.625;70.312;351.562;-492.188;281.250;351.562;-562.500;0.000;0.000;-70.312;70.312;210.938;843.750;-773.438;-351.562;421.875;-70.312;-281.250;0.000;351.562;-421.875;70.312;140.625;0.000;-210.938;140.625;-140.625;421.875;-281.250;281.250;-421.875;210.938;0.000;-140.625;0.000;-70.312;0.000;0.000;140.625;70.312;351.562;70.312;-632.812;351.562;-210.938;210.938;140.625;-492.188;70.312;0.000;773.438;-843.750;421.875;-351.562;0.000;70.312;421.875;-562.500;140.625	63.8390								1									
