Selection	View	Channel	Begin Time (s)	End Time (s)	Peak Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Delta Freq (Hz)	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	Start Freq (Hz)	End Freq (Hz)	Quality	Contour	Overtones	Step	Interruptions	Inflection Points	N min	N max	Overlap	Type	N elements	Category	ID	ID_Category	similar_to
1	Spectrogram 1	1	369.344929958	370.204380435	369.5547	0.8595	6150.000	16050.000	9937.500	9900.000	7500.000;7875.000;7125.000;7500.000;7500.000;7500.000;7312.500;6562.500;9750.000;7687.500;7687.500;7687.500;7687.500;7875.000;7312.500;6937.500;6937.500;8062.500;6750.000;8062.500;8250.000;7687.500;8250.000;6937.500;8625.000;6562.500;6562.500;8625.000;8625.000;6187.500;8812.500;9000.000;9187.500;10312.500;6187.500;9375.000;9562.500;9375.000;6187.500;6562.500;6750.000;9375.000;9000.000;6187.500;6937.500;6937.500;6375.000;6375.000;6750.000;6937.500;6750.000;6187.500;6562.500;7875.000;6562.500;6375.000;6562.500;6187.500;6937.500;8062.500;6562.500;6187.500;6937.500;9937.500;6937.500;6750.000;9750.000;7312.500;8812.500;8062.500;6187.500;6187.500;6375.000;15937.500;8062.500;8625.000;8437.500;8062.500;9937.500;8062.500;8062.500;6937.500;7500.000;7687.500;7312.500;6187.500;6187.500;15187.500;7875.000;15187.500;6187.500;8625.000;6750.000;15187.500;15187.500;6187.500;9375.000;8250.000;8625.000;6937.500;8250.000;8437.500;6562.500;6937.500;6375.000;6187.500;9937.500;6750.000;6562.500;6750.000;6187.500;7500.000;7125.000;7125.000;6375.000;7312.500;8250.000;6937.500;6187.500;6187.500;6375.000;6187.500;6187.500;8250.000;8812.500;6187.500;6187.500;7875.000;6375.000;7312.500;7312.500;7312.500;7125.000;7125.000;6937.500;7312.500;6562.500;6937.500;6937.500;6937.500;7125.000;6937.500;6937.500;6937.500;7312.500;6937.500;6750.000;6562.500;6937.500;8250.000;6750.000;6937.500;6562.500;7312.500;6187.500;6937.500;6750.000;6937.500;6937.500;7687.500;6937.500;6937.500;6937.500;6187.500;6937.500;6937.500;6750.000;7875.000;7125.000;7687.500;6187.500;7125.000;6375.000;8250.000;6937.500;7125.000;7125.000;7125.000;7312.500;7312.500;7312.500;8250.000;7312.500;7125.000;6937.500;7125.000;7500.000;7500.000;7500.000;7500.000;6937.500;8250.000;8250.000;6562.500;7687.500;7500.000;8437.500;11062.500;7875.000;7875.000;7875.000;7125.000;8062.500;8062.500;7687.500;7125.000;7875.000;7312.500;8062.500;8437.500;8437.500;7312.500;8625.000;8625.000;8625.000;7687.500;7312.500;9000.000;6375.000;6750.000;9375.000;9375.000;8437.500;9562.500;9562.500;6375.000;6562.500;9750.000;6187.500;6750.000;9937.500;7687.500;10125.000;7687.500;6750.000;7125.000;7125.000;11062.500;7687.500;6187.500;7125.000;8250.000;6937.500;7875.000;6375.000;7875.000;8062.500;7500.000;7312.500;7875.000;8250.000;8250.000;8437.500;15375.000;8062.500;8812.500;7312.500;6187.500;8437.500;7125.000;6375.000;7875.000;6375.000;9187.500;7500.000;6187.500;15375.000;8625.000;6750.000;15187.500;8250.000;8437.500;15187.500;7500.000;6187.500;6750.000;7500.000;10125.000;6187.500;6937.500;6562.500;15000.000;15000.000;15000.000;15000.000;7312.500;15000.000;15000.000;6937.500;15000.000;15000.000;15000.000;10875.000;6375.000;8812.500;7312.500;9000.000;6187.500;6562.500;6187.500;8437.500;6187.500;10875.000;6937.500;6937.500;7312.500;10312.500;8062.500;9000.000;6750.000;6375.000;6375.000;8437.500;6750.000;7875.000;7875.000;6187.500;6750.000;6375.000;6187.500;7125.000;9375.000	140.625;-281.250;140.625;0.000;0.000;-70.312;-281.250;1195.312;-773.438;0.000;0.000;0.000;70.312;-210.938;-140.625;0.000;421.875;-492.188;492.188;70.312;-210.938;210.938;-492.188;632.812;-773.438;0.000;773.438;0.000;-914.062;984.375;70.312;70.312;421.875;-1546.875;1195.312;70.312;-70.312;-1195.312;140.625;70.312;984.375;-140.625;-1054.688;281.250;0.000;-210.938;0.000;140.625;70.312;-70.312;-210.938;140.625;492.188;-492.188;-70.312;70.312;-140.625;281.250;421.875;-562.500;-140.625;281.250;1125.000;-1125.000;-70.312;1125.000;-914.062;562.500;-281.250;-703.125;0.000;70.312;3585.938;-2953.125;210.938;-70.312;-140.625;703.125;-703.125;0.000;-421.875;210.938;70.312;-140.625;-421.875;0.000;3375.000;-2742.188;2742.188;-3375.000;914.062;-703.125;3164.062;0.000;-3375.000;1195.312;-421.875;140.625;-632.812;492.188;70.312;-703.125;140.625;-210.938;-70.312;1406.250;-1195.312;-70.312;70.312;-210.938;492.188;-140.625;0.000;-281.250;351.562;351.562;-492.188;-281.250;0.000;70.312;-70.312;0.000;773.438;210.938;-984.375;0.000;632.812;-562.500;351.562;0.000;0.000;-70.312;0.000;-70.312;140.625;-281.250;140.625;0.000;0.000;70.312;-70.312;0.000;0.000;140.625;-140.625;-70.312;-70.312;140.625;492.188;-562.500;70.312;-140.625;281.250;-421.875;281.250;-70.312;70.312;0.000;281.250;-281.250;0.000;0.000;-281.250;281.250;0.000;-70.312;421.875;-281.250;210.938;-562.500;351.562;-281.250;703.125;-492.188;70.312;0.000;0.000;70.312;0.000;0.000;351.562;-351.562;-70.312;-70.312;70.312;140.625;0.000;0.000;0.000;-210.938;492.188;0.000;-632.812;421.875;-70.312;351.562;984.375;-1195.312;0.000;0.000;-281.250;351.562;0.000;-140.625;-210.938;281.250;-210.938;281.250;140.625;0.000;-421.875;492.188;0.000;0.000;-351.562;-140.625;632.812;-984.375;140.625;984.375;0.000;-351.562;421.875;0.000;-1195.312;70.312;1195.312;-1335.938;210.938;1195.312;-843.750;914.062;-914.062;-351.562;140.625;0.000;1476.562;-1265.625;-562.500;351.562;421.875;-492.188;351.562;-562.500;562.500;70.312;-210.938;-70.312;210.938;140.625;0.000;70.312;2601.562;-2742.188;281.250;-562.500;-421.875;843.750;-492.188;-281.250;562.500;-562.500;1054.688;-632.812;-492.188;3445.312;-2531.250;-703.125;3164.062;-2601.562;70.312;2531.250;-2882.812;-492.188;210.938;281.250;984.375;-1476.562;281.250;-140.625;3164.062;0.000;0.000;0.000;-2882.812;2882.812;0.000;-3023.438;3023.438;0.000;0.000;-1546.875;-1687.500;914.062;-562.500;632.812;-1054.688;140.625;-140.625;843.750;-843.750;1757.812;-1476.562;0.000;140.625;1125.000;-843.750;351.562;-843.750;-140.625;0.000;773.438;-632.812;421.875;0.000;-632.812;210.938;-140.625;-70.312;351.562;843.750			1											SW		SW_060	
2	Spectrogram 1	1	372.387434881	373.496726264	373.1467	1.1093	5197.235	14456.405	7687.500	9259.170	6750.000;5250.000;7312.500;6750.000;6937.500;6937.500;6937.500;5250.000;7125.000;5812.500;7125.000;7125.000;5250.000;5625.000;7125.000;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;5437.500;7312.500;7312.500;5250.000;7312.500;7500.000;7500.000;5437.500;5625.000;7500.000;7500.000;5250.000;6187.500;5437.500;5250.000;5625.000;5250.000;5625.000;7687.500;7875.000;7687.500;9562.500;7875.000;7875.000;7875.000;7875.000;7875.000;7875.000;5437.500;5437.500;8062.500;8062.500;5625.000;8062.500;5812.500;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;5250.000;8625.000;8625.000;8625.000;8625.000;8625.000;8812.500;8812.500;8812.500;9000.000;9000.000;5250.000;9187.500;9187.500;9187.500;9375.000;9375.000;9562.500;9562.500;5437.500;9937.500;5625.000;5812.500;10687.500;11250.000;7687.500;9187.500;5250.000;5625.000;5250.000;5625.000;5812.500;5625.000;14062.500;5625.000;5625.000;5625.000;5250.000;14062.500;14062.500;5625.000;14062.500;14062.500;14062.500;14062.500;5437.500;14062.500;5250.000;6562.500;5250.000;5250.000;5437.500;5625.000;14062.500;5250.000;14062.500;14062.500;5250.000;5437.500;5250.000;7500.000;6562.500;14062.500;14062.500;6562.500;8062.500;5812.500;5250.000;14062.500;14062.500;14062.500;14062.500;6375.000;5437.500;5437.500;5812.500;5250.000;6562.500;6375.000;6000.000;5812.500;5812.500;5250.000;7312.500;5437.500;5812.500;5250.000;5250.000;6000.000;6000.000;5250.000;6000.000;5250.000;6000.000;6000.000;8812.500;6375.000;7125.000;9562.500;5812.500;5625.000;6937.500;5250.000;5250.000;6187.500;5250.000;7875.000;5250.000;5625.000;5250.000;5250.000;9562.500;5250.000;6750.000;5437.500;5437.500;5250.000;6000.000;6000.000;5437.500;5812.500;6187.500;5250.000;6187.500;6750.000;5250.000;5250.000;5250.000;5625.000;5250.000;6375.000;5437.500;5250.000;5250.000;5250.000;5250.000;6375.000;5625.000;5437.500;5437.500;8437.500;5625.000;5625.000;6937.500;5437.500;5812.500;5250.000;5437.500;5625.000;5625.000;5625.000;5625.000;5250.000;5437.500;5625.000;6000.000;5437.500;5250.000;6000.000;5250.000;6000.000;5250.000;6187.500;6187.500;6375.000;5250.000;6375.000;6375.000;6562.500;6562.500;6562.500;6562.500;5625.000;6562.500;6562.500;6562.500;6562.500;5250.000;7500.000;6937.500;9187.500;6750.000;6750.000;6750.000;6750.000;6750.000;6750.000;6750.000;5812.500;5250.000;5250.000;5250.000;5437.500;6937.500;6937.500;6937.500;6937.500;6937.500;6562.500;5250.000;7125.000;7125.000;7125.000;7125.000;7312.500;7125.000;7312.500;7312.500;7312.500;7312.500;7312.500;7500.000;7500.000;7500.000;7500.000;7500.000;7500.000;7687.500;7687.500;7687.500;7687.500;7687.500;7687.500;7875.000;7875.000;7875.000;7875.000;7875.000;8062.500;7875.000;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8437.500;8437.500;8437.500;8625.000;8625.000;8625.000;8812.500;8812.500;8812.500;8812.500;9000.000;9000.000;9187.500;9000.000;9187.500;9187.500;9375.000;9375.000;9562.500;9562.500;9562.500;9750.000;9750.000;7312.500;8062.500;9937.500;9937.500;5812.500;6937.500;10125.000;7875.000;6187.500;5250.000;5437.500;5812.500;10500.000;5250.000;11062.500;11062.500;11250.000;5812.500;7125.000;5250.000;5437.500;5437.500;5625.000;6000.000;14062.500;14062.500;5250.000;6187.500;5250.000;14062.500;6000.000;14062.500;5812.500;5625.000;5437.500;5625.000;6187.500;5812.500;6375.000;14062.500;6000.000;5812.500;8062.500;6937.500;14062.500;5250.000;6000.000;5250.000;5437.500;5250.000;5250.000;5250.000;5437.500;14062.500;14062.500;5250.000;5812.500;6562.500;5812.500;5250.000;6750.000;5250.000;5250.000;6000.000;5250.000;14062.500;5250.000;14062.500;5437.500;5437.500;14062.500;14062.500;14062.500;7312.500;5625.000;9562.500;7687.500;5625.000;6937.500;6375.000;5250.000;6375.000;6375.000;5250.000;6187.500;12375.000;5250.000	-562.500;773.438;-210.938;70.312;0.000;0.000;-632.812;703.125;-492.188;492.188;0.000;-703.125;140.625;562.500;70.312;0.000;0.000;0.000;0.000;0.000;-703.125;703.125;0.000;-773.438;773.438;70.312;0.000;-773.438;70.312;703.125;0.000;-843.750;351.562;-281.250;-70.312;140.625;-140.625;140.625;773.438;70.312;-70.312;703.125;-632.812;0.000;0.000;0.000;0.000;0.000;-914.062;0.000;984.375;0.000;-914.062;914.062;-843.750;914.062;0.000;0.000;0.000;0.000;70.312;0.000;-1195.312;1265.625;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;-1406.250;1476.562;0.000;0.000;70.312;0.000;70.312;0.000;-1546.875;1687.500;-1617.188;70.312;1828.125;210.938;-1335.938;562.500;-1476.562;140.625;-140.625;140.625;70.312;-70.312;3164.062;-3164.062;0.000;0.000;-140.625;3304.688;0.000;-3164.062;3164.062;0.000;0.000;0.000;-3234.375;3234.375;-3304.688;492.188;-492.188;0.000;70.312;70.312;3164.062;-3304.688;3304.688;0.000;-3304.688;70.312;-70.312;843.750;-351.562;2812.500;0.000;-2812.500;562.500;-843.750;-210.938;3304.688;0.000;0.000;0.000;-2882.812;-351.562;0.000;140.625;-210.938;492.188;-70.312;-140.625;-70.312;0.000;-210.938;773.438;-703.125;140.625;-210.938;0.000;281.250;0.000;-281.250;281.250;-281.250;281.250;0.000;1054.688;-914.062;281.250;914.062;-1406.250;-70.312;492.188;-632.812;0.000;351.562;-351.562;984.375;-984.375;140.625;-140.625;0.000;1617.188;-1617.188;562.500;-492.188;0.000;-70.312;281.250;0.000;-210.938;140.625;140.625;-351.562;351.562;210.938;-562.500;0.000;0.000;140.625;-140.625;421.875;-351.562;-70.312;0.000;0.000;0.000;421.875;-281.250;-70.312;0.000;1125.000;-1054.688;0.000;492.188;-562.500;140.625;-210.938;70.312;70.312;0.000;0.000;0.000;-140.625;70.312;70.312;140.625;-210.938;-70.312;281.250;-281.250;281.250;-281.250;351.562;0.000;70.312;-421.875;421.875;0.000;70.312;0.000;0.000;0.000;-351.562;351.562;0.000;0.000;0.000;-492.188;843.750;-210.938;843.750;-914.062;0.000;0.000;0.000;0.000;0.000;0.000;-351.562;-210.938;0.000;0.000;70.312;562.500;0.000;0.000;0.000;0.000;-140.625;-492.188;703.125;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;-70.312;70.312;0.000;70.312;0.000;70.312;0.000;0.000;70.312;0.000;-914.062;281.250;703.125;0.000;-1546.875;421.875;1195.312;-843.750;-632.812;-351.562;70.312;140.625;1757.812;-1968.750;2179.688;0.000;70.312;-2039.062;492.188;-703.125;70.312;0.000;70.312;140.625;3023.438;0.000;-3304.688;351.562;-351.562;3304.688;-3023.438;3023.438;-3093.750;-70.312;-70.312;70.312;210.938;-140.625;210.938;2882.812;-3023.438;-70.312;843.750;-421.875;2671.875;-3304.688;281.250;-281.250;70.312;-70.312;0.000;0.000;70.312;3234.375;0.000;-3304.688;210.938;281.250;-281.250;-210.938;562.500;-562.500;0.000;281.250;-281.250;3304.688;-3304.688;3304.688;-3234.375;0.000;3234.375;0.000;0.000;-2531.250;-632.812;1476.562;-703.125;-773.438;492.188;-210.938;-421.875;421.875;0.000;-421.875;351.562;2320.312;-2671.875			1														
3	Spectrogram 1	1	379.277681024	380.131382668	379.7573	0.8537	5197.235	15909.903	7125.000	10712.668	5437.500;5437.500;5437.500;6000.000;8250.000;6000.000;5250.000;5812.500;5250.000;5437.500;5437.500;6750.000;5437.500;7875.000;6000.000;7125.000;7125.000;7312.500;5625.000;6562.500;7125.000;8062.500;5437.500;5812.500;5812.500;5437.500;6562.500;5437.500;5250.000;5250.000;5625.000;6000.000;5437.500;8437.500;6000.000;9000.000;5625.000;5250.000;5250.000;5250.000;7125.000;5250.000;5250.000;5250.000;5812.500;5437.500;6000.000;9937.500;7875.000;6000.000;5437.500;10687.500;5625.000;6750.000;5250.000;5625.000;5625.000;5625.000;6000.000;6750.000;5812.500;7875.000;5250.000;5437.500;8437.500;5625.000;5437.500;6562.500;8250.000;5812.500;5250.000;5250.000;5250.000;5250.000;5437.500;5437.500;5437.500;6937.500;5437.500;6000.000;5437.500;15000.000;5625.000;15000.000;5250.000;6937.500;15000.000;14812.500;5812.500;14812.500;6000.000;5250.000;5437.500;5250.000;14625.000;7500.000;14625.000;14625.000;5437.500;14625.000;6750.000;5812.500;5437.500;14625.000;14625.000;5625.000;6562.500;5250.000;5437.500;5625.000;6187.500;6375.000;5250.000;7500.000;14437.500;5812.500;5250.000;5437.500;5625.000;5437.500;5437.500;7312.500;7875.000;5625.000;5812.500;7500.000;5625.000;5437.500;5625.000;5250.000;5625.000;8250.000;7875.000;6000.000;5812.500;5625.000;6750.000;5812.500;5437.500;5625.000;5437.500;7125.000;6937.500;5437.500;5437.500;7312.500;5250.000;5250.000;6000.000;6375.000;6375.000;5250.000;5625.000;5812.500;6562.500;6000.000;6000.000;6187.500;7500.000;5812.500;7312.500;6750.000;6937.500;7125.000;6937.500;5812.500;5250.000;6750.000;5250.000;6000.000;5625.000;5250.000;5625.000;6750.000;5250.000;5250.000;5250.000;5250.000;6750.000;7125.000;5812.500;6000.000;5812.500;5250.000;6750.000;6562.500;6187.500;5625.000;5437.500;5437.500;5812.500;5437.500;5250.000;8250.000;8250.000;5437.500;5250.000;5250.000;7875.000;7875.000;7875.000;8062.500;5625.000;8437.500;6000.000;9000.000;6187.500;5625.000;9375.000;9375.000;6187.500;6375.000;6187.500;9562.500;9000.000;6000.000;9750.000;6750.000;7125.000;5250.000;7500.000;6187.500;8250.000;6750.000;6187.500;6000.000;5625.000;6937.500;11437.500;7125.000;6937.500;5437.500;5250.000;12562.500;6000.000;7125.000;10125.000;10125.000;5250.000;5812.500;5625.000;5625.000;6000.000;15375.000;5250.000;5250.000;6375.000;6562.500;7125.000;5250.000;5250.000;5250.000;5250.000;8062.500;5250.000;6750.000;5250.000;8812.500;15375.000;5625.000;6375.000;5250.000;5437.500;15187.500;5437.500;15187.500;15000.000;15000.000;15000.000;5812.500;15000.000;5250.000;15000.000;5250.000;15000.000;5437.500;15000.000;7312.500;15000.000;5437.500;5812.500;5437.500;5812.500;6000.000;7312.500;15000.000;5437.500;5625.000;5250.000;5625.000;5250.000;6000.000;5625.000;7312.500;5250.000;5437.500;5250.000;7312.500;8812.500;5250.000;7500.000;7875.000;7875.000;7875.000;6750.000;7875.000;7312.500;7125.000;7125.000;7500.000;5250.000;5625.000;5625.000;6750.000;5437.500;5250.000;7125.000;5437.500;5250.000;6375.000	0.000;0.000;210.938;843.750;-843.750;-281.250;210.938;-210.938;70.312;0.000;492.188;-492.188;914.062;-703.125;421.875;0.000;70.312;-632.812;351.562;210.938;351.562;-984.375;140.625;0.000;-140.625;421.875;-421.875;-70.312;0.000;140.625;140.625;-210.938;1125.000;-914.062;1125.000;-1265.625;-140.625;0.000;0.000;703.125;-703.125;0.000;0.000;210.938;-140.625;210.938;1476.562;-773.438;-703.125;-210.938;1968.750;-1898.438;421.875;-562.500;140.625;0.000;0.000;140.625;281.250;-351.562;773.438;-984.375;70.312;1125.000;-1054.688;-70.312;421.875;632.812;-914.062;-210.938;0.000;0.000;0.000;70.312;0.000;0.000;562.500;-562.500;210.938;-210.938;3585.938;-3515.625;3515.625;-3656.250;632.812;3023.438;-70.312;-3375.000;3375.000;-3304.688;-281.250;70.312;-70.312;3515.625;-2671.875;2671.875;0.000;-3445.312;3445.312;-2953.125;-351.562;-140.625;3445.312;0.000;-3375.000;351.562;-492.188;70.312;70.312;210.938;70.312;-421.875;843.750;2601.562;-3234.375;-210.938;70.312;70.312;-70.312;0.000;703.125;210.938;-843.750;70.312;632.812;-703.125;-70.312;70.312;-140.625;140.625;984.375;-140.625;-703.125;-70.312;-70.312;421.875;-351.562;-140.625;70.312;-70.312;632.812;-70.312;-562.500;0.000;703.125;-773.438;0.000;281.250;140.625;0.000;-421.875;140.625;70.312;281.250;-210.938;0.000;70.312;492.188;-632.812;562.500;-210.938;70.312;70.312;-70.312;-421.875;-210.938;562.500;-562.500;281.250;-140.625;-140.625;140.625;421.875;-562.500;0.000;0.000;0.000;562.500;140.625;-492.188;70.312;-70.312;-210.938;562.500;-70.312;-140.625;-210.938;-70.312;0.000;140.625;-140.625;-70.312;1125.000;0.000;-1054.688;-70.312;0.000;984.375;0.000;0.000;70.312;-914.062;1054.688;-914.062;1125.000;-1054.688;-210.938;1406.250;0.000;-1195.312;70.312;-70.312;1265.625;-210.938;-1125.000;1406.250;-1125.000;140.625;-703.125;843.750;-492.188;773.438;-562.500;-210.938;-70.312;-140.625;492.188;1687.500;-1617.188;-70.312;-562.500;-70.312;2742.188;-2460.938;421.875;1125.000;0.000;-1828.125;210.938;-70.312;0.000;140.625;3515.625;-3796.875;0.000;421.875;70.312;210.938;-703.125;0.000;0.000;0.000;1054.688;-1054.688;562.500;-562.500;1335.938;2460.938;-3656.250;281.250;-421.875;70.312;3656.250;-3656.250;3656.250;-70.312;0.000;0.000;-3445.312;3445.312;-3656.250;3656.250;-3656.250;3656.250;-3585.938;3585.938;-2882.812;2882.812;-3585.938;140.625;-140.625;140.625;70.312;492.188;2882.812;-3585.938;70.312;-140.625;140.625;-140.625;281.250;-140.625;632.812;-773.438;70.312;-70.312;773.438;562.500;-1335.938;843.750;140.625;0.000;0.000;-421.875;421.875;-210.938;-70.312;0.000;140.625;-843.750;140.625;0.000;421.875;-492.188;-70.312;703.125;-632.812;-70.312;421.875			1											SW		SW_060	
4	Spectrogram 1	1	390.586648461	391.456108631	391.2133	0.8695	5039.294	15600.000	5625.000	10560.706	5437.500;7312.500;7312.500;7500.000;5812.500;6000.000;6000.000;5812.500;5250.000;5250.000;5250.000;9187.500;6562.500;6562.500;5250.000;6750.000;6562.500;5062.500;5437.500;5250.000;5062.500;8250.000;5625.000;5062.500;7125.000;5062.500;5250.000;5250.000;7312.500;5625.000;7312.500;5062.500;7500.000;5250.000;5062.500;5250.000;6187.500;7312.500;7875.000;6937.500;6187.500;8062.500;8250.000;5437.500;5062.500;5625.000;5062.500;6000.000;6375.000;5437.500;5062.500;7125.000;5062.500;8812.500;5250.000;5437.500;6375.000;5062.500;5437.500;5250.000;9562.500;5812.500;6375.000;6750.000;9750.000;5625.000;5437.500;6937.500;10125.000;5250.000;10125.000;5250.000;6375.000;5062.500;5250.000;5625.000;8250.000;7125.000;5250.000;5062.500;5812.500;5250.000;5250.000;5062.500;7687.500;6750.000;7125.000;5812.500;6375.000;5437.500;5812.500;6000.000;5625.000;5062.500;5062.500;5062.500;5437.500;5250.000;5437.500;5062.500;5812.500;5437.500;5250.000;5812.500;15187.500;5062.500;5625.000;5437.500;5062.500;5250.000;6375.000;5062.500;5250.000;5812.500;5812.500;5250.000;8062.500;6187.500;6000.000;5437.500;5250.000;5625.000;6375.000;5437.500;8812.500;5062.500;6375.000;5437.500;5812.500;8625.000;6187.500;7687.500;5250.000;5062.500;5437.500;5250.000;5062.500;7875.000;7125.000;7687.500;7687.500;7687.500;5062.500;6000.000;7500.000;5062.500;5062.500;5250.000;7312.500;5062.500;7312.500;5062.500;7312.500;5812.500;5812.500;7312.500;6000.000;5062.500;5625.000;5625.000;7312.500;7312.500;7312.500;7312.500;7312.500;5062.500;5812.500;5812.500;7312.500;7312.500;6562.500;5250.000;5250.000;7500.000;7500.000;7500.000;7500.000;5062.500;7687.500;7687.500;7687.500;5062.500;7875.000;7875.000;8062.500;7687.500;5062.500;5250.000;8625.000;5250.000;5062.500;9000.000;9000.000;5437.500;9375.000;9375.000;9375.000;9562.500;5437.500;9562.500;9562.500;9562.500;9562.500;5062.500;5625.000;5062.500;7687.500;5250.000;5062.500;7125.000;6562.500;6562.500;6937.500;5062.500;5250.000;5250.000;6000.000;5812.500;6000.000;5250.000;5437.500;5625.000;6187.500;5625.000;6187.500;5250.000;5062.500;6562.500;6000.000;6000.000;7312.500;5062.500;6375.000;5250.000;5062.500;5625.000;5062.500;5062.500;6750.000;5812.500;5812.500;5625.000;5812.500;5250.000;5062.500;6937.500;15187.500;5062.500;5062.500;6000.000;7500.000;6375.000;5062.500;5250.000;5062.500;5062.500;5250.000;7125.000;6000.000;5062.500;5625.000;5062.500;5625.000;6187.500;6750.000;5062.500;5250.000;6000.000;5625.000;7312.500;5062.500;5437.500;5062.500;5812.500;5250.000;5250.000;5812.500;5250.000;5437.500;5625.000;5437.500;5812.500;5062.500;5250.000;5250.000;8812.500;5062.500;5437.500;5062.500;9000.000;8812.500;8062.500;5062.500;5250.000;7687.500;7500.000;7125.000;5250.000;5062.500;5625.000;6750.000;6562.500;6375.000;6375.000;6375.000;6375.000;6187.500;5437.500;5812.500;5625.000;6562.500;7312.500;5062.500;5250.000;5437.500;6187.500;6187.500;6187.500;6562.500;5250.000;5250.000;5437.500;5062.500;5062.500;5250.000;6000.000;5250.000	703.125;0.000;70.312;-632.812;70.312;0.000;-70.312;-210.938;0.000;0.000;1476.562;-984.375;0.000;-492.188;562.500;-70.312;-562.500;140.625;-70.312;-70.312;1195.312;-984.375;-210.938;773.438;-773.438;70.312;0.000;773.438;-632.812;632.812;-843.750;914.062;-843.750;-70.312;70.312;351.562;421.875;210.938;-351.562;-281.250;703.125;70.312;-1054.688;-140.625;210.938;-210.938;351.562;140.625;-351.562;-140.625;773.438;-773.438;1406.250;-1335.938;70.312;351.562;-492.188;140.625;-70.312;1617.188;-1406.250;210.938;140.625;1125.000;-1546.875;-70.312;562.500;1195.312;-1828.125;1828.125;-1828.125;421.875;-492.188;70.312;140.625;984.375;-421.875;-703.125;-70.312;281.250;-210.938;0.000;-70.312;984.375;-351.562;140.625;-492.188;210.938;-351.562;140.625;70.312;-140.625;-210.938;0.000;0.000;140.625;-70.312;70.312;-140.625;281.250;-140.625;-70.312;210.938;3515.625;-3796.875;210.938;-70.312;-140.625;70.312;421.875;-492.188;70.312;210.938;0.000;-210.938;1054.688;-703.125;-70.312;-210.938;-70.312;140.625;281.250;-351.562;1265.625;-1406.250;492.188;-351.562;140.625;1054.688;-914.062;562.500;-914.062;-70.312;140.625;-70.312;-70.312;1054.688;-281.250;210.938;0.000;0.000;-984.375;351.562;562.500;-914.062;0.000;70.312;773.438;-843.750;843.750;-843.750;843.750;-562.500;0.000;562.500;-492.188;-351.562;210.938;0.000;632.812;0.000;0.000;0.000;0.000;-843.750;281.250;0.000;562.500;0.000;-281.250;-492.188;0.000;843.750;0.000;0.000;0.000;-914.062;984.375;0.000;0.000;-984.375;1054.688;0.000;70.312;-140.625;-984.375;70.312;1265.625;-1265.625;-70.312;1476.562;0.000;-1335.938;1476.562;0.000;0.000;70.312;-1546.875;1546.875;0.000;0.000;0.000;-1687.500;210.938;-210.938;984.375;-914.062;-70.312;773.438;-210.938;0.000;140.625;-703.125;70.312;0.000;281.250;-70.312;70.312;-281.250;70.312;70.312;210.938;-210.938;210.938;-351.562;-70.312;562.500;-210.938;0.000;492.188;-843.750;492.188;-421.875;-70.312;210.938;-210.938;0.000;632.812;-351.562;0.000;-70.312;70.312;-210.938;-70.312;703.125;3093.750;-3796.875;0.000;351.562;562.500;-421.875;-492.188;70.312;-70.312;0.000;70.312;703.125;-421.875;-351.562;210.938;-210.938;210.938;210.938;210.938;-632.812;70.312;281.250;-140.625;632.812;-843.750;140.625;-140.625;281.250;-210.938;0.000;210.938;-210.938;70.312;70.312;-70.312;140.625;-281.250;70.312;0.000;1335.938;-1406.250;140.625;-140.625;1476.562;-70.312;-281.250;-1125.000;70.312;914.062;-70.312;-140.625;-703.125;-70.312;210.938;421.875;-70.312;-70.312;0.000;0.000;0.000;-70.312;-281.250;140.625;-70.312;351.562;281.250;-843.750;70.312;70.312;281.250;0.000;0.000;140.625;-492.188;0.000;70.312;-140.625;0.000;70.312;281.250;-281.250			1														
