Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Time (s)	Delta Time (s)	Peak Freq (Hz)	Delta Freq (Hz)	Peak Freq Contour (Hz)	PFC Slope (Hz/ms)	Start Freq (Hz)	End Freq (Hz)	Quality	Contour	Overtones	Step	Interruptions	Inflection Points	N min	N max	Overlap	Type	N elements	Category	ID	ID_Category	similar_to
11	Spectrogram 1	1	122.836224682	123.116836781	7726.500	15931.600	122.8453	0.2806	7875.000	8205.100	8062.500;8625.000;7875.000;7875.000;9375.000;7875.000;8062.500;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8437.500;8250.000;7875.000;8250.000;8250.000;8625.000;9000.000;9000.000;9187.500;9187.500;9375.000;8062.500;7875.000;8812.500;8812.500;8062.500;9000.000;8250.000;7875.000;8250.000;10312.500;7875.000;9750.000;9375.000;8250.000;8250.000;9750.000;8250.000;8812.500;8250.000;8062.500;8812.500;8062.500;11250.000;7875.000;7875.000;11437.500;11437.500;11437.500;9187.500;8625.000;11625.000;9562.500;9187.500;11812.500;7875.000;8437.500;7875.000;9000.000;9187.500;9000.000;11812.500;11812.500;9187.500;11812.500;11437.500;11625.000;11625.000;10875.000;7875.000;11437.500;7875.000;11062.500;8062.500;15750.000;8437.500;8250.000;15750.000;9000.000;15562.500;15375.000;15000.000;14812.500;7875.000;7875.000;11812.500;8062.500;8250.000;10312.500;8062.500;8062.500;11250.000;9000.000;7875.000;8812.500;8062.500;9000.000;9000.000;8812.500;10500.000;8812.500	210.938;-281.250;0.000;562.500;-562.500;70.312;0.000;0.000;0.000;0.000;70.312;0.000;70.312;-70.312;-140.625;140.625;0.000;140.625;140.625;0.000;70.312;0.000;70.312;-492.188;-70.312;351.562;0.000;-281.250;351.562;-281.250;-140.625;140.625;773.438;-914.062;703.125;-140.625;-421.875;0.000;562.500;-562.500;210.938;-210.938;-70.312;281.250;-281.250;1195.312;-1265.625;0.000;1335.938;0.000;0.000;-843.750;-210.938;1125.000;-773.438;-140.625;984.375;-1476.562;210.938;-210.938;421.875;70.312;-70.312;1054.688;0.000;-984.375;984.375;-140.625;70.312;0.000;-281.250;-1125.000;1335.938;-1335.938;1195.312;-1125.000;2882.812;-2742.188;-70.312;2812.500;-2531.250;2460.938;-70.312;-140.625;-70.312;-2601.562;0.000;1476.562;-1406.250;70.312;773.438;-843.750;0.000;1195.312;-843.750;-421.875;351.562;-281.250;351.562;0.000;-70.312;632.812;-632.812			1														
12	Spectrogram 1	1	123.473979452	123.762440840	7111.100	15589.700	123.7360	0.2885	7500.000	8478.600	8062.500;7500.000;7687.500;7312.500;7687.500;7875.000;7687.500;7687.500;7875.000;8250.000;8062.500;8250.000;7875.000;9562.500;8625.000;7500.000;7312.500;8625.000;7500.000;8625.000;8250.000;7312.500;8062.500;9187.500;8062.500;7875.000;7687.500;7687.500;9562.500;7312.500;7500.000;7875.000;8062.500;8250.000;8062.500;7125.000;10125.000;7687.500;7500.000;8062.500;7125.000;7687.500;10875.000;8250.000;7500.000;7875.000;10875.000;11062.500;11062.500;11062.500;11062.500;11250.000;11437.500;11437.500;11437.500;11812.500;11625.000;11625.000;11812.500;11812.500;11812.500;11625.000;11812.500;11812.500;11812.500;11812.500;11812.500;11812.500;8250.000;7875.000;7875.000;7500.000;15375.000;7500.000;9562.500;15375.000;15375.000;15375.000;8062.500;7687.500;8250.000;7500.000;7312.500;11812.500;7312.500;7500.000;12937.500;7125.000;9375.000;9187.500;9000.000;8625.000;8062.500;8062.500;7875.000;7687.500;7687.500;7500.000;7500.000;7500.000;7687.500;7687.500;7687.500;8250.000;9937.500;9375.000;7125.000	-210.938;70.312;-140.625;140.625;70.312;-70.312;0.000;70.312;140.625;-70.312;70.312;-140.625;632.812;-351.562;-421.875;-70.312;492.188;-421.875;421.875;-140.625;-351.562;281.250;421.875;-421.875;-70.312;-70.312;0.000;703.125;-843.750;70.312;140.625;70.312;70.312;-70.312;-351.562;1125.000;-914.062;-70.312;210.938;-351.562;210.938;1195.312;-984.375;-281.250;140.625;1125.000;70.312;0.000;0.000;0.000;70.312;70.312;0.000;0.000;140.625;-70.312;0.000;70.312;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;-1335.938;-140.625;0.000;-140.625;2953.125;-2953.125;773.438;2179.688;0.000;0.000;-2742.188;-140.625;210.938;-281.250;-70.312;1687.500;-1687.500;70.312;2039.062;-2179.688;843.750;-70.312;-70.312;-140.625;-210.938;0.000;-70.312;-70.312;0.000;-70.312;0.000;0.000;70.312;0.000;0.000;210.938;632.812;-210.938;-843.750			1											SW			
13	Spectrogram 1	1	124.158829959	124.425898019	7384.600	15661.972	124.2133	0.2671	7500.000	8277.372	8062.500;8250.000;8250.000;8062.500;8062.500;7875.000;7875.000;7875.000;7687.500;7687.500;7500.000;7500.000;7687.500;7500.000;7500.000;7500.000;7500.000;7687.500;7500.000;7500.000;7500.000;7687.500;7687.500;7500.000;7687.500;7875.000;7875.000;7875.000;7875.000;8062.500;7500.000;8250.000;8437.500;8625.000;8812.500;9000.000;8250.000;7875.000;8062.500;8437.500;7500.000;9375.000;9562.500;9750.000;11062.500;9000.000;9187.500;7875.000;7875.000;8062.500;9000.000;7687.500;8062.500;7875.000;7875.000;9187.500;11062.500;11250.000;8250.000;7687.500;8062.500;7875.000;9375.000;8625.000;11625.000;8250.000;8250.000;7875.000;11062.500;7687.500;12000.000;12000.000;12000.000;12187.500;7500.000;7500.000;8625.000;8625.000;7687.500;7687.500;8437.500;7875.000;7500.000;7500.000;8250.000;15375.000;8062.500;8062.500;7687.500;7500.000;15187.500;8062.500;8437.500;7500.000;8250.000;7875.000;11625.000;7500.000;11250.000	70.312;0.000;-70.312;0.000;-70.312;0.000;0.000;-70.312;0.000;-70.312;0.000;70.312;-70.312;0.000;0.000;0.000;70.312;-70.312;0.000;0.000;70.312;0.000;-70.312;70.312;70.312;0.000;0.000;0.000;70.312;-210.938;281.250;70.312;70.312;70.312;70.312;-281.250;-140.625;70.312;140.625;-351.562;703.125;70.312;70.312;492.188;-773.438;70.312;-492.188;0.000;70.312;351.562;-492.188;140.625;-70.312;0.000;492.188;703.125;70.312;-1125.000;-210.938;140.625;-70.312;562.500;-281.250;1125.000;-1265.625;0.000;-140.625;1195.312;-1265.625;1617.188;0.000;0.000;70.312;-1757.812;0.000;421.875;0.000;-351.562;0.000;281.250;-210.938;-140.625;0.000;281.250;2671.875;-2742.188;0.000;-140.625;-70.312;2882.812;-2671.875;140.625;-351.562;281.250;-140.625;1406.250;-1546.875;1406.250			1														
14	Spectrogram 1	1	125.526009758	125.900813330	7042.700	12102.600	125.6107	0.3748	8250.000	5059.900	7687.500;7312.500;7875.000;7875.000;7312.500;9562.500;9000.000;7500.000;7312.500;8250.000;8437.500;8250.000;8250.000;8062.500;8062.500;7875.000;7875.000;7500.000;7687.500;8062.500;7875.000;7875.000;7875.000;7875.000;8062.500;8062.500;8062.500;8250.000;8062.500;8250.000;8250.000;8250.000;7687.500;8625.000;7687.500;7500.000;7500.000;9000.000;7500.000;8250.000;7125.000;7125.000;7875.000;9562.500;7687.500;7687.500;8812.500;8437.500;8062.500;8437.500;7875.000;7687.500;8062.500;7500.000;7875.000;7312.500;7687.500;7500.000;8437.500;8062.500;7875.000;8812.500;8250.000;8062.500;8437.500;10312.500;7500.000;7312.500;7312.500;8062.500;7312.500;8250.000;7125.000;7125.000;7500.000;7500.000;7875.000;7687.500;8250.000;8062.500;7687.500;8437.500;7312.500;8250.000;8250.000;8250.000;8062.500;7875.000;7875.000;7687.500;7500.000;7500.000;7125.000;7500.000;7125.000;10875.000;7312.500;10687.500;8625.000;10312.500;8625.000;10125.000;7875.000;9750.000;9562.500;9375.000;7500.000;9000.000;8812.500;8625.000;8625.000;8437.500;8625.000;8625.000;8812.500;8437.500;7125.000;7125.000;7875.000;11250.000;7312.500;8437.500;7687.500;8062.500;8625.000;8062.500;7875.000;7687.500;8062.500;7125.000;7687.500;8062.500;8250.000;8250.000;7875.000;8062.500;7687.500;8250.000;7312.500	-140.625;210.938;0.000;-210.938;843.750;-210.938;-562.500;-70.312;351.562;70.312;-70.312;0.000;-70.312;0.000;-70.312;0.000;-140.625;70.312;140.625;-70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;-70.312;70.312;0.000;0.000;-210.938;351.562;-351.562;-70.312;0.000;562.500;-562.500;281.250;-421.875;0.000;281.250;632.812;-703.125;0.000;421.875;-140.625;-140.625;140.625;-210.938;-70.312;140.625;-210.938;140.625;-210.938;140.625;-70.312;351.562;-140.625;-70.312;351.562;-210.938;-70.312;140.625;703.125;-1054.688;-70.312;0.000;281.250;-281.250;351.562;-421.875;0.000;140.625;0.000;140.625;-70.312;210.938;-70.312;-140.625;281.250;-421.875;351.562;0.000;0.000;-70.312;-70.312;0.000;-70.312;-70.312;0.000;-140.625;140.625;-140.625;1406.250;-1335.938;1265.625;-773.438;632.812;-632.812;562.500;-843.750;703.125;-70.312;-70.312;-703.125;562.500;-70.312;-70.312;0.000;-70.312;70.312;0.000;70.312;-140.625;-492.188;0.000;281.250;1265.625;-1476.562;421.875;-281.250;140.625;210.938;-210.938;-70.312;-70.312;140.625;-351.562;210.938;140.625;70.312;0.000;-140.625;70.312;-140.625;210.938;-351.562			1														
15	Spectrogram 1	1	125.797791406	126.098026728	4786.300	15589.700	126.0747	0.3002	5250.000	10803.400	5062.500;5062.500;4875.000;5062.500;4875.000;5062.500;4875.000;8625.000;5062.500;5250.000;8625.000;4875.000;5625.000;5625.000;4875.000;5250.000;5062.500;4875.000;5062.500;5437.500;4875.000;4875.000;4875.000;4875.000;4875.000;4875.000;4875.000;4875.000;6000.000;5062.500;6375.000;5062.500;5062.500;5250.000;5437.500;4875.000;5062.500;5062.500;14062.500;5625.000;5625.000;4875.000;5062.500;5250.000;4875.000;5062.500;6937.500;13875.000;4875.000;4875.000;13875.000;5625.000;4875.000;5062.500;4875.000;4875.000;4875.000;4875.000;5250.000;5062.500;4875.000;5062.500;13500.000;13312.500;13312.500;4875.000;4875.000;5250.000;5062.500;4875.000;7687.500;5062.500;6187.500;4875.000;4875.000;5437.500;4875.000;4875.000;4875.000;4875.000;4875.000;10500.000;4875.000;9750.000;9562.500;4875.000;4875.000;4875.000;7687.500;7500.000;7500.000;4875.000;6562.500;6375.000;6375.000;6000.000;6000.000;6000.000;5812.500;5625.000;5437.500;5437.500;5250.000;5250.000;5250.000;5062.500;5062.500;4875.000;5062.500;5062.500;6000.000	0.000;-70.312;70.312;-70.312;70.312;-70.312;1406.250;-1335.938;70.312;1265.625;-1406.250;281.250;0.000;-281.250;140.625;-70.312;-70.312;70.312;140.625;-210.938;0.000;0.000;0.000;0.000;0.000;0.000;0.000;421.875;-351.562;492.188;-492.188;0.000;70.312;70.312;-210.938;70.312;0.000;3375.000;-3164.062;0.000;-281.250;70.312;70.312;-140.625;70.312;703.125;2601.562;-3375.000;0.000;3375.000;-3093.750;-281.250;70.312;-70.312;0.000;0.000;0.000;140.625;-70.312;-70.312;70.312;3164.062;-70.312;0.000;-3164.062;0.000;140.625;-70.312;-70.312;1054.688;-984.375;421.875;-492.188;0.000;210.938;-210.938;0.000;0.000;0.000;0.000;2109.375;-2109.375;1828.125;-70.312;-1757.812;0.000;0.000;1054.688;-70.312;0.000;-984.375;632.812;-70.312;0.000;-140.625;0.000;0.000;-70.312;-70.312;-70.312;0.000;-70.312;0.000;0.000;-70.312;0.000;-70.312;70.312;0.000;351.562			1														
16	Spectrogram 1	1	126.040138218	126.583701515	6974.400	16752.100	126.5253	0.5436	8062.500	9777.700	7500.000;7500.000;8250.000;7500.000;7500.000;7687.500;11812.500;8062.500;11437.500;11062.500;10875.000;10687.500;10500.000;10312.500;10125.000;9937.500;9937.500;9937.500;7125.000;7125.000;9750.000;9562.500;9562.500;9375.000;7125.000;7125.000;8062.500;7875.000;7500.000;7687.500;7125.000;8250.000;7125.000;7500.000;7312.500;7687.500;7875.000;8062.500;8812.500;7875.000;7125.000;8812.500;8625.000;7125.000;8062.500;8250.000;7125.000;7687.500;7500.000;8250.000;8250.000;7687.500;7687.500;7312.500;7125.000;7312.500;7125.000;7687.500;7875.000;7312.500;7687.500;7500.000;7500.000;7687.500;7687.500;7875.000;7687.500;8062.500;7125.000;7125.000;8812.500;8437.500;7500.000;7687.500;7875.000;7125.000;7500.000;7312.500;7500.000;7312.500;7312.500;7125.000;7312.500;7500.000;7500.000;7312.500;7312.500;7312.500;7312.500;7312.500;7687.500;8062.500;7875.000;7687.500;8062.500;7875.000;7875.000;8062.500;8062.500;8062.500;8437.500;8437.500;8437.500;7875.000;8812.500;7875.000;7312.500;7125.000;8062.500;7875.000;7687.500;7687.500;7312.500;7125.000;9562.500;7125.000;9937.500;7500.000;7875.000;7500.000;10125.000;7500.000;7687.500;7500.000;8062.500;7500.000;7875.000;7312.500;7875.000;8250.000;8250.000;7125.000;7687.500;7312.500;7500.000;7687.500;8062.500;7312.500;8437.500;7687.500;7875.000;7312.500;7125.000;7687.500;8062.500;8062.500;7312.500;8062.500;8250.000;8062.500;7687.500;7875.000;7687.500;7500.000;7125.000;7125.000;8625.000;8062.500;7500.000;7500.000;7500.000;7687.500;7500.000;7125.000;9375.000;8062.500;7687.500;7312.500;7687.500;7500.000;7687.500;7312.500;7687.500;7875.000;8062.500;8437.500;8625.000;8625.000;8437.500;8062.500;8062.500;8062.500;7875.000;8062.500;8062.500;8062.500;8437.500;8625.000;9375.000;7875.000;7875.000;7875.000;7687.500;7500.000;8250.000;7687.500;7687.500;7500.000;7875.000;7875.000;7875.000;8250.000	0.000;281.250;-281.250;0.000;70.312;1546.875;-1406.250;1265.625;-140.625;-70.312;-70.312;-70.312;-70.312;-70.312;-70.312;0.000;0.000;-1054.688;0.000;984.375;-70.312;0.000;-70.312;-843.750;0.000;351.562;-70.312;-140.625;70.312;-210.938;421.875;-421.875;140.625;-70.312;140.625;70.312;70.312;281.250;-351.562;-281.250;632.812;-70.312;-562.500;351.562;70.312;-421.875;210.938;-70.312;281.250;0.000;-210.938;0.000;-140.625;-70.312;70.312;-70.312;210.938;70.312;-210.938;140.625;-70.312;0.000;70.312;0.000;70.312;-70.312;140.625;-351.562;0.000;632.812;-140.625;-351.562;70.312;70.312;-281.250;140.625;-70.312;70.312;-70.312;0.000;-70.312;70.312;70.312;0.000;-70.312;0.000;0.000;0.000;0.000;140.625;140.625;-70.312;-70.312;140.625;-70.312;0.000;70.312;0.000;0.000;140.625;0.000;0.000;-210.938;351.562;-351.562;-210.938;-70.312;351.562;-70.312;-70.312;0.000;-140.625;-70.312;914.062;-914.062;1054.688;-914.062;140.625;-140.625;984.375;-984.375;70.312;-70.312;210.938;-210.938;140.625;-210.938;210.938;140.625;0.000;-421.875;210.938;-140.625;70.312;70.312;140.625;-281.250;421.875;-281.250;70.312;-210.938;-70.312;210.938;140.625;0.000;-281.250;281.250;70.312;-70.312;-140.625;70.312;-70.312;-70.312;-140.625;0.000;562.500;-210.938;-210.938;0.000;0.000;70.312;-70.312;-140.625;843.750;-492.188;-140.625;-140.625;140.625;-70.312;70.312;-140.625;140.625;70.312;70.312;140.625;70.312;0.000;-70.312;-140.625;0.000;0.000;-70.312;70.312;0.000;0.000;140.625;70.312;281.250;-562.500;0.000;0.000;-70.312;-70.312;281.250;-210.938;0.000;-70.312;140.625;0.000;0.000;140.625			1														
17	Spectrogram 1	2	126.875195777	127.208790579	7042.700	15887.324	127.1893	0.3336	7875.000	8844.624	7125.000;8062.500;8062.500;7687.500;7687.500;7500.000;7687.500;7687.500;7875.000;7875.000;7312.500;7875.000;7875.000;7500.000;8812.500;8625.000;8250.000;7875.000;7687.500;7125.000;7125.000;7125.000;7500.000;7500.000;7500.000;7500.000;7312.500;7500.000;7500.000;7500.000;7687.500;7312.500;7875.000;7875.000;7687.500;7500.000;7687.500;8250.000;8062.500;8250.000;8250.000;8437.500;8812.500;7125.000;7125.000;8812.500;8812.500;8812.500;7500.000;7875.000;7500.000;8437.500;9187.500;7687.500;7687.500;7312.500;8062.500;7875.000;7312.500;7500.000;7875.000;7500.000;7312.500;7500.000;7312.500;7125.000;7125.000;7125.000;7312.500;7312.500;7125.000;7312.500;7312.500;7125.000;7875.000;7687.500;7687.500;8625.000;7687.500;7875.000;7125.000;7687.500;8062.500;7875.000;7500.000;7125.000;7500.000;7687.500;7125.000;7312.500;7875.000;12000.000;7500.000;7875.000;7500.000;8250.000;7875.000;7687.500;7125.000;7687.500;7875.000;7500.000;7687.500;8062.500;7500.000;7500.000;7500.000;7500.000;7312.500;7687.500;7687.500;7500.000;7500.000;8625.000;8625.000;8437.500;7875.000;7875.000;7687.500;7500.000;7500.000;7687.500;7687.500;7875.000	351.562;0.000;-140.625;0.000;-70.312;70.312;0.000;70.312;0.000;-210.938;210.938;0.000;-140.625;492.188;-70.312;-140.625;-140.625;-70.312;-210.938;0.000;0.000;140.625;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;70.312;-140.625;210.938;0.000;-70.312;-70.312;70.312;210.938;-70.312;70.312;0.000;70.312;140.625;-632.812;0.000;632.812;0.000;0.000;-492.188;140.625;-140.625;351.562;281.250;-562.500;0.000;-140.625;281.250;-70.312;-210.938;70.312;140.625;-140.625;-70.312;70.312;-70.312;-70.312;0.000;0.000;70.312;0.000;-70.312;70.312;0.000;-70.312;281.250;-70.312;0.000;351.562;-351.562;70.312;-281.250;210.938;140.625;-70.312;-140.625;-140.625;140.625;70.312;-210.938;70.312;210.938;1546.875;-1687.500;140.625;-140.625;281.250;-140.625;-70.312;-210.938;210.938;70.312;-140.625;70.312;140.625;-210.938;0.000;0.000;0.000;-70.312;140.625;0.000;-70.312;0.000;421.875;0.000;-70.312;-210.938;0.000;-70.312;-70.312;0.000;70.312;0.000;70.312			1											SW			
18	Spectrogram 1	1	127.600852284	127.912861540	7179.500	14632.500	127.8933	0.3120	8812.500	7453.000	8625.000;8250.000;8062.500;8062.500;7687.500;7500.000;7312.500;7500.000;7312.500;7312.500;7312.500;7500.000;7500.000;7312.500;7500.000;7500.000;9375.000;7875.000;7500.000;7687.500;8437.500;7687.500;7875.000;7875.000;8250.000;8062.500;7875.000;8062.500;8250.000;8062.500;8437.500;8437.500;8437.500;8625.000;8625.000;8812.500;9000.000;7500.000;9187.500;9187.500;9187.500;9375.000;7500.000;9187.500;9562.500;9750.000;9750.000;9750.000;9750.000;9937.500;9937.500;8062.500;10125.000;10125.000;10125.000;8062.500;7687.500;10500.000;10500.000;8250.000;8250.000;9187.500;9375.000;8250.000;9000.000;9000.000;11250.000;11437.500;7500.000;8062.500;7687.500;8250.000;7312.500;8062.500;8062.500;8062.500;7687.500;8062.500;8062.500;7312.500;9000.000;8625.000;7312.500;7687.500;7687.500;8062.500;8812.500;7687.500;8625.000;8062.500;8250.000;7875.000;8437.500;9187.500;7687.500;7687.500;8812.500;7500.000;7312.500;8062.500;7875.000;8250.000;7312.500;9750.000;9562.500;9375.000;9187.500;9000.000;8812.500;8625.000;8437.500;8437.500;8437.500;8625.000;8812.500;9000.000	-140.625;-70.312;0.000;-140.625;-70.312;-70.312;70.312;-70.312;0.000;0.000;70.312;0.000;-70.312;70.312;0.000;703.125;-562.500;-140.625;70.312;281.250;-281.250;70.312;0.000;140.625;-70.312;-70.312;70.312;70.312;-70.312;140.625;0.000;0.000;70.312;0.000;70.312;70.312;-562.500;632.812;0.000;0.000;70.312;-703.125;632.812;140.625;70.312;0.000;0.000;0.000;70.312;0.000;-703.125;773.438;0.000;0.000;-773.438;-140.625;1054.688;0.000;-843.750;0.000;351.562;70.312;-421.875;281.250;0.000;843.750;70.312;-1476.562;210.938;-140.625;210.938;-351.562;281.250;0.000;0.000;-140.625;140.625;0.000;-281.250;632.812;-140.625;-492.188;140.625;0.000;140.625;281.250;-421.875;351.562;-210.938;70.312;-140.625;210.938;281.250;-562.500;0.000;421.875;-492.188;-70.312;281.250;-70.312;140.625;-351.562;914.062;-70.312;-70.312;-70.312;-70.312;-70.312;-70.312;-70.312;0.000;0.000;70.312;70.312;70.312			1											SW			
19	Spectrogram 1	2	128.269943452	128.597094154	6085.500	15600.000	128.3387	0.3272	7500.000	9514.500	6187.500;8625.000;8250.000;8062.500;7687.500;7687.500;7125.000;7125.000;6937.500;6937.500;6750.000;6750.000;6750.000;6750.000;6750.000;6750.000;6750.000;6937.500;6937.500;6937.500;7125.000;7125.000;7312.500;7312.500;7500.000;7687.500;7687.500;7875.000;8062.500;8062.500;6375.000;6937.500;8437.500;8437.500;8625.000;8625.000;8812.500;9000.000;6562.500;6562.500;9187.500;9375.000;9375.000;9375.000;9562.500;9562.500;9562.500;9750.000;9937.500;9937.500;9937.500;6187.500;10125.000;10312.500;7500.000;7500.000;7500.000;6187.500;6187.500;6562.500;6187.500;6562.500;6375.000;6750.000;6375.000;6187.500;6187.500;8062.500;8062.500;6750.000;6375.000;7312.500;6937.500;7687.500;7125.000;6562.500;6562.500;8062.500;8062.500;6375.000;6187.500;7875.000;7687.500;7875.000;6562.500;6562.500;8062.500;6187.500;6562.500;7125.000;7125.000;7875.000;6187.500;6375.000;7312.500;6375.000;6187.500;6187.500;6375.000;7125.000;7500.000;6750.000;8812.500;8625.000;8437.500;8062.500;8062.500;7875.000;6750.000;7687.500;7687.500;7500.000;7687.500;7500.000;7687.500;7687.500;8062.500;8250.000;8625.000;9187.500;6750.000	914.062;-140.625;-70.312;-140.625;0.000;-210.938;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;70.312;70.312;0.000;70.312;70.312;0.000;-632.812;210.938;562.500;0.000;70.312;0.000;70.312;70.312;-914.062;0.000;984.375;70.312;0.000;0.000;70.312;0.000;0.000;70.312;70.312;0.000;0.000;-1406.250;1476.562;70.312;-1054.688;0.000;0.000;-492.188;0.000;140.625;-140.625;140.625;-70.312;140.625;-140.625;-70.312;0.000;703.125;0.000;-492.188;-140.625;351.562;-140.625;281.250;-210.938;-210.938;0.000;562.500;0.000;-632.812;-70.312;632.812;-70.312;70.312;-492.188;0.000;562.500;-703.125;140.625;210.938;0.000;281.250;-632.812;70.312;351.562;-351.562;-70.312;0.000;70.312;281.250;140.625;-281.250;773.438;-70.312;-70.312;-140.625;0.000;-70.312;-421.875;351.562;0.000;-70.312;70.312;-70.312;70.312;0.000;140.625;70.312;140.625;210.938;-914.062			1											SW			
20	Spectrogram 1	1	128.936910155	129.260693345	7589.700	12034.200	129.2347	0.3238	7875.000	4444.500	8062.500;7687.500;8250.000;8437.500;8062.500;7875.000;9187.500;8812.500;8625.000;8437.500;8437.500;8250.000;8062.500;8062.500;8062.500;8062.500;7875.000;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8062.500;8250.000;8250.000;8250.000;8250.000;8250.000;8437.500;8437.500;8625.000;8625.000;8625.000;8625.000;8812.500;9000.000;9187.500;9000.000;9187.500;9375.000;9375.000;9375.000;9375.000;9562.500;9750.000;9750.000;9937.500;9937.500;10125.000;10125.000;10312.500;10312.500;7687.500;10500.000;10500.000;10500.000;10687.500;9750.000;10875.000;7875.000;7875.000;11062.500;11250.000;8250.000;11437.500;11625.000;9375.000;7875.000;7875.000;8812.500;7687.500;8062.500;7875.000;8625.000;7687.500;9562.500;7687.500;7875.000;7687.500;8062.500;7687.500;7875.000;9187.500;10687.500;8250.000;7687.500;9937.500;7875.000;7687.500;8437.500;8250.000;7687.500;8625.000;9750.000;8062.500;8250.000;8062.500;8062.500;7687.500;8062.500;7687.500;7687.500;9375.000;11625.000;7875.000;7875.000;7687.500;7687.500;7875.000;7875.000;8250.000;8437.500;8812.500;9187.500;9750.000;11437.500;8062.500;8437.500;7875.000	-140.625;210.938;70.312;-140.625;-70.312;492.188;-140.625;-70.312;-70.312;0.000;-70.312;-70.312;0.000;0.000;0.000;-70.312;70.312;0.000;0.000;0.000;0.000;0.000;0.000;70.312;0.000;0.000;0.000;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;70.312;70.312;-70.312;70.312;70.312;0.000;0.000;0.000;70.312;70.312;0.000;70.312;0.000;70.312;0.000;70.312;0.000;-984.375;1054.688;0.000;0.000;70.312;-351.562;421.875;-1125.000;0.000;1195.312;70.312;-1125.000;1195.312;70.312;-843.750;-562.500;0.000;351.562;-421.875;140.625;-70.312;281.250;-351.562;703.125;-703.125;70.312;-70.312;140.625;-140.625;70.312;492.188;562.500;-914.062;-210.938;843.750;-773.438;-70.312;281.250;-70.312;-210.938;351.562;421.875;-632.812;70.312;-70.312;0.000;-140.625;140.625;-140.625;0.000;632.812;843.750;-1406.250;0.000;-70.312;0.000;70.312;0.000;140.625;70.312;140.625;140.625;210.938;632.812;-1265.625;140.625;-210.938			1														
21	Spectrogram 1	1	129.617836017	129.916109017	6837.600	14700.900	129.8773	0.2983	9000.000	7863.300	9000.000;8250.000;8062.500;7687.500;7687.500;7500.000;7500.000;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7312.500;7500.000;6937.500;7687.500;7687.500;7687.500;7875.000;8062.500;8062.500;8062.500;8250.000;8250.000;8437.500;8625.000;8625.000;8812.500;8812.500;9000.000;9187.500;9187.500;9375.000;9375.000;9375.000;9562.500;9750.000;9750.000;9937.500;10125.000;10125.000;10312.500;10312.500;10500.000;10500.000;10500.000;10500.000;10687.500;10687.500;10875.000;10875.000;11062.500;11062.500;11062.500;11062.500;11250.000;11250.000;11250.000;11437.500;11437.500;11625.000;11625.000;11625.000;11625.000;11812.500;11812.500;12000.000;7687.500;6937.500;7500.000;8250.000;10125.000;7875.000;9937.500;7875.000;7125.000;6937.500;7875.000;6937.500;7687.500;7125.000;6937.500;7687.500;7312.500;7500.000;7312.500;7312.500;8062.500;7687.500;7687.500;9562.500;9562.500;9375.000;9187.500;9000.000;8812.500;8625.000;8437.500;8250.000;8250.000;8250.000;8250.000;8437.500;8625.000;8812.500;9187.500;9937.500;8250.000;7875.000	-281.250;-70.312;-140.625;0.000;-70.312;0.000;-70.312;0.000;0.000;0.000;0.000;0.000;0.000;0.000;70.312;-210.938;281.250;0.000;0.000;70.312;70.312;0.000;0.000;70.312;0.000;70.312;70.312;0.000;70.312;0.000;70.312;70.312;0.000;70.312;0.000;0.000;70.312;70.312;0.000;70.312;70.312;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;0.000;70.312;0.000;70.312;0.000;0.000;0.000;70.312;0.000;70.312;-1617.188;-281.250;210.938;281.250;703.125;-843.750;773.438;-773.438;-281.250;-70.312;351.562;-351.562;281.250;-210.938;-70.312;281.250;-140.625;70.312;-70.312;0.000;281.250;-140.625;0.000;703.125;0.000;-70.312;-70.312;-70.312;-70.312;-70.312;-70.312;-70.312;0.000;0.000;0.000;70.312;70.312;70.312;140.625;281.250;-632.812;-140.625	8000	9573	1.5	M	0	0	0	3	2	3		SE	1	SW		SW_042	
